"%s Item(s)","%s מוצר(ים)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 כל הזכויות שמורות מג'נטו חנות דוגמא."
"(Shift-)Click or drag to change value","(Shift-)Click או גרירה לשינו ערך"
"(ver. %s)","(גירסה. %s)"
"- Click on any of the time parts to increase it","- לחץ על חלקי הזמן כדי להגדילם"
"- Hold mouse button on any of the above buttons for faster selection.","- השאר את כפתור העכבר לחוץ על אחד הכפתורים העליונים לבחירה מהירה."
"- Use the %s buttons to select month","- השתמש בכפתורי ה- % לבחירת חודש"
"- Use the %s, %s buttons to select year","- השתמש ב-%, כפתורי % לבחירת שנה"
"- or Shift-click to decrease it","- או  Shift-click כדי להקטין את זה"
"- or click and drag for faster selection.","- או לחץ וגרור לבחירה מהירה יותר."
"About the calendar","אודות לוח השנה"
"Click <a href=""%s"">here</a> if nothing has happened","לחץ <a href=""%s"">כאן</a>אם כלום לא קרה"
"Close","סגור"
"Close Window","סגור חלון"
"DHTML Date/Time Selector","DHTML תאריך/ זמן Selector"
"Date selection:","תאריך בחירה:"
"Default Description","תיאור ברירת מחדל"
"Default welcome msg!","ברירת מחדל - הודעת ברוכים הבאים!"
"Display %s first","הצג %s ראשון"
"Distributed under GNU LGPL. See %s for details.","מופץ תחת חוקי GNU LGPL. ראה %s לפרטים."
"Drag to move","גרור כדי להזיז"
"For latest version visit: %s","לגירסה אחרונה בקר ב: %s"
"Go Today","עבור להיום"
"Help Us to Keep Magento Healthy","עזור לנו לשמור בריאות מג'נטו"
"Interface Language","שפת ממשק"
"Items %s to %s of %s total","פריטים %s עד %s מתוך %s פרטים"
"Next Page","דף הבא"
"Next month (hold for menu)","חודש הבא (החזק לקבלת תפריט)"
"Next year (hold for menu)","שנה הבאה (החזק לקבלת תפריט)"
"Page:","דף:"
"Prev. month (hold for menu)","חודש קודם (החזק לתפריט)"
"Prev. year (hold for menu)","שנה קודמת (החזק לתפריט)"
"Previous Page","דף קודם"
"Redirecting...","מכווין מחדש..."
"Report All Bugs","דווח על כל הבאגים"
"Select Store","בחר חנות"
"Select date","בחר תאריך"
"Show","הצג"
"Skip to Footer","Skip to Footer"
"Skip to Left Column","Skip to Left Column"
"Skip to Main Content","דלג אל התוכן הראשי"
"Skip to Right Column","Skip to Right Column"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","זוהי חנות לדוגמא. הזמנות דרך החנות לא ימומשו בפועל."
"Time selection:","בחירת זמן:"
"Time:","זמן:"
"Welcome, %s!","s%, ברוך הבא!"
"You're currently on:","You're currently on:"
"Your Language","השפה שלך"
"Your Language:","השפה שלך:"
"per page","לעמוד"
"Your Language:","Your Language:"
"(ver. %s)","(ver. %s)"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
"Report All Bugs","Report All Bugs"
"Your Language","Your Language"
