"%s was successfully added to your shopping cart.","%s הוסף בהצלחה לעגלת הקניות."
"&laquo; Back to Billing Information","&laquo; בחזרה למידע אודות חיוב"
"&laquo; Back to Select Addresses","&raquo; חזור לבחירת כתובות"
"&laquo; Back to Shopping Cart","&raquo; חזור לסל הקניות"
"* Required Fields","* שדות חובה"
"Add New Address","הוסף כתובת חדשה"
"Add New Condition","הוסף תנאי"
"Add to Cart","הוסף לסל"
"Add to Compare","הוסף להשוואה"
"Add to Wishlist","הוסף לרשימת 'אני רוצה גם'"
"Address","כתובת"
"Address %s of %s","כתובת %s של %s"
"After adding a product redirect to shopping cart","אחרי הוספת מוצר, חזור לעגלת הקניות"
"Allow Guest Checkout","אפשר יציאת אורח"
"Already registered?","האם הינך כבר רשום?"
"An error occurred in the process of payment","ארעה שגיאה בתהליך התשלום"
"Apply Coupon","הפעל קופון"
"Are you sure you would like to remove this item from the shopping cart?","האם אתה בטוח שברצונך להסיר מוצר זה מסל הקניות שלך?"
"Back","חזור"
"Back to Shipping Information","חזור למידע אודות שילוח"
"Based on your selection, you may be interested in the following items:","משתמשים אחרים שרכשו פריט זה, רכשו גם את הפריטים הבאים:"
"Billing Address","כתובת לחיוב"
"Billing Information","מידע אודות החיוב"
"Billing Information - %s","פרטי תשלום - %s"
"Can not add item to shopping cart","לא יכול להוסיף פריט לעגלת הקניות"
"Can not apply coupon code.","לא יכול להפעיל/לאשר קוד קופון."
"Can't open overview page","Can't open overview page"
"Cancel Coupon","בטל קופון"
"Cannot remove item","לא יכול להסיר פריט"
"Cannot update shopping cart","לא יכול לעדכן את עגלת הקניות"
"Card Verification Number Visual Reference","התייחסות לאישור מספר כרטיס ויזואלי "
"Cart Subtotal:","סיכום ביניים של העגלה"
"Change","שינוי"
"Change Billing Address","שנה כתובת לחיוב"
"Checkbox text","Checkbox text"
"Checkout","תשלום/צ'ק אאוט"
"Checkout Conditions","תנאים למעבר לקופה"
"Checkout Options","אפשרויות צ'ק אאוט"
"Checkout Section","איזור - מעבר לקופה"
"Checkout Terms and Conditions","תקנון למעבר לקופה"
"Checkout as Guest","שלם כאורח"
"Checkout as a Guest or Register","שלם כאורח או הירשם"
"Checkout method","שיטת התשלום בצ'ק אאוט"
"Checkout with Multiple Addresses","בצע תשלום עבור מספר כתובות"
"City","עיר"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","לחץ <a href=""%s"" onclick=""this.target='_blank'"">כאן כדי להדפיס</a>פרטי הזמנה."
"Close","סגור"
"Company","חברה"
"Condition Name","תנאי - שם"
"Condition was successfully deleted","Condition was successfully deleted"
"Condition was successfully saved","Condition was successfully saved"
"Configurable product image","מוצר מורכב - תמונה"
"Confirm Password","אימות סיסמא"
"Content","תוכן"
"Content Height","גובה תוכן"
"Content Height (css)","גובה תוכן (css)"
"Continue","המשך"
"Continue Shopping","המשך בקניות"
"Continue to Billing Information","המשך להזין מידע לחיוב"
"Continue to Review Your Order","המשך לבחון את הזמנתך"
"Continue to Shipping Information","המשך למידע על משלוח"
"Country","ארץ"
"Coupon code ""%s"" is not valid.","קוד קופון ""%s"" אינו חוקי."
"Coupon code ""%s"" was applied successfully.","Coupon code ""%s"" was applied successfully."
"Coupon code was canceled successfully.","Coupon code was canceled successfully."
"Create Billing Address","הגדר כתובת לחיוב"
"Create Shipping Address","צור כתובת למשלוח"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","בעיית בשמירת נתונים"
"Default Billing","חיוב ברירת מחדל"
"Default Shipping","פרטי משלוח כברירת מחדל"
"Delete Condition","מחק תנאי"
"Details","פרטים"
"Disable Onepage Checkout","Disable Onepage Checkout"
"Disabled","כבוי/לא פעיל"
"Discount Codes","קודים להנחות"
"Display Cart Summary","הצג סיכום עגלת קניות"
"Display Shopping Cart Sidebar","הצג את עגלת הקניות בסרגל צידי"
"Display item quantities","הצג כמויות פריט"
"Display number of items in cart","הצג כמות פריטים בעגלה"
"Easy access to your order history and status","גישה קלה להיסטוריית ההזמנות והסטאטוס"
"Edit","ערוך"
"Edit Address","ערוך כתובת"
"Edit Billing Address","ערוך כתובת לחיוב"
"Edit Items","ערוך פריטים"
"Edit Shipping Address","ערוך כתובת למשלוח"
"Edit Terms and Conditions","ערוך תקנון שימוש"
"Edit Your Cart","ערוך את הסל שלך"
"Email Address","כתובת אי-מייל"
"Enable Terms and�Conditions","Enable Terms and�Conditions"
"Enabled","פעיל"
"Enter a New Address","הכנס כתובת חדשה"
"Enter your coupon code if you have one.","הקלד את קוד הקופון, במידה ויש לך."
"Enter your destination to get a shipping estimate.","הכנס את יעדך לקבלת הערכת המשלוח"
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","עלות משלוח ומיסים מוערכת"
"Excl. Tax","לא כולל מס"
"Fast and easy check out","תשלום מהיר וקל"
"Fax","פקס"
"Forgot an Item?","שכחת פריט כלשהו?"
"Forgot your password?","שכחת את הסיסמא?"
"Get a Quote","קבל הצעת מחיר"
