" Copy"," העתק"
"Action","פעולה"
"Add New Template","הוסף תבנית חדשה"
"Add to Queue","הוסף לתור"
"Are you sure that you want to delete this template?","אתה בטוח שאתה רוצה למחוק את התבנית הזאת?"
"Are you sure that you want to strip all tags?","האם אתה בטוח שברצנך להסיר את כל התגים?"
"Back","חזור"
"Cancel","בטל"
"Cancelled","בוטל"
"Cannot delete subscriber","לא יכול למחוק מנוי"
"Cannot delete template","לא יכול למחוק תבנית"
"Cannot mark as received subscriber","Cannot mark as received subscriber"
"Cannot save your subscription: %s","לא יכול לשמור את הרישום שלך: %s"
"Confirmation Email Sender","אישור אימייל השולח"
"Confirmation Email Template","תבנית אישור אימייל"
"Confirmation request has been sent","הודעת אישור ההרשמה נשלחה"
"Convert to Plain Text","הפוך לטקסט פשוט"
"Create Newsletter Template","צור תבנית לניוזלטר"
"Customer","לקוח"
"Customer Firstname","לקוח - שם פרטי"
"Customer Lastname","לקוח - שם משפחה"
"Date Added","תאריך התווספות"
"Date Updated","תאריך עדכון/תאריך עודכן"
"Delete Selected Problems","מחר בעיות נבחרות"
"Delete Template","מחק תבנית"
"Do you really want to cancel the queue?","האם ברצונך לבטל את התור?"
"Duplicate of template code","שיכפול מקוד התבנית"
"Edit Newsletter","ערוך ניוזלטר"
"Edit Newsletter Template","ערוך תבנית ניוזלטר"
"Edit Queue","ערוך תור"
"Edit Template","ערוך תבנית"
"Email","מייל"
"Enter your email address","מלא כתובת אימייל"
"Error Code","קוד שגיאה"
"Error Text","טקסט שגיאה"
"Form was filled incorrectly","טופס לא מולא נכון"
"Guest","אורח"
"ID","קוד/ת.ז/זיהוי"
"Invalid queue selected","Invalid queue selected"
"Invalid subscriber ID","מס' ID של מנוי שגוי"
"Invalid subscription ID","מס' ID של הרשמה שגוי"
"Invalid subscription confirmation code","קוד אישור הרשמה שגוי"
"Message","הודעה"
"Need to Confirm","נדרש אישור"
"New Newsletter Template","תבנית ניוזלטר חדשה"
"New Template","תבנתי חדשה"
"Newsletter","ניוזלטר"
"Newsletter Message Preview","הודעת ניוזלטר - תצוגה מקדימה"
"Newsletter Problem Reports","ניוזלטר - דוחות תקולים"
"Newsletter Queue","ניוזלטר - תור"
"Newsletter Section","איזור - ניוזלטר"
"Newsletter Sign-up","Newsletter Sign-up"
"Newsletter Subscribers","ניוזלטר - מנויים"
"Newsletter Subscription","ניוזלטר - רישום"
"Newsletter Subscriptions","מנויים לניוזלטרים"
"Newsletter Templates","תבניות לניוזלטר"
"Newsletter subscription confirmation","ניוזלטר - אישור הרשמה"
"Newsletter subscription success","ניוזלטר - הרישום הצליח"
"Newsletter unsubscription success","ניוזלטר - הסרת המנוי הצליחה"
"No Templates Found","לא נמצאה תבנית"
"No problems found","לא נמצאו בעיות"
"No subscribers selected","לא נבחרו מנוים"
"Not Sent","לא נשלח"
"Not activated","לא פעיל"
"Pause","עצור"
"Paused","עצר/נעצר"
"Please enter a valid email address","Please enter a valid email address"
"Please enter new template name","הקלד שם תבנית חדשה"
"Please select subscriber(s)","בחר מנוי(ים)"
"Preview","תצוגה מקדימה"
"Preview Template","תבנית - תצוגה מקדימה"
"Processed","מעובד"
"Queue Date Start","תאריך תחילת תור"
"Queue Finish","סיום תור"
"Queue Information","תור - מידע"
"Queue Newsletter","תור - ניוזלטר"
"Queue Start","תור - התחלה"
"Queue Subject","תור - נושא"
"Recipients","נמענים/מקבלים"
"Reset","התחל מחדש"
"Resume","המשך פעולה"
"Return Html Version","החזר לגירסת HTML"
"Save And Resume","שמור והמשך"
"Save As","שמירה בשם"
"Save Newsletter","שמור ניוזלטר"
"Save Template","שמור תבנית"
"Selected problem subscribers successfully unsubscribed","המנויים הבעייתיים שסומנו הוסרו בהצלחה"
"Selected problems successfully deleted","הבעיות הנבחרות נמחקו בהצלחה"
"Sender","השולח"
"Sender Email","השולח - אימייל"
"Sender Name","השולח - שם"
"Sending","שולח"
"Sending Options","Sending Options"
"Sent","נשלח"
"Set Return-Path","Set Return-Path"
"Sign me up","Sign me up"
"Sign up for our newsletter:","הרשם לקבלת הניוזלטר:"
"Start","התחל"
"Status","מצב"
"Store","חנות"
"Store View","מבט חנות"
"Subject","נושא"
"Subscribe","הירשם"
"Subscribed","נרשם"
"Subscriber","מנוי"
"Subscribers","מנוים"
"Subscribers From","מנויים מ"
"Subscription Options","אפשרויות מנוי/רישום"
"Success Email Sender","שולח דוא""ל הצלחה"
"Success Email Template","תבנית דוא""ל הצלחה"
"Template Content","תוכן תבנית"
"Template Information","מידע תבנית"
"Template Name","שם תבנית"
"Template Subject","תבנית - נושא"
"Template Type","סוג תבנית"
"Thank you for your subscription","אנו מודים על הרשמתך"
"The subscription was successfully saved","ההרשמה נשמרה בהצלחה"
"There was a problem with the subscription","ארעה בעיה ברישום"
"There was a problem with the subscription: %s","ארעה בעיה ברישום: %s"
"There was a problem with the un-subscription.","ארעה בעיה בהסרת המינוי/רישום"
"There was an error while saving your subscription","ארעה שגיאה במהלך שמירת המנוי שלך"
"Toggle Editor","החלף מצב עריכה"
"Type","סוג"
"Unsubscribe","בטל מנוי/רישום"
"Unsubscribe Selected","הסר רישום מנבחרים"
"Unsubscribed","לא רשום"
"Unsubscription Email Sender","ביטול רישום של שולח הדוא""ל"
"Unsubscription Email Template","הסרת רישום - תבנית אימייל"
"View Newsletter","הצג ניוזלטר"
"Website","אתר"
"You have been successfully unsubscribed.","You have been successfully unsubscribed."
"Your subscription was successfully confirmed","הרשמתך אושרה בהצלחה"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Newsletter"
"Sign up for our newsletter","הירשם לניולטר שלנו"
"Newsletter Subscriptions","Newsletter Subscriptions"
