"Actions","פעולות"
"Active","פעיל"
"Add New Rule","הוסף חוק"
"Apply Rules","הפעל חוקים"
"Attribute Set","סט תכונות"
"Catalog","קטלוג"
"Catalog Price Rule","חוק תמחור לקטלוג"
"Catalog Price Rules","חוקי תמחור לקטלוג"
"Category","קטגוריה"
"Comments History","היסטוריית הערות"
"Conditions","תנאים"
"Conditions (leave blank for all products)","תנאים (השאר ריק בשביל כל המוצרים)"
"Conditions Combination","שילוב תנאים"
"Credit Memos","זכויות"
"Customer Groups","קבוצות קונים"
"Customer is new buyer: %s","הלקוח הוא קונה חדש: %s"
"Customer registered: %s","לקוח נרשם: %s"
"Date Expire","תאריך פג תוקף"
"Date From","מתאריך"
"Date Start","תאריך התחלה"
"Date To","עד תאריך"
"Delete Rule","מחק חוק"
"Description","תיאור"
"Description: %s","תיאור: %s"
"Edit Rule","ערוך חוק"
"Edit Rule '%s'","ערוך חוק '%s'"
"Expire at: %s","פג תוקף ב: %s"
"From Date","מתאריך"
"General Information","מידע כללי"
"Gift Messages","הודעות ברכה"
"ID","קוד/ת.ז/זיהוי"
"Inactive","לא פעיל"
"Invoices","חשבוניות"
"NOT LOGGED IN","לא מחובר"
"Name: %s","שם: %s"
"New Rule","חוק חדש"
"No","לא"
"Options","אפשרויות"
"Order Credit Memos","Order Credit Memos"
"Order Gift Messages","הזמנה - ברכות"
"Order History","היסטוריית הזמנה"
"Order Invoices","חשבוניות הזמנה"
"Order Shipments","הזמנה - משלוחים"
"Priority","עדיפות/מועדף"
"Product Attribute","מאפיין המוצר"
"Promotions","מבצעים"
"Rule Information","מידע על חוק"
"Rule Name","שם חוק"
"Rule was successfully deleted","החוק נמחק בהצלחה"
"Rule was successfully saved","החוק נשמר בהצלחה"
"Rules were successfully applied","החוק הופעל בהצלחה"
"Save Rule","שמור חוק"
"Save and Apply","שמור ואשר"
"Shipments","משלוחים"
"Start at: %s","מתחיל ב: %s"
"Status","מצב"
"Stop further rules processing","הפסק הפעלת חוקים נוספים"
"The page you are trying to save no longer exists","העמוד שאתה מנסה לשמור לא קיים יותר"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog."
"This rule no longer exists","חוק זה לא קיים יותר"
"To Date","עד לתאריך"
"Unable to apply rules","לא יכול להפעיל חוקים"
"Unable to find a page to delete","לא נמצא עמוד למחיקה"
"Update product's %s %s: %s","עדכן מוצר %s %s: %s"
"Websites","אתרים"
"Yes","כן"
