"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">קישור</a>"
"Access denied to destination folder ""%s""","הגישה לתקיית היעד נדחתה ""%s"""
"Could not load file: ""%s""","לא יכול להעלות קובץ: ""%s"""
"Could not save file: %s","לא יכול לשמור קובץ: %s"
"Declared adapter %s not found","Declared adapter %s not found"
"Destination folder ""%s"" does not exist or not access to create","ספריית היעד ""%s"" לא קיימת או שאין גישה ליצירתה"
"Destination folder ""%s"" is not a directory","Destination folder ""%s"" is not a directory"
"Destination folder ""%s"" is not a writeable","אין הרשאת כתיבה לספריית היעד ""%s"""
"Done","בוצע"
"Dry run set, stopping execution","Dry run set, stopping execution"
"ETA: %s","ETA: %s"
"Error field mapping! Fields list for mapping is not defined","שגיאה במיפוי שדות! רשימת השדות למיפוי לא מוגדרת"
"Error occured during file opening: ""%s""","שגיאה בעת פתיחת קובץ: ""%s"""
"File ""%s"" don't exist","File ""%s"" don't exist"
"Found %d rows","נמצאו %d שורות"
"Less than a minute","פחות מדקה"
"Loaded successfully: ""%s""","נטענו בהצלחה: ""%s"""
"Memory Used: %s","זכרון מנוצל: %s"
"Method ""%s"" not defined in adapter %s","Method ""%s"" not defined in adapter %s"
"Please declare ""adapter"" and ""method"" node first","Please declare ""adapter"" and ""method"" node first"
"Processed records: %s","רשומות מעובדות: %s"
"Saved successfully: ""%s"" [%d byte(s)]","נשמר בהצלחה: ""%s"" [%d byte(s)]"
"Sheet 1","גליון 1"
"Skip undefined row","דלג על שורה לא מוגדרת"
"Starting %s :: %s","מתחיל %s :: %s"
"Total records: %s","סה""כ רשומות: %s"
"hour","שעה"
"hours","שעות"
"minute","דקה"
"minutes","דקות"
