"All Websites","כל האתרים"
"Apply Percent Discounts To FPT","Apply Percent Discounts To FPT"
"Apply Tax To FPT","הפעל מס על  FPT"
"Display Prices In Emails","הצג מחירים באימייל"
"Display Prices In Product Lists","הצג מחירים ברשימת מוצרים"
"Display Prices In Sales Modules","הצג מחירים במודול מכירות"
"Display Prices On Product View Page","הצג מחירים בעמוד מוצר"
"Enable FPT","אפשר FPT"
"Excluding FPT","דחיית FPT"
"Excluding FPT, FPT description, final price","דחיית FPT, FPT תאורי, מחיר סופי"
"Fixed Product Tax","מס קבוע למוצר"
"Fixed Product Taxes","מיסים קבועים למוצר"
"Include FPT In Subtotal","כלול FPT בסכום סופי"
"Including FPT and FPT description [excl. FPT VAT]","Including FPT and FPT description [excl. FPT VAT]"
"Including FPT and FPT description [incl. FPT VAT]","כלול  FPT ותאורי FPT  [incl. FPT VAT]"
"Including FPT only","כלול  FPT בלבד"
"Total","סה""כ"
"Total incl. tax","סה""כ מע""מ כלול"
