"(eg: domain.com/identifier)","(לדוגמא: domain.com/identifier)"
"Action","פעולה"
"Add New Block","בלוק חדש"
"Add New Page","הוסף דף חדש"
"All countries","כל הארצות"
"Block Information","בלוק - מידע"
"Block Title","בלוק - כותרת"
"Block was successfully deleted","הבלוק נמחק בהצלחה"
"Block was successfully saved","הבלוק נשמר בהצלחה"
"CMS","ניהול תוכן"
"CMS Home Page","מע' ניהול תוכן - עמוד הבית"
"CMS No Route Page","דף CMS ללא נתיב"
"Content","תוכן"
"Custom Design","עיצוב בהתאמה אישית"
"Custom Theme","ערכת עיצוב מותאמת אישית"
"Custom Theme From","ערכת עיצוב מותאמת אישית - מאת"
"Custom Theme To","ערכת עיצוב מותאמת אישית - עבור"
"Customer Tax Class Information","לקוח - מידע מדרגת מס"
"Date Created","תאריך יצירה"
"Delete Block","מחק בלוק"
"Delete Page","מחק עמוד"
"Description","תיאור"
"Disabled","כבוי/לא פעיל"
"Edit Block","ערוך בלוק"
"Edit Block '%s'","ערוך בלוק '%s'"
"Edit Page","ערוך עמוד/דף"
"Edit Page '%s'","ערוך עמוד/דף '%s'"
"Enabled","פעיל"
"General Information","מידע כללי"
"Go to Home Page","חזור לדף ראשי"
"Home","ראשי"
"Identifier","מזהה"
"Keywords","מילות מפתח"
"Last Modified","עודכן לאחרונה"
"Layout","סידור/פריסה/לייאאוט"
"Layout Update XML","עדכון פריסת  XML"
"Manage Pages","ניהול דפים"
"Meta Data","מידע מטה"
"Meta Description","מטה תיאור"
"Meta Keywords","מילות מפתח (מטה תגים)"
"New Block","בלוק חדש"
"New Page","עמוד חדש"
"Page Identifier cannot consist only of numbers.","מזהה עמוד יכול להכיל רק מספרים"
"Page Identifier for specified store already exist.","מזהה עמוד כבר קיים לחנות זו"
"Page Information","מידע עמוד"
"Page Status","סטטוס עמוד"
"Page Title","כותרת עמוד"
"Page was successfully deleted","העמוד נמחק בהצלחה"
"Page was successfully saved","הדף נשמר בהצלחה"
"Poll Manager","ניהול סקרים"
"Product Tax Class Information","מוצר - מידע על מדרגת/מחלקת המס"
"SEF URL Identifier","SEF URL Identifier"
"Save Block","שמור בלוק"
"Save Page","שמור עמוד"
"Show breadcrumbs for CMS pages","Show breadcrumbs for CMS pages"
"Static Blocks","בלוקים סטטיים"
"Status","מצב"
"Store View","מבט חנות"
"Such a block identifier in selected store already exist.","Such a block identifier in selected store already exist."
"The page you are trying to save no longer exists","העמוד שאתה מנסה לשמור לא קיים יותר"
"This block no longer exists","בלוק מידע זה לא קיים יותר"
"This page no longer exists","עמוד זה לא קיים יותר."
"Title","כותרת"
"Unable to find a block to delete","לא נמצא בלוק למחיקה"
"Unable to find a page to delete","לא נמצא עמוד למחיקה"
