"-- Please Select --","-- בחר מהרשימה --"
"Add New Class","מחלקה חדשה"
"Add New Tax Rate","הוספת תעריף מע""מ חדש"
"Add New Tax Rule","חק מיסוי חדש"
"Apply Discount On Prices Including Tax","Apply Discount On Prices Including Tax"
"Apply Tax After Discount","Apply Tax After Discount"
"Apply Tax On","הפעל מס על"
"Are you sure you want to do this?","האם אתה בטוח שברצונך להמשיך?"
"Back","חזור"
"CSV","CSV"
"Calculation","Calculation"
"Catalog prices include tax","Catalog prices include tax"
"Class Name","שם מחלקה"
"Code","קוד"
"Country","ארץ"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"County","ארץ"
"Custom price if available","מחיר מותאם אם קיים"
"Customer Tax Class","לקוח - מדרגת מס"
"Customer Tax Class Information","לקוח - מידע מדרגת מס"
"Customer Tax Classes","לקוח - מדרגות מס"
"Default Country","ארץ ברירת מחדל"
"Default Post Code","מיקוד ברירת מחדל"
"Default State","מדינת ברירת מחדל"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Delete Class","מחק מחלקה"
"Delete Rate","מחק שער/דירוג/ערך"
"Delete Rule","מחק חוק"
"Display","Display"
"Display Cart/Order Prices","Display Cart/Order Prices"
"Display Product Prices","Display Product Prices"
"Display Shipping Prices","הצג מחירי שילוח"
"Display Zero Tax Subtotal","הצג סכום אפס למס בסיכום זמני"
"Display full tax summary","Display full tax summary"
"Edit Class","ערוך מחלקה"
"Edit Class '%s'","ערוך מחלקה '%s'"
"Edit Rule","ערוך חוק"
"Edit Tax Rate","ערוך שיעור מס"
"Error while deleting this class. Please try again later.","שגיאה בעת מחיקת מחלקה. אנא נסה שוב מאוחר יותר."
"Error while deleting this rate. Incorrect rate ID","שגיאה בעת מחיקת שיעור מס. קוד לא תקין"
"Error while deleting this rate. Please try again later.","שגיאה בעת מחיקת שיעור מס. אנא נסה שוב מאוחר יותר."
"Error while deleting this tax rule. Please try again later.","שגיאה בעת מחיקת חוק מס. אנא מסה שוב מאוחר יותר."
"Error while saving this rate. Please try again later.","שגיאה בעת שמירת שיעור מס. אנא נסה שוב מאוחר יותר."
"Error while saving this tax class. Class with the same name ","שגיאה בעת שמירת דרגת מס. דרגה עם שם זהה קיימת"
"Error while saving this tax class. Please try again later.","שגיאה בעת שמירת דרגת מס. אנא נסה שוב מאוחר יותר."
