"* Required Fields","* שדות חובה"
"Add","הוסף"
"Add Gift Message","הוסף הודעת מתנה"
"Allow Gift Messages for Order Items","אפשר צירוף ברכה לפריט מוזמן"
"Allow Gift Messages on Order Level","אפשר צירוף ברכה כללית להזמנה"
"Are you sure?","האם אתה בטוח?"
"Cancel","בטל"
"Check this checkbox if you want to add gift messages to your items.","סמן אם ברצונך להוסיף הודעת ברכה לפריטים"
"Check this checkbox if you want to add gift messages.","סמן אם ברצונך להוסיף ברכות."
"Close","סגור"
"Do you have any gift items in your order?","האם יש פרטי ברכה בהזמנה?"
"Edit","ערוך"
"Edit Gift Message","ערוך ברכה"
"Enter a gift message for each item in your order.","כתוב הודעת ברכה לכל פריט בהזמנה"
"Enter a gift message for entire order.","כתוב הודעת ברכה לכל ההזמנה."
"Enter a gift message for this address.","כתוב הודעת ברכה לכתובת זו."
"Error while saving gift message","שגיאה בעת שמירת ברכה."
"From","מ"
"Gift Message","ברכה"
"Gift Messages","הודעות ברכה"
"Gift message has been successfully saved","הודעת ברכה נשמרה בהצלחה"
"Item %d of %d","פריט %d מתוך %d"
"Message","הודעה"
"No","לא"
"Remove","הסר"
"Save","שמור"
"Save Gift Message","שמור ברכה"
"To","עבור/ל/עד"
"Unknown entity type","סוג ישות לא ידוע"
"Use config","השתמש בהגדרות "
"Yes","כן"
"You can leave a box blank if you don't wish to add a gift message for the item.","You can leave a box blank if you don't wish to add a gift message for the item."
"You can leave a box blank if you don't wish to add a gift message for this address.","You can leave a box blank if you don't wish to add a gift message for this address."
"You can leave a box blank if you don't wish to add a gift message for whole order.","You can leave a box blank if you don't wish to add a gift message for whole order."
"Your gift message has been successfully removed","Your gift message has been successfully removed"
"Your gift message has been successfully saved","Your gift message has been successfully saved"
"Your gift message successfully removed","Your gift message successfully removed"
"Your gift message successfully saved","Your gift message successfully saved"
