"ALL","הכל"
"ANY","כלשהו"
"Add","הוסף"
"Apply","הפעל/אשר"
"Description: %s","תיאור: %s"
"Expire at: %s","פג תוקף ב: %s"
"FALSE","שקר"
"If %s of these conditions are %s:","אם %s מהתנאים האלה הם %s:"
"Invalid discount amount.","גובה הנחה שגוי."
"MATCHING ALL","תואם להכל"
"MATCHING ANY","תואם לפחות לאחד"
"NOT MATCHING ALL","לא מתאים לאף אחד"
"NOT MATCHING ANY","לא מתאים לפחות לאחד"
"Name: %s","שם: %s"
"Open Chooser","בררן פתוח"
"Perform following actions","בצע פעולות הבאות"
"Please choose a condition to add...","אנא בחר תנאי להוסיף..."
"Please choose an action to add...","אנא בחר פעולה להוסיף"
"Remove","הסר"
"Start at: %s","מתחיל ב: %s"
"TRUE","אמת/נכון"
"by","לפי"
"contains","מכיל"
"does not contain","לא מכיל"
"equals or greater than","שווה או גדול מ"
"equals or less than","שווה או קטן מ"
"greater than","גדול מ"
"is","is"
"is not","הוא לא"
"is not one of","הוא לא אחד מ"
"is one of","הוא חד מ"
"less than","פחות מ"
"to","עבור/ל/עד"
