"-- Please select --","-- בחר מהרשימה --"
"Allowed currencies","אפשר שימוש במטבעות שונים"
"Base currency","Base currency"
"Cannot retrieve rate from %s","לא יכול לקבל שער מ- %s"
"Connection timeout in seconds","Connection timeout in seconds"
"Continue &raquo;","המשך &laquo;"
"Country","ארץ"
"Country Api","Country Api"
"Country and Format Type combination should be unique","שילוב של ארץ וסוג פורמט צריך להיות ייחודי"
"Currency","מטבע"
"Currency Options","מטבעות - אפשרויות"
"Currency Setup","ניהול מטבעות"
"Currency Update Warnings","אזהרות עדכון מטבע"
"Currency will be used for all online payment transactions","Currency will be used for all online payment transactions"
"Default display currency","מטבע ברירת מחדל"
"Directory","ספרייה"
"Enabled","פעיל"
"Error Email Recipient","שגיאה באימייל הנמען"
"Error Email Sender","שגיאה באימייל השולח"
"Error Email Template","שגיאה בתבנית האימייל"
"FATAL ERROR:","שגיאה חמורה:"
"Frequency","תדירות"
"Installed Currencies","מטבעות מותקנים"
"Invalid Import Service Specified","Invalid Import Service Specified"
"Invalid country code: %s","קוד מדינה שגוי: %s"
"Invalid rates received","תעריפים שגויים התקבלו"
"Invalid target currency","Invalid target currency"
"List of countries","רשימת ארצות"
"List of regions in specified country","רשימת איזורים במדינה ספיצפית"
"Region","אזור"
"Region Api","Region Api"
"Remove space from currency sign","Remove space from currency sign"
"Scheduled Import Settings","הגדרות ייבוא מתוזמנות"
"Select Your Currency","בחר מטבע שלך"
"Service","שירות"
"Start Time","שעת התחלה"
"State/Province","מדינה/מחוז"
"Strikeiron Email Update Warnings"," אזהרות עדכון דוא""ל Strikeiron "
"Unable to initialize import model","לא יכול להתחיל את מודול הייבוא"
"Undefined rate from ""%s-%s""","השער לא מוגדר מ-""%s-%s"""
"WARNING:","אזהרה:"
"Webservicex","Webservicex"
"Your current currency is: %s","המטבע הנוכחי שלך: %s"
