"Billing Information","מידע אודות החיוב"
"Change Payment Method","שנה שיטת התשלום"
"Change Shipping Address","שנה כתובת למשלוח"
"Edit Shopping Cart","ערוך עגלת קניות"
"Email","Email"
"Incl. Tax","Incl. Tax"
"Items in Your Shopping Cart","פריטים בעגלת הקניות שלך"
"No shipping method required.","No shipping method required."
"PayPal Account","חשבון PayPal"
"PayPal Email","PayPal Email"
"Payment Method","שיטת התשלום"
"Place an Order","הזמן"
"Please select a shipping method...","אנא בחר את שיטת השילוח..."
"Price","מחיר"
"Product Name","שם המוצר"
"Qty","כמות"
"Review Order","סקור ההזמנה"
"Shipping Address","כתובת למשלוח"
"Shipping Information","מידע על משלוח"
"Shipping Method","שיטת שילוח"
"Sorry, no quotes are available for this order at this time.","אנו מתנצלים. בשלב זה אין הצעות מחיר להזמנה זו."
"Submitting order information...","שולח מידע על ההזמנה..."
"Subtotal","סך ביניים"
"Update Shipping Method","עדכן צורת משלוח"
"You will be redirected to PayPal website when you place an order.","You will be redirected to PayPal website when you place an order."
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
"Your billing address will be ignored and you will be redirected to PayPal website","לא תהיה התחשבות בכתובת החיוב, ותועבר ישירות לאתר PayPal"
