" and ","ו/גם"
"(Absolute path or Relative to Magento install root, ex. var/export)","(נתיב מוחלט או יחסי לתקיית הבסיס של התקנת מג'נטו, לדוגמא. var/export)"
"(For US 2-letter state names)","(עבור ארה""ב - מדינה ב-2 אותיות)"
"(If left empty will be auto-generated)","(אם ריק, ייוצר אוטומטית)"
"(Leave empty for first spreadsheet)","(השאר ריק עבור הגליון הראשון)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(המוצרים יתווספו/יעודכו לחנות זו אם עמודת 'חנות' ריקה או חסרה בקובץ המיובא)"
"(Shift-)Click or drag to change value","(Shift-)Click או גרירה לשינו ערך"
"(Starting with)","(מתחיל ב)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(בבחירת 'לא' רק שדות ממופים ייובאו. בעת מיפוי השתמש ב- 'עמודה1', 'עמודה2' וכו')"
"(You have to increase php memory_limit before changing this value)","(עליך להגדיל את מכסת זכרון  php ב memory_limit לפני ביצוע שינויים בערך זה)"
"(\t for tab)","(t לטאב)"
"- Click on any of the time parts to increase it","- לחץ על חלקי הזמן כדי להגדילם"
"- Hold mouse button on any of the above buttons for faster selection.","- השאר את כפתור העכבר לחוץ על אחד הכפתורים העליונים לבחירה מהירה."
"- Use the %s buttons to select month","- השתמש בכפתורי ה- % לבחירת חודש"
"- Use the %s, %s buttons to select year","- השתמש ב-%, כפתורי % לבחירת שנה"
"- or Shift-click to decrease it","- או לחץ Shift-click כדי להוריד את הערך"
"- or click and drag for faster selection.","- או לחץ וגרור לבחירה מהירה יותר."
"API:","API:"
"About the calendar","אודות לוח השנה"
"Access Denied.","Access Denied."
"Account Created in:","החשבון נוצר בתוך:"
"Account Created on (%s):","חשבון נוצר ב (%s):"
"Account Created on:","החשבון נוצר ב:"
"Action","פעולה"
"Actions","פעולות"
"Add","Add"
"Add Contents Path","הוסף מיקום לתוכן"
"Add Field with URL:","הוסף שדה עם URL:"
"Add Maintainer","Add Maintainer"
"Add New Role","הוסף תפקיד חדש"
"Add New Template","Add New Template"
"Add New User","הוסף משתמש חדש"
"Add PHP Extension dependency","הוסף תלות הרחבות PHP  "
"Add Package dependency","הוסף תלות חבילה"
"Add Subpackage dependency","Add Subpackage dependency"
"Add new store view map","Add new store view map"
"Add new website map","Add new website map"
"Address Type:","סוג כתובת:"
"All","הכל"
"All Websites","כל האתרים"
"All fields","כל השדות"
"Archive file name:","הכנס שם קובץ לארכיון:"
"Are you sure that you want to delete this template?","אתה בטוח שאתה רוצה למחוק את התבנית הזאת?"
"Are you sure that you want to strip tags?","האם אתה בטוח שברצונך להסיר את התגים?"
"Attribute Set Name:","סט תכונות - שם:"
"Attributes","תכונות"
"Available Products","מוצרים זמינים"
"Big Image","תמונה גדולה"
"Billing Address","כתובת לחיוב"
"Bundle Items","פריטים מקובצים"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","מוצר מקובץ עם תמחור דינמי לא יכול להכיל אפשרויות מותאמות אישית. האפשרויות לא ישמרו."
"CSV / Tab separated","CSV / מופרד בטאבים"
"Card Verification Number","מספר CVV של הכרטיס"
"Catalog","קטלוג"
"Channel","ערוץ"
"Channel:","Channel:"
"Choose Store View","בחר מבט חנות"
"Client Session timeout (sec.)","Client Session timeout (sec.)"
"Close","סגור"
"Comments History","היסטוריית הערות"
"Confirmed email:","דוא""ל מאושר:"
"Connect with the Magento Community","התחבר לקהילת מג'נטו"
"Contents","תכנים"
"Country:","ארץ:"
"Create New Staging Store View","Create New Staging Store View"
"Create a backup","Create a backup"
"Created <strong>%s</strong> items","Created <strong>%s</strong> items"
"Credit Card Number","מספר כרטיס אשראי"
"Credit Card Number: xxxx-%s","מספר כרטיס אשראי: xxxx-%s"
"Credit Card Type","סוג כרטיס אשראי"
"Credit Card Type: %s","סוג כרטיס אשראי: %s"
"Credit Memo History","זכות - היסטוריה"
"Credit Memo Totals","זכות - סיכומים"
"Current Configuration Scope:","טווח/תחום ההגדרות הנוכחיות"
"Current Release Information","Current Release Information"
"Custom","מותאם אישית"
"Customer Group:","קטגוריית לקוח:"
"Customer Since:","לקוח מתאריך:"
"Customers","קונים"
"DHTML Date/Time Selector","תאריך DHTML /בורר זמן"
"Dashboard","לוח בקרה"
"Data Format","פורמט נתונים"
"Data transfer:","העברת נתונים:"
"Date selection:","תאריך בחירה:"
"Date selector","בחירת תאריך"
"Date:","Date:"
"Decimal separator:","מפריד עשרוני:"
"Default (Admin) Values","ערכי ברירת מחדל (מנהל)"
"Default Values","ערכי ברירת מחדל"
"Delete","מחק/מחיקה"
"Dependencies","Dependencies"
"Description:","Description:"
"Direction:","כיוון:"
"Display %s first","הצג %s ראשון"
"Distributed under GNU LGPL. See %s for details.","מופץ תחת חוקי GNU LGPL. ראה %s לפרטים."
"Done By:","Done By:"
"Done by:","Done by:"
"Download Remote File","Download Remote File"
"Drag to move","גרור כדי להזיז"
"Edit Role","ערוך תפקיד"
"Edit User '%s'","ערוך יוזר '%s'"
"Email","מייל"
"Email Preview","אימייל - תצוגה מקדימה"
"Email:","אימייל:"
"Enclose Values In:","הקף ערכים ב:"
"Entity type:","סוג ישות:"
"Excl. Tax","לא כולל מס"
"Exclude","Exclude"
"Expiration Date","בתוקף עד"
"Expiration Date: %s/%s","תאריך תפוגה: %s/%s"
"Export","ייצוא/ייצא"
"Export Filters","ייצא קבצים"
"Export to:","ייצא ל:"
"Export:","ייצא:"
"Extension","הרחבה/תוספת"
"Extensions","הרחבות /תוספות"
"FTP Host[:Port]","FTP הוסט[:פורט]"
"Field Mapping","מיפוי שדות"
"File Information","מידע על קובץ"
"File name:","שם קובץ:"
"Final Price","מחיר סופי"
"Finished items creation.","Finished items creation."
"First Name:","שם פרטי:"
"For latest version visit: %s","לגירסה אחרונה בקר ב: %s"
"From","מ"
"General Settings","הגדרות כלליות"
"Get help for this page","קבל עזרה לעמוד זה"
"Global Record Search","חיפוש גלובלי לרשומה"
"Go Today","עבור להיום"
"Google Base Items"," פריטי Google Base "
"Group:","קבוצה:"
"Help Us Keep Magento Healthy - Report All Bugs","עזור לנו לשמור על בריאות מג'נטו - דווח על כל הבאגים"
"Ignore","התעלם"
"Images","תמונות"
"Import","ייבוא/ייבא"
"Import Service","ייבא שירות/שירות ייבוא"
"In Database:","בבסיס הנתונים:"
"In File:","בקובץ:"
"Inactive","Inactive"
"Incl. Tax","כולל מס"
"Include","כולל"
"Installed As","Installed As"
"Interactive","אינטראקטיבי"
"Interface Locale: %s","ממשק Locale: %s"
"Invalid webservice adapter specified","Invalid webservice adapter specified"
"Invalid webservice handler specified","Invalid webservice handler specified"
"Invoice History","היסטוריית חשבונית"
"Invoice Totals","חשבונית - סה""כ-ים"
"Issue Number","מספר גיליון/מהדורה"
"Issuer: %s","פונה: %s"
"Items to merge","Items to merge"
"Last 5 Orders","5 הזמנות אחרונות"
"Last 5 Search Terms","5 חיפושים אחרונים"
"Last Logged In (%s):","התחבר לאחרונה ב (%s):"
"Last Logged In:","התחבר לאחרונה:"
"Last Name:","שם משפחה:"
"Latest Message:","הודעה אחרונה:"
"Leave empty to use tax identifier","השאר שדה ריק בכדי להשתמש במחשב מס"
"Level","Level"
"License:","License:"
"Loading...","טוען..."
"Local Server","שרת מקומי"
"Local/Remote Server","שרת מקומי/מרוחק"
"Log Out","התנתק"
"Logged in as %s","מחובר כ %s"
"MS Excel XML","MS Excel XML"
"Magento Core Api","Magento Core Api"
"Magento Core Api Section","Magento Core Api Section"
"Magento Logo","לוגו מג'נטו"
"Magento ver. %s","מג'נטו גירסה %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Maintainers","Maintainers"
"Manage Stores","ניהול חנויות"
"Mapping Configuration","Mapping Configuration"
"Max","מקסימלי/מקסימום"
"Merge Now","Merge Now"
"Min","מינימום"
"Module version conflict!","Module version conflict!"
"N/A","לא זמין"
"Name","שם"
"Name on Card","שם בעל הכרטיס"
"Name on the Card: %s","שם על כרטיס: %s"
"Name:","שם:"
"Next month (hold for menu)","חודש הבא (החזק לתצוגת תפריט)"
"Next page","דף הבא"
"Next year (hold for menu)","שנה הבאה (החזרת לתצוגת תפריט)"
"No","לא"
"No Data Found","לא נמצאו נתונים"
"No search keywords.","אין מילות מפתח לחיפוש"
"Note:","הערה:"
"Notes:","Notes:"
"Number of records:","מספר רשומות:"
"Old rate:","שער ישן"
"Only mapped fields","רק שדות ממופים"
"Order Totals","סיכום הזמנה"
"Order confirmation email not sent","Order confirmation email not sent"
"Order confirmation email sent","Order confirmation email sent"
"Original Magento attribute names in first row:","שמות תכונות Magento מקוריות"
"Package","חבילה"
"Package Information","Package Information"
"Packages","חבילות"
"Page","עמוד/דף"
"Passive mode","מצב פאסיבי"
"Password","סיסמא"
"Path","נתיב"
"Path:","נתיב:"
"PayPal Email","PayPal Email"
"Personal Information","פרטים אישיים"
"Phone:","טלפון:"
"Please confirm site switching. All data that hasn't been saved will be lost."," אשר החלפת אתרים , כל מידע שלא נשמר יאבד. "
"Please enter 6 or more characters.","יש להקליד 6 תווים או יותר."
"Please enter a number greater than 0 in this field.","בשדה זה יש להקליד מספר הגדול מ-0"
"Please enter a valid $ amount. For example $100.00.","בבקשה הכנס סכום תקין לדוגמא $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","אנא הקלד כתובת חוקית, לדוגמא: http://www.example.com or www.example.com"
"Please enter a valid URL. http:// is required","אנא הקלד כתובת תקנית. http:// נדרש"
"Please enter a valid credit card number.","יש להקליד מספר כרטיס אשראי חוקי."
"Please enter a valid date.","יש להקליד תאריך תקין."
"Please enter a valid email address. For example johndoe@domain.com.","הקלד כתובת אימייל תקינה, לדוגמא: johndoe@domain.com."
"Please enter a valid number in this field.","בשדה זה יש להקליד מספר חוקי."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","אנא הקלד מספר טלפון תקני, לדוגמא: (123) 456-7890 או 123-456-7890"
"Please enter a valid social security number. For example 123-45-6789.","אנא הקלד מספר ביטוח לאומי/ת.ז. תקני, לדוגמא: 123456789"
"Please enter a valid value from list","אנא הקלד ערך חוקי מהרשימה"
"Please enter a valid value, ex: 10,20,30","אנא הקלד ערך חוקי, לדוגמא: 10,20,30"
"Please enter a valid zip code.","יש להקליד מיקוד תקין."
"Please enter a valid zip code. For example 90602 or 90602-1234.","אנא ציין מיקוד. לדוגמא 69020"
"Please enter valid password.","יש להקליד סיסמה חוקית."
"Please make sure that your changes were saved before running the profile.","ודא כי השינויים נשמרו לפני הרצה של הפרופיל."
"Please make sure your passwords match.","יש לוודא שהסיסמאות זהות."
"Please select State/Province.","בחר מדינה/מחוז."
"Please select an option.","בחר אפשרות"
"Please select one of the above options.","יש לבחור אחת מהאפשרויות לעיל."
"Please select one of the options.","יש לבחור אחת מהאפשרויות."
"Please use in this field only ""a-z,0-9,_"".","אנא השתמש ב- ""a-z, 0-9, _"" בלבד."
"Please use letters only (a-z) in this field.","אנא השתמש באותיות (a-z) בלבד"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Please use numbers only in this field. please avoid spaces or other characters such as dots or commas."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","אנא השתמש בספרות (0-9) ואותיות (א-ת, a-z) בלבד. המנע משימוש ברווחים ותווים אחרים."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","אנא השתמש בספרות (0-9), אותיות (א-ת, a-z), רווחים ו # בלבד בשדה זה."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","אנא השתמש בפורמט תאריך מסוג dd/mm/yyyy, לדוגמא: 17/03/2006 עבור ה- 17 למרץ, 2006."
"Please wait, loading...","אנא המתן/י, טוען..."
"Please, select a store view","Please, select a store view"
"Prev. month (hold for menu)","חודש קודם (החזק לתפריט)"
"Prev. year (hold for menu)","שנה קודמת (החזק לתפריט)"
"Previous page","דף קודם"
"Price","מחיר"
"Price:","מחיר:"
"Primary Billing Address","Primary Billing Address"
"Processed <strong>%s%% %s/%d</strong> items","Processed <strong>%s%% %s/%d</strong> items"
"Product","מוצר"
"Products","מוצרים"
"Profile Information","מידע פרופיל"
"Provided Files","Provided Files"
"Qty","כמות"
"Read details","קרא פרטים"
"Recommended","Recommended"
"Remote FTP","שרת FTP מרוחק"
"Remote URL:","Remote URL:"
"Remove","הסר"
"Resource Access","גישה למשאבים"
"Resources","משאבים"
"Role","Role"
"Role Users","תפקיד - משתמשים"
"Roles","תפקידים"
"Roles Resources","משאבי תפקידים"
"SKU","מק""ט"
"SKU:","מקט:"
"Schedule Merge","Schedule Merge"
"Select All","בחר הכל"
"Select Date","בחר תאריך"
"Select Range","בחר טווח"
"Select Visible","בחר גלויים"
"Select date","בחר תאריך"
"Select website from map","Select website from map"
"Select website to map","Select website to map"
"Shipment Comments","הערות שילוח"
"Shipment History","היסטוריית משלוח"
"Shipping Address","כתובת למשלוח"
"Shipping address selection is not applicable","בחירת כתובת למשלוח אינה ישימה"
"Shipping method selection is not applicable","בחירת שיטות משלוח אינה ישימה"
"Show Report for","Show Report for"
"Show by","Show by"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","פריטים מסוימים בהזמנה בעלי חשבוניות  וסוג משלוח שונה. אתה יכול ליצור משלוח רק לאחר יצירת חשבונית. "
"Sort Order","מיון לפי"
"Spreadsheet Name:","שם חוברת עבודה:"
"Staging Store: ","Staging Store: "
"Staging Website: ","Staging Website: "
"Start Date","תאריך התחלה"
"State/Province:","מדינה/מחוז:"
"Status","מצב"
"Status:","סטטוס:"
"Stock Quantity:","כמות מלאי:"
"Store:","חנות:"
"Store: ","Store: "
"Subpackage","Subpackage"
"Subpackages","Subpackages"
"Summary:","Summary:"
"Switch/Solo Only","Switch/Solo Only"
"Switch/Solo card issue number: %s"," מספר כרטיס Switch/Solo : %s"
"Switch/Solo card start Date: %s/%s","תאריך פתיחת כרטיס Switch/Solo : %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(UK Domestic) רק"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic) מספר כרטיס: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK Domestic) תאריך פתיחת כרטיס: %s/%s"
"The information in this tab has been changed.","נעשה שינוי במידע בלשונית זו"
"This is a required field.","שדה זה הוא חובה."
"This tab contains invalid data. Please solve the problem before saving.","לשונית זו מכילה מידע לא תקין. אנא פתור את הבעיה לפני השמירה."
"Thumbnail","תמונה מקדימה"
"Time selection:","בחירת זמן:"
"Time:","זמן:"
"To","עבור/ל/עד"
"Top 5 Search Terms","5 מונחי חיפוש מובילים"
"Total %d records found","סה""כ %d רשומות נמצאי"
"Track order","Track order"
"Track this shipment","אתר משלוח זה"
"Type","סוג"
"Type:","סוג:"
"Unable to login.","תהליך התחברות נכשל."
"Unselect All","הסר הכל"
"Unselect Visible","הסר בחירה מגלויים"
"Upgrade All Available Packages","Upgrade All Available Packages"
"Upload Local File","Upload Local File"
"Upload local file:","Upload local file:"
"Use Default Value","השתמש בברית המחדל"
"User","משתמש"
"User Name","שם משתמש"
"User Roles","תפקידי משתמש"
"User name","שם משתמש"
"Users","משתמשים"
"Value Delimiter:","ערך תוחם:"
"Version:","Version:"
"View","הצג"
"View Statistics for","View Statistics for"
"Visibility:","גלוי:"
"Warning! Empty value can cause problems with CSV format.","אזהרה! ערך ריק יכול לגרום לבעיות עם פורמט CSV"
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Warning!rnThis action will remove this user from already assigned rolernAre you sure?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?"
"Web Services","שירותי רשת"
"Web Services Configuration","Web Services Configuration"
"Website: ","Website: "
"Websites","Websites"
"Websites / Stores","Websites / Stores"
"What is this?","מה זה?"
"Yes","כן"
"You have","You have"
"Your Account has been deactivated.","Your Account has been deactivated."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","הגדרות  PHP של השרת מאפשרות לך להעלות לא יותר מ %s  קבצים בכל פעם. התאם את הערכים של  post_max_size (כרגע  %s) ואת upload_max_filesize (כרגע %s)  בקובץ php.ini  אם אתה רוצה להעלות יותר קבצים בכל פעם."
"Zip/Postal Code:","מיקוד/ת.ד.:"
"critical","קריטי"
"images/logo.gif","images/logo.gif"
"items selected","פריטים נבחרים"
"major","גדול"
"md5sum","md5sum"
"minor","קטן"
"notice","notice"
"of %s pages","מתוך %s עמודים"
"or","or"
"per page","לעמוד"
"to","עבור/ל/עד"
