"Actions","פעולות"
"Are you sure?","האם אתה בטוח?"
"Date Added","תאריך התווספות"
"Error while marking as read. Please try again later.","Error while marking as read. Please try again later."
"Error while marking. Please try again later.","Error while marking. Please try again later."
"Error while removing. Please try again later.","Error while removing. Please try again later."
"Last update","Last update"
"Mark as Read","סמן כנקרא"
"Mark as read","סמן כנקרא"
"Message","הודעה"
"Message was successfully marked as read","Message was successfully marked as read"
"Message was successfully removed","Message was successfully removed"
"Messages Inbox","דואר נכנס"
"Notifications","הערות"
"Please select messages","Please select messages"
"Read Details","קרא פרטים"
"Remove","הסר"
"Severity","חומרה"
"Show List","הראה רשימה"
"Show Toolbar","הראה תפריט כלים"
"Total of %d record(s) were successfully marked as read","Total of %d record(s) were successfully marked as read"
"Total of %d record(s) were successfully removed","Total of %d record(s) were successfully removed"
"Unable to proceed. Please, try again","Unable to proceed. Please, try again"
"Update frequency","Update frequency"
"Use HTTPS to get feed","Use HTTPS to get feed"
"critical","קריטי"
"major","גדול"
"minor","קטן"
"notice","הודעה"
