"Action","פעולה"
"All types","כל הסוגים"
"Backup file ""%s"" can't read or write","Backup file ""%s"" can't read or write"
"Backup file ""%s"" doesn't exist","Backup file ""%s"" doesn't exist"
"Backup file doesn't exist","קובץ גיבוי לא קיים"
"Backup file handler don't specify","Backup file handler don't specify"
"Backup file path don't specify","Backup file path don't specify"
"Backups","גיבויים"
"Cannot read backup file","לא יכול לקרוא קובץ גיבוי"
"Create Backup","צור גיבוי"
"DB","בסיס נתונים"
"Database was successfuly backed up.","נסד הנתונים גובה בהצלחה"
"Download","הורד"
"Error write to Backup file ""%s""","Error write to Backup file ""%s"""
"File compressed with Zlib, but this extension is not installed on server","הקובץ מכווץ עם Zlib אך מודול זה אינו מותקן בשרת זה"
"Size, byte","Size, byte"
"Time","שעה/זמן"
"Type","סוג"
"Unable to create backup. Please, try again later.","לא יכול ליצור גיבוי. אנא נסה מאוחר יותר."
"Wrong order of creation for new backup","סדר יצירה שגוי לגיבוי חדש"
