"%s is not correct comparsion method.","%s nejsou platné porovnávací metody."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Mějte na paměti</strong>, že tato nastavení jsou použitelná na zboží v košíku, nikoliv na celý košík."
"Allow Qty Below 0","Povolit množství menší než 0"
"Allow Qty Below 0 and Notify Customer","Povolit množství menší než 0 a upozornit zákazníka"
"Backorders","Zpětné objednávky"
"By Fixed value","Podle pevné hodnoty"
"By Percentage","Podle procent"
"Can not specify product identifier for order item","Není specifikován identifikátor produktu pro objednávku"
"Catalog Inventory","Sklad"
"Decrease Stock When Order is Placed","Snížit množství na skladě když je objednávka přijata"
"In Stock","Skladem"
"Inventory","Sklad"
"Inventory API","API skladu"
"Inventory Section","Sklad"
"Manage Stock","Spravovat sklad"
"Maximum Qty Allowed in Shopping Cart","Maximální dovolené množství v košíku"
"Minimum Qty Allowed in Shopping Cart","Minimální množství dovolené v košíku"
"No Backorders","Nedovolit zpětné objednávky"
"Notify for Quantity Below","Upozornit pro množství menší než"
"Out of Stock","Vyprodáno"
"Product Stock Options","Možnosti skladu"
"Qty for Items' Status to become Out of Stock","Minimální množství pro stav ""Vyprodáno"""
"Retrieve stock data","Načíst data skladu"
"Retrieve stock data by product ids","Získat data skladu podle ID produktu"
"Rule price","Pravidla cen"
"Set Items' Status to be In Stock When Order is Cancelled","Nastavit stav ""Na skladě"" pokud je objednávka zrušena"
"Some of the products are currently out of stock","Některý z požadovaných produktů je momentálně vyprodán."
"Some of the products can not be ordered in requested quantity","Některý z produktů nemůže být objednán v požadovaném množství."
"Some of the products cannot be ordered in the requested quantity","Některý z produktů nemůže být objednán v požadovaném množství"
"Stock Options","Možnosti skladu"
"Stock item for Product in option is not valid","Skladová položka pro produkt s volbou není platná"
"Stock item for Product is not valid","Skladová položka pro produkt není platná"
"The maximum quantity allowed for purchase is %s.","Maximální povolené množství na objednávku je %s."
"The minimum quantity allowed for purchase is %s.","Minimální povolené množství na objednávku je %s."
"The requested quantity for ""%s"" is not available.","Požadované množství ""%s"" není dostupné."
"The requested quantity is not available.","Požadované množství není dostupné."
"This product is currently out of stock.","Tento produkt je momentálně vyprodán."
"To Fixed Value","Pevnou hodnotou"
"To Percentage","Procentně"
"Update","Aktualizovat"
"Update product stock data","Aktualizovat skladová data produktu"
"Update the Product","Aktualizovat produkt"
