"Add New Row","Přidat nový řádek"
"An error occurred while saving the file(s).","Chyba během ukládání souborů."
"Availability: In stock.","Dostupnost: Skladem."
"Availability: Out of stock.","Dostupnost: Vyprodáno."
"Back","Zpět"
"Can't connect to remote host, error: %s","Nelze se připojit ke vzdálenému hostiteli, chyba: %s"
"Canceled","Zrušené"
"Date","Datum"
"Default Link Title","Výchozí nadpis odkazu"
"Default Maximum Number of Downloads","Výchozí hodnota maximálního počtu stažení"
"Default Sample Title","Výchozí nadpis ukázky"
"Disable Guest Checkout if cart contains downloadable items","Vypnout možnost nákupu hostů pokud košík obsahuje elektronicky distribuované produkty"
"Downloadable Information","Stahovatelné informace"
"Downloadable Product","Elektronicky distribuovaný produkt"
"Downloadable Product Options","Nastavení elektronicky distribuovaného produktu"
"Downloadable product Section","Elektronicky distribuovaný produkt"
"Excl. Tax","Bez daně"
"File","Soubor"
"File does not exists","Soubor neexistuje"
"From:","Od:"
"Gift Message","Přání"
"Go to <a href=""%s"">My Downloadable Products</a>","Přejít na <a href=""%s"">Moje produkty ke stažení</a>"
"Guest checkout will only work with shareable","Hosté mohou pracovat pouze se sdílenými"
"Incl. Tax","S daní"
"Invalid download URL host","Chybná adresa URL"
"Invalid download URL scheme","Chybný režim URL"
"Invalid download link type","Chybný typ odkazu"
"Invoiced","Fakturováno"
"Link has expired.","Odkaz vypršel."
"Link is not available.","Odkaz není dostupný."
"Links can be purchased separately","Odkazy lze zakoupit samostatně"
"Max. Downloads","Maximum stažení"
"Message:","Zpráva:"
"My Downloadable Products","Moje soubory ke stažení"
"Open Links in New Window","Otevřít odkaz v novém okně"
"Order #","Objednávka č."
"Order Item Status to enable Downloads","Stav objednávky k umožnění stažení"
"Ordered","Objednáno"
"Pending","Čekající"
"Please log in to download your product.","Přihlaste se pro stahování Vašich produktů."
"Please set resource file and link type","Prosím nastavte zdrojový soubor a typ odkazu"
"Please specify product link(s).","Specifikujte odkazy produktu."
"Price","Cena"
"Refunded","Splacený"
"Remaining Downloads","Zbývá stažení"
"Remove item","Odstranit položku"
"Requested link doesn't exist.","Požadovaný odkaz neexistuje."
"Sample","Ukázka"
"Shareable","Sdílený"
"Shipped","Odesláno"
"Sorry, the was an error getting requested content. Please contact store owner.","Omlouváme se, nastala chyba při požadovaném obsahu. Prosím kontaktujte správce obchodu."
"Sorry, there was an error getting requested content","Omlouváme se, nastala chyba při získávání požadovaného obsahu"
"Sorry, there was an error getting requested content. Please contact store owner.","Omlouváme se, nastala chyba při požadovaném obsahu. Prosím kontaktujte správce obchodu."
"Sort Order","Řazení objednávek"
"Start Download","Zahájit stahování"
"Status","Stav"
"Title","Nadpis"
"To:","Pro:"
"U","U"
"Unlimited","Neomezeno"
"View Order","Zobrazit objednávku"
"You have not purchased any downloadable products yet.","Nemáte zakoupeny žádné produkty ke stažení."
"attachment","příloha"
"download","stáhnout"
"inline","inline"
"sample","ukázka"
"My Downloadable Products","My Downloadable Products"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
