"Actions","Události"
"Active","Aktivní"
"Add New Rule","Přidat nové pravidlo"
"Apply","Použít"
"Apply the rule only if the following conditions are met (leave blank for all products)","Použít pravidlo pouze pokud budou splněny následující podmínky (nechte prázdné pro všechny produkty)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Použít pravidlo pouze pokud položky v košíku obsahují následující podmínky (nechte prázdné pro všechny položky)"
"Apply the rule to cart items matching the following conditions","Použít pravidlo pro položky košíku obsahující následující podmínky"
"Apply to","Použít na"
"Buy X get Y free (discount amount is Y)","Kupte X dostanete Y zdarma (množstevní sleva je Y)"
"By Fixed Amount","Podle pevné hodnoty"
"By Fixed value","Podle pevné hodnoty"
"By Percentage","Podle procent"
"By Percentage of the original price","Procentuelně z původní ceny"
"Cart Attribute","Vlastnosti košíku"
"Catalog","Katalog"
"Conditions","Podmínky"
"Conditions combination","Kombinace podmínek"
"Coupon Code","Kód kupónu"
"Coupon code","Kód kupónu"
"Customer Groups","Skupiny zákazníků"
"Customer is new buyer: %s","Zákazník je nový nakupující: %s"
"Customer registered: %s","Zákazník registrován: %s"
"Date Expire","Datum vyprší"
"Date Start","Datum začátku"
"Delete Rule","Smazat pravidlo"
"Description","Popis"
"Description: %s","Popis: %s"
"Discount Qty Step (Buy X)","Množstevní sleva Krok (Koupit X)"
"Discount amount","Množstevní sleva"
"Edit Rule","Upravit pravidlo"
"Edit Rule '%s'","Upravit pravidlo '%s'"
"Expire at: %s","Vyprší: %s"
"Fixed amount discount","Pevné množstevní slevy"
"Fixed amount discount for whole cart","Pevná množstevní sleva pro celý košík"
"For matching items only","Jen pro odpovídající položky"
"For shipment with matching items","Pro doručení s odpovídajícími položkami"
"Free shipping","Dodání zdarma"
"From Date","Od data"
"General Information","Všeobecné informace"
"ID","ID"
"Inactive","Neaktivní"
"Maximum Qty Discount is Applied to","Maximální množství sleva je použita na"
"NOT LOGGED IN","NEPŘIHLÁŠEN"
"Name: %s","Název: %s"
"New Rule","Nové pravidlo"
"No","Ne"
"Payment Method","Platební metoda"
"Percent of product price discount","Sleva v procentech"
"Price in cart","Cena v košíku"
"Priority","Priorita"
"Product attribute combination","Kombinace vlastností produktu"
"Products subselection","Podvýběr produktů"
"Promotions","Propagace"
"Public In RSS Feed","Uveřejnit v RSS kanálu"
"Quantity in cart","Množství v košíku"
"Row total in cart","Celkem řádků v košíku"
"Rule Information","Informace o pravidlech"
"Rule Name","Jméno pravidla"
"Rule was successfully deleted","Pravidlo bylo úspěšně odstraněno"
"Rule was successfully saved","Pravidlo bylo úspěšně uloženo"
"Save Rule","Uložit pravidlo"
"Shipping Country","Země doručení"
"Shipping Method","Způsob dodání"
"Shipping Postcode","PSČ doručení"
"Shipping Region","Kraj doručení"
"Shipping State/Province","Doručit do Kraje/Regionu"
"Shopping Cart Price Rule","Pravidla cen pro nákupní košík"
"Shopping Cart Price Rules","Pravidla cen pro nákupní košík"
"Special price","Zvláštní cena"
"Start at: %s","Začátek: %s"
"Status","Stav"
"Stop further rules processing","Zastavit zpracování dalších pravidel"
"Subtotal","Součet"
"The page you are trying to save no longer exists","Stránka kterou zkoušíte uložit již déle neexistuje"
"This rule no longer exists","Tato pravidlo již dlouho neexistuje"
"To Date","do data"
"To Fixed Amount","Pro pevné množství"
"To Fixed Value","Pevnou hodnotou"
"To Percentage","Procentně"
"To Percentage of the original price","Pro procenta z původní ceny"
"Total Items Quantity","Celkové množství položek"
"Total Weight","Celková váha"
"Unable to find a page to delete","Nenalezena stránka k smazání"
"Update prices using the following information","Aktualizovat cenu s použitím následujících informací"
"Update product's %s %s: %s","Aktualizovat produktové %s %s: %s"
"Update the Product","Aktualizovat produkt"
"Uses per coupon","Použít kupón"
"Uses per customer","použil zákazník"
"Yes","Ano"
