"1 star","1 hvězdička"
"2 stars","2 hvězdičky"
"3 stars","3 hvězdičky"
"4 stars","4 hvězdičky"
"5 stars","5 hvězdiček"
"Add New Rating","Přidat nové hodnocení"
"Assigned Options","Přiřazené možnosti"
"Be the first to review this product","Napište první recenzi tohoto produktu"
"Default Value","Výchozí"
"Delete Rating","Smazat hodnocení"
"Edit Rating","Upravit hodnocení"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Pokud nespecifikujete nadpis hodnocení pro obchod bude použita výchozí hodnota."
"Manage Ratings","Spravovat hodnocení"
"New Rating","Nové hodnocení"
"Option Label","Možnosti nadpisu"
"Option Title","Volba nadpisu"
"Option Title:","Volba Nadpisu:"
"Please select one of each ratings above","Vyberte jednu z následujících možností"
"Rating Information","Informace o hodnocení"
"Rating Name","Jméno hodnocení"
"Rating Options","Možnosti hodnocení"
"Rating Title","Nadpis hodnocení"
"Rating Visibility","Viditelnost hodnocení"
"Rating isn't Available","Hodnocení není dostupné"
"Rating with the same title","Hodnocení se stejným názvem"
"Save Rating","Uložit hodnocení"
"Visible In","Viditelné v"
