"# of Uses","počet použití"
"%s tag(s) have been accepted for moderation","Děkujeme. Váš štítek (%s) byl přijat ke schváliení."
"Action","Událost"
"Actions","Události"
"Add New Tag","Přidat nový štítek"
"Add Tags","Přidat štítky"
"Add Your Tags:","Přidejte vaše štítky:"
"Add to Cart","Přidat do košíku"
"Add to Wishlist","Přidat do seznamu přání"
"All Tags","Všechny štítky"
"Approved","Schválený"
"Are you sure that you want to delete this tag?","Jste si jisti, že chcete smazat tento štítek?"
"Are you sure you want to delete this tag?","Určitě chcete tento štítek smazat?"
"Are you sure you want to do this?","Jste si jisti, že to chcete udělat?"
"Are you sure?","Jste si jisti?"
"Back","Zpět"
"Back to Tags List","Zpět na seznam štítků"
"Back to view Tag","Zpět na prohlížení štítků"
"Block Information","Informace o bloku"
"CSV","CSV"
"Change status","Stav změněn"
"Click on a tag to view your corresponding products.","Kliknutím na štítek zobrazíte odpovídající produkty"
"Country","Země"
"Customer Since","Zákazníkem od"
"Customers","Zákazníci"
"Customers Tagged '%s'","Štítky od zákazníků '%s'"
"Delete","Smazat"
"Delete Tag","Smazat štítek"
"Disabled","Neaktivní"
"Edit Tag","Upravit štítek"
"Edit Tag '%s'","Upravit štítek '%s'"
"Email","E-mail"
"First Name","Jméno"
"General Information","Všeobecné informace"
"Grid","Tabulka"
"ID","ID"
"Last Name","Příjmení"
"List","Seznam"
"My Recent Tags","Moje poslední štítky"
"My Tags","Moje štítky"
"Name","Jméno"
"New Tag","Nový štítek"
"No matches found.","Nebyl nalezen žádný záznam."
"Other people marked this product with these tags:","Ostatní označili tento produkt těmito štítky:"
"Pending","Čekající"
"Pending Tags","Čekající štítky"
"Popular","Oblíbené"
"Popular Tags","Oblíbené štítky"
"Popularity","Obliba"
"Price","Cena"
"Product Name","Název produktu"
"Product SKU","Produkt SKU"
"Product Tags","Štítky produktu"
"Products","Produkty"
"Products Tagged with '%s'","Produkty oštítkované jako '%s'"
"Products tagged with '%s'","Produkty oštítkované jako '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Produkty oštítkované jako '%s' (<a href='%s'>RSS</a>)"
"SKU","SKU"
"Save Tag","Uložit štítek"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Výsledky hledání '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Vyhledávané termíny"
"Status","Stav"
"Tag","Štítek"
"Tag ""%s"" has already been added to the product","Štítek ""%s"" byl již přidán k výrobku"
"Tag Information","Informace o štítku"
"Tag Name","Jméno štítku"
"Tag Name: %s","Název štítku: <strong>%s</strong>"
"Tag can't be empty.","Štítek nesmí být prázdný."
"Tagged in","Oštítkován v"
"Tags","Štítky"
"Tags Aren't Available","Štítky nejsou k dispozici"
"Tags:","Štítky:"
"Telephone","Telefon"
"Thank you. Your tag has been accepted for moderation.","Děkujeme. Váš štítek byl přijat ke schváliení."
"Unable to find any products tagged with '%s' in the current store","Nenalezen žádný produkt označený štítkem '%s' v tomto obchodě"
"Unable to remove tag. Please, try again later.","Štítek se nepodařilo odstranit. Zkuste to prosím později."
"Unable to save tag(s)","Nelze uložit štítky"
"Unable to save your tag. Please, try again later.","Váš štítek nelze uložit. Zkuste to prosím později."
"Use spaces to separate tags. Use single quotes (') for phrases.","Štítky oddělujte mezerou. Víceslovné uzavřete v apostrofech (')."
"Uses","Použití"
"View All","Zobrazit všechny štítky"
"View All Tags","Zobrazit všechny štítky"
"View Customers","Zobrazit zákazníky"
"View Products","Zobrazit produkty"
"Visible In","Viditelné v"
"XML","XML"
"You have not tagged any products yet.","Zatím jste neoznačili štítkem žádný produkt"
"Your tag was successfully deleted","Váš štítek byl úspěšně smazán"
"Your tag was successfully saved","Váš štítek byl úspěšně uložen"
"ZIP/Post Code","PSČ"
