" and "," a "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absolutní nebo realativní cesta k Magento kořenové instalaci, např. var/export)"
"(For US 2-letter state names)","(Pro USA 2-znakové jméno státu)"
"(If left empty will be auto-generated)","(Pokud ponecháte prázdné bude vygenerován automaticky)"
"(Leave empty for first spreadsheet)","(Ponechte prázdné pro první sešit)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkt bude přidán/upraven do tohoto obchodu, pokud je sloupec prázdný nebo chybí v importním souboru.)"
"(Shift-)Click or drag to change value","(Shift-) Klik nebo tažením změníte hodnotu"
"(Starting with)","(počínaje)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Pokud 'Ne', budou importovány pouze přiřazená pole. Pokud přiřazujete pole použijte 'sloupec1', 'sloupec2', atd.)"
"(You have to increase php memory_limit before changing this value)","(Musíte zvednout php memory_limit než změníte tuto hodnotu)"
"(\t for tab)","(t pro tabelátor)"
"- Click on any of the time parts to increase it","- Kliknutím na některou z částí se její počet zvýší"
"- Hold mouse button on any of the above buttons for faster selection.","- Držte tlačítko myši nad některým z výše uvedených tlačítek pro rychlejší výběr."
"- Use the %s buttons to select month","- Použijte %s pro výběr měsíce"
"- Use the %s, %s buttons to select year","- Použijte %s, %s pro výběr roku"
"- or Shift-click to decrease it","- nebo Shift-klik pro snížení"
"- or click and drag for faster selection.","- nebo klik a tažení pro rychlé označení."
"API:","API:"
"About the calendar","O kalendáři"
"Access Denied.","Přístup zamítnut."
"Account Created in:","Účet vytvořen v:"
"Account Created on (%s):","Účet vytvořen v (%s):"
"Account Created on:","Účet vytvořen v:"
"Action","Událost"
"Actions","Události"
"Add","Přidat"
"Add Contents Path","Přidat obsah Cesta"
"Add Field with URL:","Přidat pole s URL:"
"Add Maintainer","Přidat správce"
"Add New Role","Přidat novou roli"
"Add New Template","Přidat novou šablonu"
"Add New User","Přidat nového uživatele"
"Add PHP Extension dependency","Přidat závislosti PHP rozšíření"
"Add Package dependency","Přidat závislosti balíčků"
"Add Subpackage dependency","Přidat závislosti částí"
"Add new store view map","Add new store view map"
"Add new website map","Přidat novou mapu stránek"
"Address Type:","Typ adresy:"
"All","Vše"
"All Websites","Všechny weby"
"All fields","Všechny pole"
"Archive file name:","Jméno zálohy:"
"Are you sure that you want to delete this template?","Jste si jisti, že chcete smazat tuto šablonu?"
"Are you sure that you want to strip tags?","Jste si jisti, že chcete odstranit štítky?"
"Attribute Set Name:","Název množiny vlastností:"
"Attributes","Vlastnosti"
"Available Products","Dostupné produkty"
"Big Image","Velký obrázek"
"Billing Address","Fakturační adresa"
"Bundle Items","Položky balení"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Balení s dynamickou cenou nesmí obsahovat vlastní definované možnosti. Nastavení nebylo uloženo."
"CSV / Tab separated","CSV / Oddělená tabulka"
"Card Verification Number","Ověřovací číslo karty (CCV)"
"Catalog","Katalog"
"Channel","Kanál"
"Channel:","Kanál:"
"Choose Store View","Vyberte pohled na obchod"
"Client Session timeout (sec.)","Session klienta vyprší za (sec.)"
"Close","Zavřít"
"Comments History","Historie komentářů"
"Confirmed email:","Potvrzující email:"
"Connect with the Magento Community","Spojení s komunitou Magento"
"Contents","Obsah"
"Country:","Země:"
"Create New Staging Store View","Vytvořit nový pohled na testovací obchod"
"Create a backup","Vytvořit zálohu"
"Created <strong>%s</strong> items","Vytvořeno položek <strong>%s</strong>"
"Credit Card Number","Číslo platební karty"
"Credit Card Number: xxxx-%s","Číslo platební karty: xxxx-%s"
"Credit Card Type","Typ platební karty"
"Credit Card Type: %s","Typ platební karty: %s"
"Credit Memo History","Historie dobropisů"
"Credit Memo Totals","Dobropisy celkem"
"Current Configuration Scope:","Aktuální rozsah nastavení:"
"Current Release Information","Aktuální informace o vydání"
"Custom","Uživatelský"
