"(eg: domain.com/identifier)","(např.: domain.com/identifikátor)"
"Action","Událost"
"Add New Block","Přidat nový blok"
"Add New Page","Přidat novou stránku"
"All countries","Všechny země"
"Block Information","Informace o bloku"
"Block Title","Nadpis bloku"
"Block was successfully deleted","Blok byl úspěšně smazán"
"Block was successfully saved","Blok byl úspěšně uložen"
"CMS","CMS"
"CMS Home Page","Domovská stránka CMS"
"CMS No Route Page","CMS Stránka nenalezena"
"Content","Obsah"
"Custom Design","Uživatelský Vzhled"
"Custom Theme","Uživatelské téma"
"Custom Theme From","Uživatelské téma od"
"Custom Theme To","Uživatelské téma do"
"Customer Tax Class Information","Informace o daňové třídě zákazníka"
"Date Created","Datum vytvoření"
"Delete Block","Smazat blok"
"Delete Page","Smazat stránku"
"Description","Popis"
"Disabled","Neaktivní"
"Edit Block","Upravit blok"
"Edit Block '%s'","Upravit blok '%s'"
"Edit Page","Upravit stránku"
"Edit Page '%s'","Upravit stránku '%s'"
"Enabled","Aktivní"
"General Information","Všeobecné informace"
"Go to Home Page","Na hlavní stránku"
"Home","Domů"
"Identifier","Identifikátor"
"Keywords","Klíčová slova"
"Last Modified","Naposledy změněno"
"Layout","Rozvržení"
"Layout Update XML","Aktualizovat rozvržení XML"
"Manage Pages","Správa stránek"
"Meta Data","Meta Data"
"Meta Description","Meta popis"
"Meta Keywords","Meta klíčová slova"
"New Block","Nový blok"
"New Page","Nová stránka"
"Page Identifier cannot consist only of numbers.","Identifikátor stránky nemůže být složen pouze z čísel."
"Page Identifier for specified store already exist.","Identifikátor stránky pro vybraný obchod již existuje."
"Page Information","Informace o stránce"
"Page Status","Stav stránky"
"Page Title","Název stránky"
"Page was successfully deleted","Stránka byla úspěšně smazána"
"Page was successfully saved","Stránka byla úspěšně uložena"
"Poll Manager","Správce anket"
"Product Tax Class Information","Informace o daňové kategorii produktu"
"SEF URL Identifier","SEF URL Identifikátor"
"Save Block","Uložit blok"
"Save Page","Uložit stránku"
"Show breadcrumbs for CMS pages","Ukázat navigaci pro CMS stránky"
"Static Blocks","Statické bloky"
"Status","Stav"
"Store View","Obchod Pohled"
"Such a block identifier in selected store already exist.","Identifikátor bloku ve vybraném obchodě již existuje."
"The page you are trying to save no longer exists","Stránka kterou zkoušíte uložit již déle neexistuje"
"This block no longer exists","Tento blok již dlouho neexistuje"
"This page no longer exists","Tato stránka již dlouho neexistuje"
"Title","Nadpis"
"Unable to find a block to delete","Nenalezen blok k smazání"
"Unable to find a page to delete","Nenalezena stránka k smazání"
