"# of Use","počet použití"
"%1$s incl tax.","%1$s s daní."
"%s - %s","%s - %s"
"%s Item(s)","položek: %s"
"(Copy data from: %s)","(Kopírovat data z: %s)"
"(Will make search for the query above return results for this search.)","(Vyrobit hledání nad výsledky vrácené tímto dotazem.)"
"* Required Fields","* Povinná pole"
"-- Please Select --","-- Prosím vyberte --"
"A name is required","Je požadováno jméno"
"ALL GROUPS","VŠECHNY SKUPINY"
"AM","Dop."
"Action","Událost"
"Add Attribute","Přidat vlastnost"
"Add Design Change","Přidat změnu vzhledu"
"Add Group","Přidat skupinu"
"Add Items to Cart","Přidat položky do košíku"
"Add New","Přidat nové"
"Add New Attribute","Přidat novou vlastnost"
"Add New Attribute Set","Přidat novou množinu vlastností"
"Add New Group","Přidat novou skupinu"
"Add New Images","Přidat nové obrázky"
"Add New Option","Přidat novou možnost"
"Add New Row","Přidat nový řádek"
"Add New Search Term","Přidat nový výraz hledání"
"Add New Set","Přidat novou množinu"
"Add Option","Přidat možnost"
"Add Product","Přidat produkt"
"Add Product To Websites","Přidat produkt na stránky"
"Add Root Category","Přidat novou hlavní kategorii"
"Add Subcategory","Přidat podkategorii"
"Add Tax","Přidat daň"
"Add Tier","Přidat slevu"
"Add to Cart","Přidat do košíku"
"Add to Compare","Přidat do srovnání"
"Add to My Wishlist","Přidat do seznamu přání"
"Add to Wishlist","Přidat do seznamu přání"
"Additional Information","Další informace"
"All","Vše"
"All Product Types","Všechny typy produktů"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Všechny produkty z této množiny budou smazány! Jste si jisti, že chcete smazat tuto množinu atributů?"
"Allow HTML-tags on Front-end","Povolit HTML značky v obchodě"
"Allowed File Extensions","Povolené přípony souboru"
"Allowed file extensions to upload","Povolené přípony souboru pro nahrávání"
"Amount","Množství"
"Apply To","Použít na"
"Apply To Configurable/Grouped Product","Použít na nastavitelný/sloučený produkt"
"Approved","Schválený"
"Are you sure you want to delete this category?","Jste si jisti, že chcete smazat tuto kategorii?"
"Are you sure you would like to remove all products from your comparison?","Jste si jisti, že chcete odstranit všechny položky k porovnání?"
"Are you sure you would like to remove this item from the compare products?","Jste si jisti, že chcete odebrat tuto položku z porovnávaných produktů?"
"Are you sure?","Jste si jisti?"
"As low as:","Nejméně:"
"Assign","Přiřadit"
"Assign product link","Odkaz na přiřazený produkt"
"Assign product to category","Zařadit produkt do kategorie"
"Assigned Products","Přiřazené produkty"
"Associated Products","Související produkty"
"Attrib. Set Name","Název množiny vlastností"
"Attribute Code","Vlastnosti kódu"
"Attribute Information","Informace o vlastnosti"
"Attribute Label","Nadpis vlastnosti"
"Attribute Model","Model vlastnosti"
"Attribute Name:","Název vlastnosti:"
"Attribute Properties","Atribut vlastností"
"Attribute Set","Sada vlastností"
"Attribute group with the ""/name/"" name already exists","Attribute group with the ""/name/"" name already exists"
"Attribute model not defined","Vlastnost modelu není definována"
