"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Odkaz</a>"
"Access denied to destination folder ""%s""","Přístup do cílového adresáře ""%s"" odepřen"
"Could not load file: ""%s""","Nemohu nahrát soubor: ""%s"""
"Could not save file: %s","Nemohu uložit soubor: %s"
"Declared adapter %s not found","Zvolený adaptér %s nenalezen"
"Destination folder ""%s"" does not exist or not access to create","Cílový adresář ""%s"" neexistuje nebo není přístupný pro vytvoření"
"Destination folder ""%s"" is not a directory","Cílová složka ""%s"" není adresář"
"Destination folder ""%s"" is not a writeable","Cílová složka ""%s"" není zapisovatelná"
"Done","Hotovo"
"Dry run set, stopping execution","Zkouška na nečisto, zastavit provádění"
"ETA: %s","ETA: %s"
"Error field mapping! Fields list for mapping is not defined","Chyba mapovaných polí! Seznam namapovaných polí není definován"
"Error occured during file opening: ""%s""","Vyskytla se výjimka při otvírání souboru: ""%s"""
"File ""%s"" don't exist","Soubor ""%s"" neexistuje"
"Found %d rows","Nalezeno řádků: %d"
"Less than a minute","Za poslední minutu"
"Loaded successfully: ""%s""","Úspěšně nahráno: ""%s"""
"Memory Used: %s","Použitá paměť: %s"
"Method ""%s"" not defined in adapter %s","Metoda ""%s"" není definována v adaptéru %s"
"Please declare ""adapter"" and ""method"" node first","Prosím nejprve deklarujte ""adaptér"" a ""metodu"" uzlu"
"Processed records: %s","Zpracovaných záznamů: %s"
"Saved successfully: ""%s"" [%d byte(s)]","Úspěšně uloženo: ""%s"" [%d bytů(s)]"
"Sheet 1","List 1"
"Skip undefined row","Přeskočeny nedefinované řádky"
"Starting %s :: %s","Začátek %s :: %s"
"Total records: %s","Celkem záznamů: %s"
"hour","hodinu"
"hours","hodiny"
"minute","minutu"
"minutes","minuty"
