"Add Recipient","Přidat příjemce"
"Allow for Guests","Dovolit pro návštěvníky"
"Email Address","Emailová adresa"
"Email Address:","Emailová adresa:"
"Email templates","Šablony emailu"
"Email to a Friend","Poslat známému"
"Email:","Email:"
"Enabled","Aktivní"
"Limit Sending By","Omezené odesílání na"
"Link to a friend was sent.","Vašemu známému byl odeslán odkaz."
"Max Products Sent in 1 Hour","Maximálně odesláno produktů za 1 hodinu"
"Max Recipients","Maximálně příjemců"
"Maximum %d email addresses allowed.","Maximální povolené množství emailů: %d."
"Message:","Zpráva:"
"Name","Jméno"
"Name:","Jméno:"
"Recipient:","Příjemce:"
"Remove Email","Odebrat email"
"Select email template","Vybrat šablonu emailu"
"Send email","Poslat email"
"Send product to a friend","Poslat produkt příteli"
"Sender:","Odesilatel:"
"Some emails was not sent","Některé emaily nebyly odeslány"
"Some problems with data.","Nějaké problémy s daty."
"You cannot email this product to a friend","Nemůžete poslat upozornění známému na tento produkt"
"You cannot send more than %d times in an hour","Nemůžete odeslat více jak %d za hodinu"
