"Account login","přihlášení"
"Account password","heslo"
"Active","Aktivní"
"Add Attribute Mapping","Propojit vlastnosti"
"Add New Attribute","Přidat novou vlastnost"
"Add to Google Base","Přidat do Google Base"
"Are you sure?","Jste si jisti?"
"Attribute","Vlastnosti"
"Attribute Set","Sada vlastností"
"Attribute Set and Item Type","Sada vlastností a typů položky"
"Attributes","Vlastnosti"
"Attributes Set","Sada vlastností"
"Attributes mapping","Přiřazení vlastností"
"AuthSub","AuthSub"
"Available Products","Dostupné produkty"
"British Pound Sterling","Libra šterlinků (GB)"
"Cannot update Google Base Item for Store '%s'","Nelze aktualizovat Google Base položky pro obchod '%s'"
"Captcha confirmation error: %s","Chyba ověřovacího obrázku: %s"
"Captcha confirmed successfully","Captcha úspěšně potvrzena"
"Clicks","Klik"
"ClientLogin","Přihlášení"
"Confirm","Potvrzení"
"Current Mapping will be reloaded. Continue?","Aktuální mapování bude znovunačteno. Pokračovat?"
"Custom attribute, no mapping","Vlastní atribut, nemapováno"
"Default Store (%s)","Výchozí obchod (%s)"
"Delete","Smazat"
"Delete Mapping","Smazat přiřazení"
"Edit Item Type","Upravit typ položky"
"Edit Item Type ""%s""","Upravit typ položky ""%s"""
"Error: %s","Chyba: %s"
"Euro","Euro"
"Expires","Vyprší"
"Germany","Německo"
"Google Base","Google Base"
"Google Base Attribute","Vlastnosti Google Base"
"Google Base ID","Google Base ID"
"Google Base Item Type","Google Base typ položky"
"Google Base Item type","Google Base typ položky"
"Google Base Items","Položky Google Base"
"Hide","Skrýt"
"Impr.","Zobr."
"Invalid Product Model for Google Base Item","Chybný model produktu pro položku Google Base"
"Item Type was deleted","Typ položky byl smazán"
"Item Types","Typy položky"
"Item model is not specified to delete Google Base entry","Model položky není specifikován v Google Base"
"Item type was successfully saved","Typ položky byl úspěšně uložen"
"Items","Položky"
"Manage Attribute Mapping","Spravovat vlastnosti přiřazení"
"Manage Attributes","Správa vlastností"
"Manage Items","Spravovat položky"
"New Item Type","Nový typ položky"
"No","Ne"
"No items were deleted from Google Base","Nebyly smazány žádné položky z Google Base"
"No items were published","Žádné položky nebyly zveřejněny"
"No items were saved as Inactive items","Žádné položky nebyly uloženy jako neaktivní položky"
"No products were added to Google Base","Žádné produkty nebyly přidány do Google Base"
"Object model is not specified to save Google Base entry","Není definován objektový model pro ukládání v Google Base"
"Page views","Zobrazení stránek"
"Please, select Attribute Set and Google Item Type to load attributes","Prosím vyberte množinu vlastností a typ položky k načtení atributů"
"Product Name","Název produktu"
"Publish","Zveřejnit"
"Published","Zveřejněno"
"Remove","Odstranit"
"Save Mapping","Uložit přiřazení"
"Synchronize","Synchronizovat"
"Target Country","Cílová země"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Tato akce aktualizuje statistiku a odebere položky které nejsou dostupné v Google Base. Pokračovat?"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","Celkem smazáno položek: %d, celkem aktualizováno položek: %d"
"Total of %d items(s) were successfully published","Celkem publikováno položek: %d"
"Total of %d items(s) were successfully removed from Google Base","Celkem odebráno položek z Google Base: %d"
"Total of %d items(s) were successfully saved as Inactive items","Celkem uloženo položek jako neaktivní: %d"
"Total of %d product(s) were successfully added to Google Base","Celkem uloženo položek do Google Base: %d"
"US Dollar","Americký dolar"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Nelze se spojit s Google Base. Prosím zkontrolujte nastavení účtu v nastavení."
"United Kingdom","Spojené království"
"United States","Spojené státy"
"Update Google Base item when product is updated","Aktualizovat položky v Google Base pokud je produkt aktualizován"
"View Available Products","Zobrazit dostupné produkty"
"View Item in Google Base","Zobrazit položky v Google Base"
"Yes","Ano"
