"%s is not supported currency.","%s není podporovaná měna."
"Accept","Akceptováno"
"Basic","Základní"
"Cannot retreive rate from strikeirion.","Nelze získat hodnocení z Strikeiron."
"Cannot retrieve rate from %s to %s","Nelze získat hodnocení od %s do %s"
"Check all email servers","Zkusit všechny emailové servery"
"Complete","Hotovo"
"Country/Region/Postal code combination","Kombinace Země/Kraj/PSČ"
"Customer Tax Class","Daňová třída zákazníka"
"Email Verification","Ověření emailu"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","Emailová adresa nemohla být ověřena. Prosím zkontrolujte jestli je zadána zprávně."
"Enable US address verification","Zapnout ověřování adres v USA"
"Enable email verification","Zapnout ověřování emailu"
"Enable foreign exchange rate","Povolit devizové kurzy"
"Enable global address verification","Zapnout globální ověřování adres"
"Enable sales and use tax","Zapnout prodeje a používat daně"
"Error Email Recipient","Chyba E-mailového příjemce"
"Error Email Sender","Chyba E-mailového odesilatele"
"Error Email Template","Šablona emailu - chyba"
"Error address action","Chybná akce adresy"
"Foreign Exchange Rates","Devizové kurzy"
"Global Address Verification","Globální ověřování adres"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Je-li typ je kompletní a poštovní směrovací číslo patří do více daňových sazeb tak, aby se rozhodnete,účtovat minimální daňové sazby nebo maximální sazbu daně."
"Invalid email address","Chybná emailová adresa"
"Maximum tax rate","Maximální sazba daně"
"Minimum tax rate","Minimální sazba daně"
"Password","Heslo"
"Pop up warning and accept","Vyskakovat varování a akceptovat"
"Product Tax Class","Daňová kategorie produktu"
"Reject","Odmítnout"
"Sales and Use Tax","Prodej a použití daní"
"Sales and Use Tax Type","Prodej a použití daní"
"Strikeiron","Strikeiron"
"Strikeiron Config","Nastavení Strikeiron"
"Strikeiron Section","Strikeiron"
"Strikeiron foreign exchange rate is disabled","Strikeiron devizové kurzy jsou vypnuty"
"Tax","Daň"
"There is an error in retrieving tax rate. Please contact us","Nastala chyba při získávání daňových sazeb. Prosím kontaktujte nás"
"There is an error in verifying an email. Please contact us.","Nastala chyba při ověřování emailu. Prosím kontaktujte nás."
"There is no more hits remaining for the foreign Exchange Rate Service.","Nejsou dostupné žádné další služby zabývající se kursovými sazbami."
"There is no response back from Strikeiron server","Strikeiron server neodpovídá"
"US Address Verification","USA ověřování adres"
"Undetermined email action","Neurčitá emailová akce"
"Use","Použít"
"User ID","ID uživatele"
"Verify address in admin","Ověřit adresu v administraci"
"Verify email in admin","Ověřit email v administraci"
