"Actions","Události"
"Add Answer","Přidat odpověď"
"Add New Answer","Přidat novou odpověď"
"Add New Poll","Přidat novou anketu"
"Answer Title","Nadpis odpovědi"
"Answer Title:","Nadpis odpovědi:"
"Answer was successfully saved","Odpověď byla úspěšně uložena"
"Answer with the same title in this poll","Odpověď se stejným názvem v této anketě"
"Are you sure you want to delete it?","Jste si jisti, že ji chcete smazat?"
"Assigned Answers","Přiřazená odpověď"
"Closed","Uzavřeno"
"Community Poll","Uživatelská anketa"
"Date Closed","Datum uzavření"
"Date Posted","Datum vydání"
"Delete","Smazat"
"Delete Answer","Smazat odpověď"
"Delete Poll","Smazat anketu"
"Disallow voting in a poll multiple times from same IP-address","Zakázat vícenásobné hlasování v anketě ze stejné IP adresy"
"Edit Answer '%s'","Upravit odpověď '%s'"
"Edit Poll '%s'","Upravit anketu '%s'"
"Edit Poll Answer","Upravit odpověď ankety"
"ID","ID"
"Invalid Answer","Chybná odpověď"
"New Poll","Nová anketa"
"Number of Responses","Počet odpovědí"
"Open","Otevřená"
"Poll Answers","Odpovědi ankety"
"Poll Information","Informace o anketě"
"Poll Manager","Správce anket"
"Poll Question","Otázka ankety"
"Poll information","Informace o anketě"
"Poll not exists","Anketa neexistuje"
"Poll with the same question","Anketa se stejnou otázkou"
"Save Answer","Uložit odpověď"
"Save Poll","Uložit anketu"
"Status","Stav"
"Unable to find answer to delete.","Nenalezena odpověď k smazání."
"Visible In","Viditelné v"
"Vote","Hlasovat"
"Votes Count","Počet hlasování"
"Votes Count:","Počet hlasování:"
