"%d Review(s)","Recenze %d"
"%s Review(s)","Recenze %s"
"(Posted on %s)","(Odeslané %s)"
"1 star","1 hvězdička"
"2 stars","2 hvězdičky"
"3 stars","3 hvězdičky"
"4 stars","4 hvězdičky"
"5 stars","5 hvězdiček"
"Add New Review","Přidat novou recenzi"
"Add Your Review","Přidejte Vaší recenzi"
"Administrator","Administrátor"
"All Reviews","Všechny recenze"
"All reviews of customer `%s`","Všechny recenze zákazníků '%s'"
"Allow guests to write reviews","Povolit návštěvníkům psát recenze"
"Are you sure you want to do this?","Jste si jisti, že to chcete udělat?"
"Are you sure?","Jste si jisti?"
"Average Customer Rating","Průměrné hodnocení zákazníků"
"Average Customer Rating:","Průměrné zákaznické hodnocení:"
"Back","Zpět"
"Back to Main Product Info","Zpátky na informace o produktu"
"Back to My Reviews","Zpět k mým recenzím"
"Back to Product Reviews","Zpět k recenzím produktů"
"Be the first to review this product","Napište první recenzi tohoto produktu"
"Created On","Vytvořeno"
"Customer","Zákazník"
"Customer Reviews","Zákaznické recenze"
"Delete","Smazat"
"Delete Review","Smazat recenze"
"Detailed Rating","Detaily hodnocení"
"Edit Review '%s'","Upravit recenzi '%s'"
"Guest","Návštěvník"
"How do you rate this product?","Jak hodnotíte tento produkt?"
"ID","ID"
"Manage Ratings","Spravovat hodnocení"
"My Product Reviews","Moje recenze produktů"
"My Recent Reviews","Moje poslední recenze"
"Name","Jméno"
"Name In Store","Jméno v obchodě"
"New Review","Nová recenze"
"Nickname","Přezdívka"
"Pending Reviews","Čekající recenze"
"Pending reviews","Čekající recenze"
"Pending reviews of customer `%s`","Čekající recenze od zákazníka '%s'"
"Please select a product","Vyberte produkt"
"Please select one of each of the ratings above","Vyberte prosím jedno z každého hodnocení výše"
"Posted By","Přidáno"
"Price","Cena"
"Product","Produkt"
"Product Name","Název produktu"
"Product Rating","Hodnocení produktu"
"Product Rating:","Hodnocení produktu:"
"Product Review (submitted on %s):","<strong>Recenze produktu</strong> (odeslaná %s):"
"Product Reviews","Recenze produktů"
"Product SKU","Produkt SKU"
"Qty","Množství"
"Rating:","Hodnocení:"
"Review","Recenze"
"Review Details","Detaily recenze"
"Review by %s","Recenze od <em>%s</em>"
"Reviews and Ratings","Recenze a hodnocení"
"SKU","SKU"
"Save Review","Uložit recenzi"
"Status","Stav"
"Submit Review","Odeslat recenzi"
"Summary Rating","Souhrn hodnocení"
"Summary of Review","Souhrn recenzí"
"Summary of Your Review","Shrnutí Vaší recenze"
"Summary of review","Souhrn recenzí"
"Title","Nadpis"
"Type","Typ"
"Unable to post review. Please, try again later.","Nelze odeslat hodnocení. Prosím zkuste to později."
"Update status","Aktualizovat"
"View All Reviews","Zobrazit všechny recenze"
"View Details","Zobrazit detaily"
"Visible In","Viditelné v"
"Websites","Stránky"
"Write Your Own Review","Napište vlastní recenzi"
"You have submitted no reviews.","Nenapsali jste žádnou recenzi."
"You're reviewing: %s","Recenzujete: <span class=""normal-weight"">%s</span>"
"Your Rating:","Vaše hodnocení:"
"Your Review (submitted on %s):","<strong>Vaše recenze</strong> (odeslaná %s):"
"Your review has been accepted for moderation","Vaše recenze byla přijata ke schválení"
"OR","OR"
"My Product Reviews","My Product Reviews"
