"API Login ID","API ID přihlášení"
"Authorize Only","Pouze pro autorizované"
"Authorize and Capture","Autorizovat a přijmout"
"Authorize.net","Authorize.net"
"Credit Card Types","Typ platební karty"
"Credit Card Verification","Ověření platební karty"
"Debug","Ladění"
"Email customer","Zákaznický email"
"Enabled","Aktivní"
"Error in authorizing the payment","Chyba při autorizaci platby"
"Error in capturing the payment","Chyba při příjmu platby"
"Error in payment gateway","Chyba v platební bráně"
"Error in refunding the payment","Chyba při placení"
"Error in refunding the payment.","Chyba při placení"
"Error in retrieving the transaction","Chyba při obdržení transakce"
"Fraud order status","Stav trestního zastavení "
"Gateway request error: %s","Chybný požadavek brány: %s"
"Invalid amount for authorization","Chybné množství pro autorizaci"
"Invalid amount for authorization.","Chybné množství pro autorizaci."
"Invalid transaction id","Chybné id transakce"
"Maximum Order Total","Maximální objednávka"
"Merchant Login","Přihlášení obchodníka"
"Merchant's email","Email obchodníka"
"Minimum Order Total","Minimální objednávka"
"New order status","Nový stav objednávky"
"Partner","Partner"
"Password","Heslo"
"Payflow Pro","PayflowPro"
"Payment Action","Platební akce"
"Payment authorization error.","Chyba při autorizaci platby."
"Payment authorization transaction has been declined.","Platba byla zamítnuta."
"Payment from Specific countries","Platby z vybraných zemí"
"Payment from applicable countries","Platby z použitelných zemí"
"Proxy Host","Proxy"
"Proxy Port","Proxy port"
"Sort order","Pořadí objednávek"
"TENDER","NABÍDKA"
"Test mode","Testovací režim"
"Title","Nadpis"
"Transaction key","Klíč transakce"
"URL","URL"
"Use Proxy","Použít Proxy"
"User","Uživatel"
"VERBOSITY","MNOHOMLUVNOST"
"Voided transaction","Zrušená transakce"
