"%s Item(s)","položek: %s"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento Demo obchod. Všechna práva vyhrazena."
"(Shift-)Click or drag to change value","(Shift-) Kliknutím nebo tažením změníte hodnotu"
"(ver. %s)","(ver. %s)<br/> Chyby v překladu prosím hlaste na <a href=""http://www.iguru.eu/contact"">www.iguru.eu</a> kategorie ""Chyby v obchodě Magento"""
"- Click on any of the time parts to increase it","- Kliknutím na některou z částí se její počet zvýší"
"- Hold mouse button on any of the above buttons for faster selection.","- Držte tlačítko myši nad některým z výše uvedených tlačítek pro rychlejší výběr."
"- Use the %s buttons to select month","- Použijte %s pro výběr měsíce"
"- Use the %s, %s buttons to select year","- Použijte %s, %s pro výběr roku"
"- or Shift-click to decrease it","- nebo Shift-klik pro snížení"
"- or click and drag for faster selection.","- nebo klik a tažení pro rychlé označení."
"About the calendar","O kalendáři"
"Click <a href=""%s"">here</a> if nothing has happened","Stiskněte <a href=""%s"">zde</a> pokud se nic neděje"
"Close","Zavřít"
"Close Window","Zavřít okno"
"DHTML Date/Time Selector","DHTML Výběr Datum/Čas"
"Date selection:","Vybrané datum:"
"Default Description","Výchozí popis"
"Default welcome msg!","Výchozí uvítací zpráva!"
"Display %s first","Zobrazit prvních: %s"
"Distributed under GNU LGPL. See %s for details.","Distribuováno pod GNU LGPL. Pro detaily navštivte %s."
"Drag to move","Uchopte pro přesun"
"For latest version visit: %s","Pro poslední verzi navštivte: %s"
"Go Today","Přejít na dnešek"
"Help Us to Keep Magento Healthy","Pomozte nám udržovat Magento v pořádku"
"Interface Language","Rozhraní jazyka"
"Items %s to %s of %s total","Položky <strong>%s</strong> až <strong>%s</strong> z celkem <strong>%s</strong>"
"Next Page","Další stránka"
"Next month (hold for menu)","Příští měsíc (podržet pro menu)"
"Next year (hold for menu)","Následující rok (podržet pro menu)"
"Page:","Stránka:"
"Prev. month (hold for menu)","Předchozí měsíc (podržet pro menu)"
"Prev. year (hold for menu)","Předchozí rok (podržet pro menu)"
"Previous Page","Předchozí stránka"
"Redirecting...","Přesměrovávám..."
"Report All Bugs","Hlásit všechny chyby"
"Select Store","Vybrat obchod"
"Select date","Vybrat datum"
"Show","Ukázat"
"Skip to Footer","Přeskočit na konec"
"Skip to Left Column","Přeskočit do levého sloupce"
"Skip to Main Content","Přeskočit na obsah"
"Skip to Right Column","Přeskočit do pravého sloupce"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Toto je ukázkový obchod, odeslané objednávky nebudou realizovány."
"Time selection:","Výběr času:"
"Time:","Čas:"
"Welcome, %s!","Vítejte, %s!"
"You're currently on:","Právě jste na:"
"Your Language","Váš jazyk"
"Your Language:","Váš jazyk:"
"per page","na stránku"
"Your Language:","Your Language:"
"(ver. %s)","(ver. %s)"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
"Report All Bugs","Report All Bugs"
"Your Language","Your Language"
