" Copy"," Kopie"
"Action","Událost"
"Add New Template","Přidat novou šablonu"
"Add to Queue","Přidat do fronty"
"Are you sure that you want to delete this template?","Jste si jisti, že chcete smazat tuto šablonu?"
"Are you sure that you want to strip all tags?","Jste si jisti, že chcete sundat všechny příspěvky?"
"Back","Zpět"
"Cancel","Zrušit"
"Cancelled","Zrušeno"
"Cannot delete subscriber","Odběratele nelze smazat"
"Cannot delete template","Šablonu nelze smazat"
"Cannot mark as received subscriber","Nelze označit jako obdrženého předplatitele"
"Cannot save your subscription: %s","Vaši přihlášku nelze uložit: %s"
"Confirmation Email Sender","Odesilatel potvrzujícího emailu"
"Confirmation Email Template","Šablona potvrzujícího emailu"
"Confirmation request has been sent","Byla odeslána žádost o potvrzení"
"Convert to Plain Text","Převést na prostý text"
"Create Newsletter Template","Vytvořit šablonu zpravodaje"
"Customer","Zákazník"
"Customer Firstname","Jméno zákazníka"
"Customer Lastname","Příjmení zákazníka"
"Date Added","Přidáno datum"
"Date Updated","Datum upraveno"
"Delete Selected Problems","Smazat označené problémy"
"Delete Template","Smazat šablonu"
"Do you really want to cancel the queue?","Opravdu chcete zrušit frontu?"
"Duplicate of template code","Duplikátní kód šablony"
"Edit Newsletter","Upravit Zpravodaj"
"Edit Newsletter Template","Upravit šablonu zpravodaje"
"Edit Queue","Upravit frontu"
"Edit Template","Upravit šablonu"
"Email","E-mail"
"Enter your email address","Vložte Vaší emailovou adresu"
"Error Code","Kód chyby"
"Error Text","Text chyby"
"Form was filled incorrectly","Formulář nebyl správně vyplněn"
"Guest","Návštěvník"
"ID","ID"
"Invalid queue selected","Vybrána neplatná fronta"
"Invalid subscriber ID","Neplatné id odběratele"
"Invalid subscription ID","Neplatné id přihlášky"
"Invalid subscription confirmation code","Neplatný ověřovací kód přihlášky"
"Message","Zpráva"
"Need to Confirm","Potřeba potvrdit"
"New Newsletter Template","Nová šablona zpravodaje"
"New Template","Nová šablona"
"Newsletter","Zpravodaj"
"Newsletter Message Preview","Náhled zprávy zpravodaje"
"Newsletter Problem Reports","Report chyb zpravodaje"
"Newsletter Queue","Fronta zpravodaje"
"Newsletter Section","Zpravodaje"
"Newsletter Sign-up","Odběry zpravodaje"
"Newsletter Subscribers","Odběratelé zpravodaje"
"Newsletter Subscription","Odběry zpravodaje"
"Newsletter Subscriptions","Odběry zpravodaje"
"Newsletter Templates","Šablony zpravodaje"
"Newsletter subscription confirmation","Potvrzení odběru novinek"
"Newsletter subscription success","Úspěšné přihlášení k odběru novinek"
"Newsletter unsubscription success","Úspěšné zrušení odběru novinek"
"No Templates Found","Nenalezeny šablony"
"No problems found","Nenalezeny problémy"
"No subscribers selected","Žádní odběratelé nebyli vybráni"
"Not Sent","Neodesláno"
"Not activated","Neaktivovaný"
"Pause","Pauza"
"Paused","Pozastaveno"
"Please enter a valid email address","Vložte prosím platnou emailovou adresu"
"Please enter new template name","Vložte nové jméno šablony"
"Please select subscriber(s)","Vyberte odběratele"
"Preview","Náhled"
"Preview Template","Náhled šablony"
"Processed","Zpracovaný"
"Queue Date Start","Fronta od data"
"Queue Finish","Konec fronty"
"Queue Information","Informace o frontě"
"Queue Newsletter","Fronta zpravodaje"
"Queue Start","Start fronty"
"Queue Subject","Nadpis fronty"
"Recipients","Příjemci"
"Reset","Vynulovat"
"Resume","Pokračovat"
"Return Html Version","Vrátit HTML verzi"
"Save And Resume","Uložit a pokračovat"
"Save As","Uložit jako"
"Save Newsletter","Uložit zpravodaj"
"Save Template","Uložit šablonu"
"Selected problem subscribers successfully unsubscribed","Vybraní problémoví odběratelé byli úspěšně vyřazeni z odběru."
"Selected problems successfully deleted","Vybrané problémy byly úspěšně smazány"
"Sender","Odesilatel"
"Sender Email","Odesilatel emailu"
"Sender Name","Jméno odesilatele"
"Sending","Zaslání"
"Sending Options","Možnosti odesílání"
"Sent","Odesláno"
"Set Return-Path","Nastavit adresu odeslání"
"Sign me up","Přihlásit mě k odběru"
"Sign up for our newsletter:","Zaregistrujte se k odběru novinek:"
"Start","Start"
"Status","Stav"
"Store","Obchod"
"Store View","Obchod Pohled"
"Subject","Předmět"
"Subscribe","Přihlásit"
"Subscribed","Přihlášen"
"Subscriber","Odběratel"
"Subscribers","Odběratelé"
"Subscribers From","Předplatitelé od"
"Subscription Options","Možnosti odběru"
"Success Email Sender","Odesilatel emailu úspěšného přihlášeni k odběru novinek"
"Success Email Template","Šablona emailu úspěšného přihlášení k odběru novinek"
"Template Content","Obsah šablony"
"Template Information","Informace o šabloně"
"Template Name","Jméno šablony"
"Template Subject","Předmět šablony"
"Template Type","Typ šablony"
"Thank you for your subscription","Děkujeme za Vaší přihlášku"
"The subscription was successfully saved","Přihlášení bylo úspěšně uloženo"
"There was a problem with the subscription","Je problém s přihláškou"
"There was a problem with the subscription: %s","Došlo k problému s přihláškou: %s"
"There was a problem with the un-subscription.","Při rušení odběru došlo k problému."
"There was an error while saving your subscription","Při ukládání přihlášky došlo k chybě"
"Toggle Editor","Přepnout editor"
"Type","Typ"
"Unsubscribe","Zrušit odběr"
"Unsubscribe Selected","Označeno odebrání"
"Unsubscribed","Odebírání zrušeno"
"Unsubscription Email Sender","Odesilatel rušícího emailu"
"Unsubscription Email Template","Šablona rušícího emailu"
"View Newsletter","Zobrazit zpravodaj"
"Website","Webové stránky"
"You have been successfully unsubscribed.","Váš odběr novinek byl úspěšně zrušen"
"Your subscription was successfully confirmed","Vaše přihlášení bylo úspěšně potvrzeno"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Newsletter"
"Sign up for our newsletter","Sign up for our newsletter"
