"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s úspěšně přidán do seznamu přání. Klepněte <a href=""%2$s"">zde</a> pro pokračování v nákupu"
"%s's Wishlist","Seznam přání uživatele %s"
"* Required Fields","* Povinná pole"
"Add All to Cart","Přidat vše do košíku"
"Add to Cart","Přidat do košíku"
"Add to Wishlist","Přidat do seznamu přání"
"Added On","Přidáno"
"Are You sure?","Jste si jisti?"
"Are you sure you want to remove this product from your wishlist?","Určitě chcete tuto položku odstranit z Vašeho seznamu přání?"
"Are you sure you would like to remove this item from the wishlist?","Určitě chcete tuto položku odstranit z Vašeho seznamu přání?"
"Back","Zpět"
"Can't save description %s","Nemohu uložit popis %s"
"Cannot create wishlist","Seznam přání nelze vytvořit"
"Cannot specify product","Produkt není specifikován"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Zaškrtněte tuto možnost pokud chcete přidat odkaz do vašeho rss kanálu seznamu přání."
"Comment","Komentář"
"Email Sender","Odesílatel emailu"
"Email Template","Šablony emailu"
"Email address can't be empty.","Emailová adresa nesmí být prázdná."
"Email addresses, separated by commas","E-mailové adresy, oddělené čárkou"
"Enabled","Aktivní"
"General Options","Obecné možnosti"
"Go to Wishlist","Přejít do seznamu přání"
"Last Added Items","Naposledy přidané položky"
"Message","Zpráva"
"My Wishlist","My Wishlist"
"My Wishlist (%d item)","Moje přání (položka: %d)"
"My Wishlist (%d items)","Moje přání (položky: %d)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Zadejte prosím platné e-maily oddělené čárku."
"Please, enter your comments...","Vložte prosím Váš komentář..."
"Product","Produkt"
"RSS Feed","RSS zdroj"
"RSS link to %s's wishlist","RSS odkaz na %s seznam přání"
"Remove Item","Odstranit položku"
"Share Wishlist","Sdílet seznam přání"
"Share Your Wishlist","Sdílet Váš seznam přání"
"Share options","Možnosti sdílení"
"Sharing Information","Informace o sdílení"
"There was an error while adding item to wishlist.","Vyskytla se chyba při přidávání položky do seznamu přání."
"There was an error while adding item to wishlist: %s","Vyskytla se chyba při přidávání položky do seznamu přání: %s"
"There was an error while deleting item from wishlist.","Vyskytla se chyba při mazání položky ze seznamu přání."
"There was an error while deleting item from wishlist: %s","Vyskytla se chyba při mazání položky ze seznamu přání: %s"
"This product(s) is currently out of stock:","Toto zboží je momentálně vyprodáno:"
"Update Wishlist","Aktualizovat seznam přání"
"View Product","Zobrazit produkt"
"Wishlist","Seznam přání"
"Wishlist Section","Seznam přání"
"Wishlist Sharing","Sdílení seznamu přání"
"Wishlist is empty now.","Seznam přání je nyní prázdný."
"You have no items in your wishlist.","Ve Vašem seznamu přání nemáte žádné položky."
"You input not valid email address.","Zadali jste neplatnou emailovou adresu."
"Your Wishlist was successfully shared","Sdílení seznamu přání bylo úspěšné"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","Moje přání"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
