"-- Please select --","-- Prosím vyberte --"
"Allowed currencies","Povolené měny"
"Base currency","Základní měna"
"Cannot retrieve rate from %s","Sazbu z %s nelze získat"
"Connection timeout in seconds","Čas vypršení připojení v sekundách"
"Continue &raquo;","Pokračovat &raquo;"
"Country","Země"
"Country Api","API země"
"Country and Format Type combination should be unique","Kombinace typu země a formátu musí být unikátní"
"Currency","Měna"
"Currency Options","Možnosti měny"
"Currency Setup","Nastavení měny"
"Currency Update Warnings","Varování aktualizace měny"
"Currency will be used for all online payment transactions","Měna bude použita pro všechny online platební transakce"
"Default display currency","Výchozí zobrazovaná měna"
"Directory","Adresář"
"Enabled","Aktivní"
"Error Email Recipient","Chyba E-mailového příjemce"
"Error Email Sender","Chyba E-mailového odesilatele"
"Error Email Template","Chyba v emailové šabloně"
"FATAL ERROR:","FATÁLNÍ CHYBA:"
"Frequency","Četnost"
"Installed Currencies","Instalované měny"
"Invalid Import Service Specified","Chybně vybraná importní služba"
"Invalid country code: %s","Neplatný kód země: %s"
"Invalid rates received","Obdrženy chybné sazby"
"Invalid target currency","Chybná cílová měna"
"List of countries","Seznam zemí"
"List of regions in specified country","Seznam krajů ve vybrané zemi"
"Region","Kraj"
"Region Api","API kraje"
"Remove space from currency sign","Odstranit mezeru před znakem měny"
"Scheduled Import Settings","Naplánovaný import nastavení"
"Select Your Currency","Vyberte měnu"
"Service","Služba"
"Start Time","Doba startu"
"State/Province","Stát/provincie"
"Strikeiron Email Update Warnings","Strikeiron emai varování aktualizace"
"Unable to initialize import model","Nelze inicializovat importní model"
"Undefined rate from ""%s-%s""","Nedefinovaná sazba od ""%s-%s"""
"WARNING:","VAROVÁNÍ:"
"Webservicex","Webservicex"
"Your current currency is: %s","Vaše aktuální měna je: %s"
