"* Select shipping method","* Vyberte způsob doručení"
"AVS Status: %s","AVS stav: %s"
"Add","Přidat"
"Add Shipping Method","Přidat metodu doručení"
"Allowed Methods","Povolené metody"
"Amount: %s","Množství: %s"
"Auto-generated from GoogleCheckout Charge","Automaticky vygenerované z  GoogleCheckout Charge"
"Buyer account age: %s days","Stáří účtu prodavače: %s dní"
"CC Partial: xxxx-%s","Kreditní karta: xxxx-%s"
"CID Status: %s","Stav CID: %s"
"Carrier Calculated Methods","Metoda výpočtu přepravce"
"Cart Discount","Sleva košíku"
"Checkout Image Style","Kontrolní obrázkový styl"
"Continue Shopping URL","Pokračovat na adresu (URL)"
"Debug","Ladění"
"Default Package Height (in)","Výchozí výška balíku"
"Default Package Length (in)","Výchozí délka balíku"
"Default Package Width (in)","Výchozí šířka balíku"
"Default price for methods","Výchozí cena pro metody"
"Default price:","Výchozí cena:"
"Delivery Address Category","Kategorie adresy doručení"
"Delivery schedule","Plánování doručení"
"Disable Default Tax Tables","Vypnout výchozí tabulku daní"
"Eligible for protection: %s","Vhodný pro ochranu: %s"
"Enable","Povolený"
"Enable Carrier Calculated","Povolit výpočet dopravy"
"Enable Digital Delivery","Povolit elektronické doručení"
"Enable Flat Rate","Povolit paušální sazby"
"Enable Merchant Calculated","Povolit výpočet provize"
"Enable this if your checkout request is too big and being cut off.","Povolte tuto možnost, pokud je Vaše objednávka příliš velká a může být rozdělena."
"Expiration: %s","Vyprší: %s"
"Financial: %s -> %s","Finance: %s -> %s"
"Free Shipping","Dodání zdarma"
"Fulfillment: %s -> %s","Plnění: %s -> %s"
"Google API","Google API"
"Google Authorization:","Autorizace Google:"
"Google Buyer Id: %s","Google prodavač id: %s"
"Google Charge:","Google Charge:"
"Google Checkout","Přezkoušení Googlem"
"Google Checkout Shipping - Carrier Calculated","Google kontrola přepravy - Výpočet přepravy"
"Google Checkout Shipping - Digital Delivery","Google Checkout přeprava - elektronické doručení"
"Google Checkout Shipping - Flat Rate","Google kontrola přepravy - paušální sazby"
"Google Checkout Shipping - Merchant Calculated","Google kontrola přepravy - Kalkulace provize"
"Google Checkout: %s","Google Checkout: %s"
"Google Order Number: %s","Google číslo objednávky: %s"
"Google Refund:","Google Refund:"
"Google Risk Information:","Google Risk Information:"
"Google order status change:","Google stav objednávky změněn:"
"Hide Cart Contents During Checkout","Skrýt obsah košíku během placení"
"IP Address: %s","Adresa IP: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Pokud je povoleno, obsah košíku bude skryt po kliknutí na tlačítko Google Checkout v nákupním košíku a obnoven když ""Edit Cart"" odkaz bude aktivovaný."
"Invoice auto-created: %s","Automaticky vytvořená faktura: %s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","Je kupující ochoten přijímat marketingové e-maily: %s"
"Large - %s","Velký - %"
"Latest Charge: %s","Poslední změna: %s"
"Latest Refund: %s","Posledně obdrženo: %s"
"Location","Umístění"
"Medium - %s","Střední - %s"
"Merchant ID","ID obchodníka"
"Merchant Key","Klíč obchodníka"
"Method","Způsob"
"New order status","Nový stav objednávky"
"No","Ne"
"Optional, leave empty for home page.","Ponechte prázdné pro domovskou stránku."
"Rate 1 Amount","Sazba 1 množství"
"Rate 1 Ship To Applicable Countries","Sazba 1 doručit do povolených zemí"
"Rate 1 Ship to Specific Countries","Sazba 1 do specifických zemí"
"Rate 1 Title","Sazba 1 nadpis"
"Rate 2 Amount","Sazba 2 množství"
"Rate 2 Ship To Applicable Countries","Sazba 2 doručit do povolených zemí"
"Rate 2 Ship to Specific Countries","Sazba 2 do specifických zemí"
"Rate 2 Title","Sazba 2 nadpis"
"Rate 3 Amount","Sazba 3 množství"
"Rate 3 Ship To Applicable Countries","Sazba 3 doručit do povolených zemí"
"Rate 3 Ship to Specific Countries","Sazba 3 do specifických zemí"
"Rate 3 Title","Sazba 3 nadpis"
"Remove","Odstranit"
"Required for live Google Checkout transactions.","Vyžadováno pro živé Google Checkout transakce."
"Sandbox","Pískoviště"
"Secure Callback URL","Zabezpečený zpětná adresa"
"Small - %s","Malý -. %s"
"Total Charged: %s","Celkem účtováno: %s"
"Total Refunded: %s","Celkem zaplaceno: %s"
"Transparent","Transparentní"
"United Kingdom","Spojené království"
"United States","Spojené státy"
"Virtual item to reflect discount total","Položka zobrazující celkovou slevu"
"White Background","Bílé pozadí"
"You will be redirected to GoogleCheckout in a few seconds.","Během několika sekund budete přesměrováni na Google Checkout."
