"Action","Akce"
"Add Sitemap","Přidat mapu stránek"
"Always","Vždy"
"CMS Pages Options","CMS Možnosti"
"Categories Options","Vlastnosti kategorií"
"Daily","Denně"
"Edit Sitemap","Upravit mapu stránek"
"Enabled","Aktivní"
"Error Email Recipient","Chyba E-mailového příjemce"
"Error Email Sender","Chyba E-mailového odesilatele"
"Error Email Template","Chyba v emailové šabloně"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Soubor ""%s"" nemohl být uložen. Prosím ujistěte se, že adresář ""%s"" je zapisovatelný webserverem."
"Filename","Jméno souboru"
"Frequency","Četnost"
"Generate","Generovat"
"Generation Settings","Výchozí nastavení"
"Google Sitemap","Google Sitemap"
"Google Sitemap Section","Google Sitemap"
"Hourly","každou hodinu"
"ID","ID"
"Last Time Generated","Naposledy generováno"
"Link for Google","Odkaz pro Google"
"Monthly","Měsíčně"
"Never","Nikdy"
"New Sitemap","Nová mapa stránek"
"Path","Cesta"
"Please create the specified folder ""%s"" before saving the sitemap.","Prosím vyrobte adresář ""%s"" před uložením mapy stránek."
"Please define correct path","Prosím zadejte platnou cestu"
"Please make sure that ""%s"" is writable by web-server.","Prosím ujistěte se, že ""%s"" je zapisovatelný webserverem."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Používejte prosím pouze písmena (a-z nebo A-Z), čísla (0-9) nebo podtržítko (_) ve jménech. Mezery a ostatní znaky nejsou povoleny."
"Priority","Priorita"
"Priority must be between 0 and 1","Priorita musí být mezi 0 a 1"
"Products Options","Možnosti produktu"
"Sitemap","Mapa stránek"
"Sitemap ""%s"" has been successfully generated","Mapa stránek ""%s"" byla úspěšně vygenerována"
"Sitemap generate Warnings","Varování při generování mapy stránek"
"Sitemap was successfully deleted","Mapa stránek byla úspěšně smazána"
"Sitemap was successfully saved","Mapa stránek byla úspěšně uložena"
"Start Time","Doba startu"
"Store View","Obchod Pohled"
"This sitemap no longer exists","Mapa stránek již neexistuje"
"Unable to find a sitemap to delete","Nenalezena mapa stránek k smazání"
"Unable to find a sitemap to generate","Nenalezena mapa stránek pro vygenerování"
"Unable to generate a sitemap","Nelze vygenerovat mapu stránek"
"Valid values range from 0.0 to 1.0","Platný rozsah hodnot je od 0.0 do 1.0"
"Weekly","Týdně"
"Yearly","Ročně"
