"Billing Information","Platební údaje"
"Change Payment Method","Změnit způsob platby"
"Change Shipping Address","Změnit dodací adresu"
"Edit Shopping Cart","Upravit košík"
"Email","Email"
"Incl. Tax","S daní"
"Items in Your Shopping Cart","Položky v nákupním košíku"
"No shipping method required.","Způsob doručení není vyžadován."
"PayPal Account","Účet PayPal"
"PayPal Email","PayPal Email"
"Payment Method","Platební metoda"
"Place an Order","Odeslat objednávku"
"Please select a shipping method...","Vyberte prosím způsob dodání..."
"Price","Cena"
"Product Name","Název produktu"
"Qty","Množství"
"Review Order","Přehled objednávky"
"Shipping Address","Dodací adresa"
"Shipping Information","Dodací údaje"
"Shipping Method","Způsob dodání"
"Sorry, no quotes are available for this order at this time.","Litujeme, pro tuto objednávku nyní nejsou k dispozici žádné nabídky."
"Submitting order information...","Odesílám informace o objednávce..."
"Subtotal","Součet"
"Update Shipping Method","Upravit způsob doručení"
"You will be redirected to PayPal website when you place an order.","Budete přesměrováni na stránky PayPal po odeslání objednávky."
"You will be redirected to Paypal in a few seconds.","Během několika sekund budete přesměrováni na Paypal."
"Your billing address will be ignored and you will be redirected to PayPal website","Vaše fakturační údaje budou ignorovány a budete přesměrování na stránky PayPalu"
