"ALL","VŠE"
"ANY","LIBOVOLNÝ"
"Add","Přidat"
"Apply","Použít"
"Description: %s","Popis: %s"
"Expire at: %s","Vyprší: %s"
"FALSE","NEPRAVDA"
"If %s of these conditions are %s:","Pokud jsou %s z těchto podmínek %s:"
"Invalid discount amount.","Chybná množstevní sleva"
"MATCHING ALL","OBSAHUJE VŠE"
"MATCHING ANY","OBSAHUJE NĚJAKÉ"
"NOT MATCHING ALL","NEOBSAHUJE VŠE"
"NOT MATCHING ANY","NEOBSAHUJE ŽÁDNÉ"
"Name: %s","Název: %s"
"Open Chooser","Kdo si vybírá"
"Perform following actions","Provést následující akce"
"Please choose a condition to add...","Vyberte prosím podmínku k přidání..."
"Please choose an action to add...","Vyberte prosím akci k přidání..."
"Remove","Odstranit"
"Start at: %s","Začátek: %s"
"TRUE","PRAVDA"
"by","od"
"contains","obsahuje"
"does not contain","neobsahuje"
"equals or greater than","větší nebo rovno"
"equals or less than","menší nebo rovno"
"greater than","větší než"
"is","je"
"is not","není"
"is not one of","není z"
"is one of","jedno z"
"less than","menší než"
"to","do"
