"Add Recipient","Alıcı Ekle"
"Allow for Guests","Konuk kullanıcılara izin ver"
"Email Address","Email Adresi"
"Email Address:","Email Adresi:"
"Email templates","Email şablonları"
"Email to a Friend","Arkadaşına Gönder"
"Email:","Email:"
"Enabled","Aktif"
"Limit Sending By","Gönderimi limitle"
"Link to a friend was sent.","Bağlantı arkadaşınıza gönderildi."
"Max Products Sent in 1 Hour","1 Saat içinde gönderilecek en fazla ürün sayısı"
"Max Recipients","En fazla Alıcı sayısı"
"Maximum %d email addresses allowed.","En fazla %d adet email adresine izin veriliyor."
"Message:","Mesaj:"
"Name","Adı"
"Name:","Adı:"
"Recipient:","Alıcı:"
"Remove Email","Email Adresini Sil"
"Select email template","Email şablonu sil"
"Send email","Gönder"
"Send product to a friend","Arkadaşına ürünü tavsiye et"
"Sender:","Gönderici :"
"Some emails was not sent","Bazı e-mailler gönderilemedi"
"Some problems with data.","Bazı verilerde sorun var."
"You cannot email this product to a friend","Bu ürünü arkadaşınıza gönderemezsiniz"
"You cannot send more than %d times in an hour","1 saat içinde en fazla %d adet gönderebilirsiniz"
