"-- Please select --","-- Lütfen Seçiniz --"
"Allowed currencies","İzin verilen Para Birimleri"
"Base currency","Ana para birimi"
"Cannot retrieve rate from %s","Kur bilgileri %s adresinden alınamadı"
"Connection timeout in seconds","Bağlantı zaman aşımı (sn.)"
"Continue &raquo;","Devam &raquo;"
"Country","Ülke"
"Country Api","Ülke API si"
"Country and Format Type combination should be unique","Ülke ve biçim bilgileri eşsiz olmalıdır"
"Currency","Para Birimi"
"Currency Options","Para Birimi Seçenekleri"
"Currency Setup","Para Birimi Ayarları"
"Currency Update Warnings","Kur Güncelleme Uyarıları"
"Currency will be used for all online payment transactions","Para birimi bütün çevrimiçi tahsilat sistemlerinde kullanılacak"
"Default display currency","Varsayılan Gösterilecek Para Birimi"
"Directory","Dizin"
"Enabled","Aktif"
"Error Email Recipient","Hata Bildirimi E-Mail Alıcısı"
"Error Email Sender","Hata Bildirimi E-Mail Göndericisi"
"Error Email Template","Hata Bildirimi E-Mail Şablonu"
"FATAL ERROR:","KURTARILAMAZ HATA :"
"Frequency","Aralık"
"Installed Currencies","Kurulu Para Birimleri"
"Invalid Import Service Specified","Hatalı Veri Kaynağı belirtildi"
"Invalid country code: %s","Hatalı Ülke Kodu : %s"
"Invalid rates received","Alınan kur bilgileri hatalı"
"Invalid target currency","Hedef para birimi seçimi hatalı"
"List of countries","Ülke listesi"
"List of regions in specified country","Seçili ülkenin bölgeleri/şehirleri"
"Region","Bölge"
"Region Api","Bölge API si"
"Remove space from currency sign","Para birimi simgesindeki boşluğu kaldır"
"Scheduled Import Settings","Zamanlanmış Kur Güncelleme Ayarları"
"Select Your Currency","Para Birimi Seçiniz"
"Service","Servis"
"Start Time","Başlangıç Saati"
"State/Province","Şehir"
"Strikeiron Email Update Warnings","Strikeiron Email Güncelleme Hataları"
"Unable to initialize import model","Veri alma modeli başlatılamadı"
"Undefined rate from ""%s-%s""","Hatalı veri kaynağı ""%s-%s"""
"WARNING:","UYARI :"
"Webservicex","Webservicex"
"Your current currency is: %s","Kullanımda Olan Para Birimi : %s"
