"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s takip listenize eklendi. Alışverişe devam etmek için <a href=""%2$s"">buraya tıklayın</a>"
"%s's Wishlist","%s Takip Listesi"
"* Required Fields","* Zorunlu Alan"
"Add All to Cart","Hepsini Sepete Ekle"
"Add to Cart","Sepete Ekle"
"Add to Wishlist","Takip Listesine Ekle"
"Added On","Eklenme Tarihi"
"Are You sure?","Emin misiniz ?"
"Are you sure you want to remove this product from your wishlist?","Bu ürünü takip listenizden silmek istediğinizden emin misiniz ?"
"Are you sure you would like to remove this item from the wishlist?","Bu ürünü takip listesinden silmek istediğinizden emin misiniz ?"
"Back","Geri"
"Can't save description %s","Açıklama kaydedilemedi %s"
"Cannot create wishlist","Takip listesi oluşturulamadı"
"Cannot specify product","Ürün seçiminde hata var"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Takip listenize bir RSS akışı eklemek için bu kutuyu işaretleyin."
"Comment","Yorum"
"Email Sender","Email Göndericisi"
"Email Template","Email Şablonu"
"Email address can't be empty.","Email adresi boş bırakılamaz."
"Email addresses, separated by commas","Email adresleri (virgülle ayırınız)"
"Enabled","Aktif"
"General Options","Genel Ayarlar"
"Go to Wishlist","Takip Listesine Git"
"Last Added Items","Son Eklenenler"
"Message","Mesaj"
"My Wishlist","Takip Listem"
"My Wishlist (%d item)","Takip Listem (%d ürün)"
"My Wishlist (%d items)","Takip Listem (%d ürün)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Lütfen geçerli e-mail adresleri giriniz ve aralarında virgül kullanınız. Örnek: ahmet@domain.com, mehmet@baskadomain.com."
"Please, enter your comments...","Lütfen yorumlarınızı giriniz..."
"Product","Ürün"
"RSS Feed","RSS Veri Akışı"
"RSS link to %s's wishlist","%s Takip Listesine RSS bağlantısı"
"Remove Item","Kayıt Sil"
"Share Wishlist","Takip Listesi Paylaş"
"Share Your Wishlist","Takip Listeni Paylaş"
"Share options","Paylaşma seçenekleri"
"Sharing Information","Paylaşım Bilgisi"
"There was an error while adding item to wishlist.","Ürün takip listenize eklenirken bir hata oluştu."
"There was an error while adding item to wishlist: %s","Takip listenize ürün eklenirken hata oluştu : %s"
"There was an error while deleting item from wishlist.","Ürün takip listenizden silinirken bir hata oluştu."
"There was an error while deleting item from wishlist: %s","Takip listenizden ürün silinirken hata oluştu : %s"
"This product(s) is currently out of stock:","Bu ürün(ler) stokta yok :"
"Update Wishlist","Takip Listesini Güncelle"
"View Product","Ürünü Göster"
"Wishlist","Takip Listesi"
"Wishlist Section","Takip Listesi Bölümü"
"Wishlist Sharing","Takip Listesi Paylaşımı"
"Wishlist is empty now.","Takip listesi boş."
"You have no items in your wishlist.","Takip listenizde ürün yok."
"You input not valid email address.","Geçerli bir e-mail adresi girmediniz."
"Your Wishlist was successfully shared","Takip Listeniz paylaşıldı"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","Takip Listem - <a href=""%s"">%d adet ürün</a>"
"My Wishlist","Takip Listem"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
