"# of Use","# Kullanımda"
"%1$s incl tax.","%1$s vergi dahil."
"%s - %s","%s - %s"
"%s Item(s)","%s Kayıt"
"(Copy data from: %s)","(Veri kaynağı : %s)"
"(Will make search for the query above return results for this search.)","(Belirlediğiniz arama kriterlerine uygun sonuçlar aşağıda listelenecektir.)"
"* Required Fields","* Doldurulması zorunlu alanlar"
"-- Please Select --","-- Lütfen Seçiniz --"
"A name is required","İsim girmeniz gerekiyor"
"ALL GROUPS","Tüm GRUPLAR"
"AM","ÖÖ"
"Action","İşlem"
"Add Attribute","Özellik Ekle"
"Add Design Change","Tasarım Değişikliği Ekle"
"Add Group","Grup Ekle"
"Add Items to Cart","Sepete Ekle"
"Add New","Ekle"
"Add New Attribute","Özellik Ekle"
"Add New Attribute Set","Yeni Özellik Seti Ekle"
"Add New Group","Grup Ekle"
"Add New Images","Resim Ekle"
"Add New Option","Seçenek Ekle"
"Add New Row","Satır Ekle"
"Add New Search Term","Yeni Arama Kelimesi Ekle"
"Add New Set","Set Ekle"
"Add Option","Seçenek Ekle"
"Add Product","Ürün Ekle"
"Add Product To Websites","Web sitelerine ürün ekle"
"Add Root Category","Ana Kategori Ekle"
"Add Subcategory","Alt Kategori Ekle"
"Add Tax","Vergi Ekle"
"Add Tier","Kanal Ekle"
"Add to Cart","Sepete Ekle"
"Add to Compare","Karşılaştırma Listesine Ekle"
"Add to My Wishlist","İstek Listeme Ekle"
"Add to Wishlist","İstek Listesine Ekle"
"Additional Information","Ek Bilgi"
"All","Hepsi"
"All Product Types","Tüm Ürün Tipleri"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Bu sete bağlı tüm ürünler silinecek! Bu özellik setini silmek istediğinizden emin misiniz ?"
"Allow HTML-tags on Front-end","Ön sayfada HTML etiketlerine izin ver"
"Allowed File Extensions","İzin Verilen Dosya Uzantıları"
"Allowed file extensions to upload","Dosya Yüklemede Izin Verilen Dosya Uzantıları"
"Amount","Toplam"
"Apply To","Uygula"
"Apply To Configurable/Grouped Product","Ayarlanabilir/Gruplu Ürüne Uygula"
"Approved","Onaylandı"
"Are you sure you want to delete this category?","Bu kategoriyi silmek istediğinizden emin misiniz ?"
"Are you sure you would like to remove all products from your comparison?","Karşılaştırma listesindeki tüm ürünleri listeden silmek istediğinizden emin misiniz ?"
"Are you sure you would like to remove this item from the compare products?","Bu ürünü Karşılaştırma Listesinden silmek istediğinizden emin misiniz ?"
"Are you sure?","Emin misiniz ?"
"As low as:","En ucuz :"
"Assign","Ata"
"Assign product link","Ürün bağlantısı ata"
