"Abandoned carts","Terk edilen sepetler"
"Action","İşlem"
"Add to Cart","Sepete Ekle"
"Add to Compare","Karşılaştırma Listesine Ekle"
"Add to Wishlist","Takip Listesine Ekle"
"Applied Coupon","Kullanılan Kupon"
"Avg. approved rating","Ortalama onaylama puanı"
"Avg. rating","Ortalama puan"
"Bestsellers","En Çok Satanlar"
"Bought from wishlists","Takip listesinden satın alınanlar"
"CSV","CSV"
"Carrier/Method","Taşıyıcı/Yöntem"
"Carts","Sepetler"
"Coupons","Kuponlar"
"Created at","Oluşturulma Yeri"
"Customer","Müşteri"
"Customer Name","Müşteri Adı"
"Customer Tags","Müşteri Etiketleri"
"Customers","Müşteriler"
"Customers Report","Müşteri Raporu"
"Customers Reviews","Müşteri Yorumları"
"Customers Tags","Müşteri Etiketleri"
"Customers by number of orders","Sipariş sayısına göre müşteriler"
"Customers by orders total","Sipariş ücret toplamına göre müşteriler"
"Customers that have wishlist: %s%","Takip listesi olan müşteriler : %s%"
"Day","Gün"
"Default Recently Compared Products count","Varsayılan 'Daha Önce Karşılaştırılan Ürünler' sayısı"
"Default Recently Viewed Products count","Varsayılan 'Daha Önce Görülen Ürünler' sayısı"
"Detail","Detay"
"Discounts","İndirimler"
"Downloads","İndirmeler"
"Email","Email"
"Excel","Excel"
"First Name","Adı"
"Guest","Misafir"
"Hits","Görülme Sayısı"
"ID","No"
"Invalid date specified","Tarih seçimi hatalı"
"Invoiced","Faturalanmış"
"Items Ordered","Sipariş Edilmiş Ürünler"
"Items in Cart","Sepetteki Ürünler"
"Last Name","Soyadı"
"Last Review","Son Yorum"
"Link","Bağlantı"
"Low stock","Düşük Stok"
"Month","Ay"
"Most Viewed","En Çok Görülen"
"Most viewed","En çok görülen"
"Name","Adı"
"New Accounts","Yeni Hesaplar"
"Number Added","Numara Eklendi"
"Number Fulfilled","Doldurulmuş Numara"
"Number Of Historical Uses","Geçmiş Kullanım Sayısı"
"Number Of Reviews","Yorum Sayısı"
"Number Of Uses","Kullanım Sayısı"
"Number Purchased","Satın Alınan"
"Number Viewed","Görülme Sayısı"
"Number of Items","Ürün Sayısı"
"Number of Ivoiced Orders","Faturalandırılmış Siparişler"
"Number of New Accounts","Yeni Hesap Sayısı"
"Number of Orders","Sipariş Sayısı"
"Number of Refunded Orders","Ücret İadesi Yapılmış Siparişler"
"Number of Reviews","Yorum Sayısı"
"Number of Total Tags","Toplam Etiket Sayısı"
"Number of Unique Tags","Eşsiz Etiket Sayısı"
"Number of Views","Görülme Sayısı"
"Number of items bought from a wishlist: %s","Takip listesinden satın alınan ürün sayısı : %s"
"Number of times deleted","Silinme sayısı"
"Number of times wishlists have been shared (emailed): %s","Takip listesinin (e-mail yoluyla) paylaşılma sayısı : %s"
"Number of wishlist conversions: %s","Takip listesinden çevrimlerin sayısı : %s"
"Number of wishlist referrals: %s","Takip listesinden ziyaretlerin sayısı : %s"
"Number of wishlists: %s","Takip listesi sayısı : %s"
"Offline Refunded","Geri Ödeme Yapılanlar (Offline)"
"Online Refunded","Geri Ödeme Yapılanlar (Online)"
"Orders","Siparişler"
"Out of stock","Stokta yok"
"Poducts Report","Ürün Raporu"
"Popular Tags","Popüler Etiketler"
"Popularity","Popülerite"
"Price","Fiyat"
"Product Name","Ürün Adı"
"Product Reviews","Ürün Yorumları"
"Product Sku","Ürün Kodu"
"Product Tags","Ürün Etiketleri"
"Products","Ürünler"
"Products Report","Ürün Raporu"
"Products Reviews","Ürün Yorumları"
"Products Sold","Ürün Satıldı"
"Products Tags","Ürün Etiketleri"
"Products in carts","Sepetlerdeki ürünler"
"Purchases","Satın Almalar"
"Quantity Ordered","Sipariş Verilen Adet"
"Quantity of Items","Ürün Adetleri"
"Rate","Oran"
"Recently Compared Products","En Son Karşılaştırılan Ürünler"
"Recently Viewed Products","En Son Görülen Ürünler"
"Recently Viewed/Compared Products","En Son Görülen/Karşılaştırılan Ürünler"
"Refunded","Ücret İadesi Yapılan"
"Reports","Raporlar"
