"%d Review(s)","%d Yorum"
"%s Review(s)","%s Yorum"
"(Posted on %s)","(%s tarihinde gönderildi)"
"1 star","1 yıldız"
"2 stars","2 yıldız"
"3 stars","3 yıldız"
"4 stars","4 yıldız"
"5 stars","5 yıldız"
"Add New Review","Yorum Ekle"
"Add Your Review","Yorum Ekleyin"
"Administrator","Yönetici"
"All Reviews","Tüm Yorumlar"
"All reviews of customer `%s`"," `%s` adlı müşterinin tüm yorumları"
"Allow guests to write reviews","Misafirlerin yorum yapmasına izin ver"
"Are you sure you want to do this?","Bunu yapmak istediğinizden emin misiniz ?"
"Are you sure?","Emin misiniz ?"
"Average Customer Rating","Ortalama Müşteri Puanı "
"Average Customer Rating:","Ortalama Müşteri Puanı:"
"Back","Geri"
"Back to Main Product Info","Ürün Detayına Geri Dön"
"Back to My Reviews","Yorumlarım Sayfasına Dön"
"Back to Product Reviews","Ürün Yorumlarına Dön"
"Be the first to review this product","Bu ürünü ilk yorumlayan siz olun"
"Created On","Oluşturulma Tarihi "
"Customer","Müşteri"
"Customer Reviews","Müşteri Yorumları"
"Delete","Sil"
"Delete Review","Yorumu Sil"
"Detailed Rating","Detaylı Puanlama"
"Edit Review '%s'","Yorumu Düzenle : '%s'"
"Guest","Misafir"
"How do you rate this product?","Bu ürüne kaç puan verirsiniz ?"
"ID","No"
"Manage Ratings","Puanları Yönet"
"My Product Reviews","Ürün Yorumlarım"
"My Recent Reviews","Geçmiş Yorumlarım"
"Name","Adı"
"Name In Store","Mağazadaki Adı"
"New Review","Yeni Yorum"
"Nickname","Takma Ad (Nick)"
"Pending Reviews","Bekleyen Yorumlar"
"Pending reviews","Bekleyen yorumlar"
"Pending reviews of customer `%s`","`%s` adlı müşterinin bekleyen yorumları"
"Please select a product","Lütfen bir ürün seçiniz"
"Please select one of each of the ratings above","Lütfen aşağıdaki puanlama seçeneklerinden istediklerinizi seçiniz"
"Posted By","Gönderen"
"Price","Fiyat"
"Product","Ürün"
"Product Name","Ürün Adı"
"Product Rating","Ürün Puanı"
"Product Rating:","Ürün Puanı:"
"Product Review (submitted on %s):","Ürün Yorumu (%s tarihinde gönderildi):"
"Product Reviews","Ürün Yorumları"
"Product SKU","Ürün Kodu"
"Qty","Adet"
"Rating:","Puan:"
"Review","Yorum"
"Review Details","Yorum Detayları"
"Review by %s","Yorumlayan : %s"
"Reviews and Ratings","Yorumlar ve Puanlar"
"SKU","Ürün Kodu"
"Save Review","Yorumu Kaydet"
"Status","Durum"
"Submit Review","Yorumu Gönder"
"Summary Rating","Puan Özeti"
"Summary of Review","Yorum Özeti"
"Summary of Your Review","Yorumunuzun Özeti"
"Summary of review","Yorum Özeti"
"Title","Başlık"
"Type","Tip"
"Unable to post review. Please, try again later.","Yorumunuz gönderilemedi. Lütfen daha sonra tekrar deneyiniz."
"Update status","Durumu Güncelle"
"View All Reviews","Bütün Yorumları Göster"
"View Details","Detayları Göster"
"Visible In","Görüneceği Yer"
"Websites","Web Siteleri"
"Write Your Own Review","Kendi Yorumunuzu Yazın"
"You have submitted no reviews.","Yorum eklemediniz."
"You're reviewing: %s","Yorumladığınız Ürün : %s"
"Your Rating:","Puanınız :"
"Your Review (submitted on %s):","Yorumunuz (%s tarihinde gönderildi):"
"Your review has been accepted for moderation","Yorumunuz yönetici onayından geçmek üzere kaydedildi"
"OR","VEYA"
"My Product Reviews","My Product Reviews"
