"Add New Row","Yeni Satır Ekle"
"An error occurred while saving the file(s).","Dosyalar kaydedilirken bir hata oluştu."
"Availability: In stock.","Stok Durumu : Var."
"Availability: Out of stock.","Stok Durumu : Yok."
"Back","Geri"
"Can't connect to remote host, error: %s","Uzak sunucuya bağlanılamadı, hata : %s"
"Canceled","İptal Edildi"
"Date","Tarih"
"Default Link Title","Varsayılan Bağlantı Başlığı"
"Default Maximum Number of Downloads","Varsayılan En Fazla İndirme Sayısı"
"Default Sample Title","Varsayılan Örnek Başlığı"
"Disable Guest Checkout if cart contains downloadable items","Eğer sepette indirilebilir bir ürün ( mp3, yazılım gibi ) varsa üye olmadan alışveriş bitirmeye izin verme"
"Downloadable Information","İndirilebilir Ürün Bilgisi"
"Downloadable Product","İndirilebilir Ürün"
"Downloadable Product Options","İndirilebilir Ürün Seçenekleri"
"Downloadable product Section","İndirilebilir Ürün Bölümü"
"Excl. Tax","Vergi Hariç"
"File","Dosya"
"File does not exists","Dosya yok"
"From:","Kimden:"
"Gift Message","Hediye Mesajı"
"Go to <a href=""%s"">My Downloadable Products</a>","<a href=""%s"">İndirilebilir Ürünlerim</a> bölümüne git"
"Guest checkout will only work with shareable","Üye olmadan alışveriş bitirme sadece paylaşılabilir ürünlerde geçerlidir"
"Incl. Tax","Vergi Dahil"
"Invalid download URL host","Hatalı indirme sunucusu adresi"
"Invalid download URL scheme","Hatalı indirme adresi tipi"
"Invalid download link type","Hatalı indirme bağlantısı tipi"
"Invoiced","Faturalandırılmış"
"Link has expired.","Bağlantının süresi doldu."
"Link is not available.","Bağlantı kullanım dışı."
"Links can be purchased separately","Bağlantılar ayrı ayrı satın alınabilir"
"Max. Downloads","En Fazla İndirme"
"Message:","Mesaj:"
"My Downloadable Products","İndirilebilir Ürünlerim"
"Open Links in New Window","Bağlantıları Yeni Pencerede Aç"
"Order #","Sipariş #"
"Order Item Status to enable Downloads","İndirmeleri aktif hale getirmek için Sipariş Durumu"
"Ordered","Sipariş edildi"
"Pending","Beklemede"
"Please log in to download your product.","İndirilebilir ürünlerinize ulaşmak için sisteme giriş yapmalısınız."
"Please set resource file and link type","Lütfen kaynak dosya ve bağlantı tipi seçiniz"
"Please specify product link(s).","Lütfen ürün bağlantılarını belirleyiniz."
"Price","Fiyat"
"Refunded","Ücret İade Edildi"
"Remaining Downloads","Kalan İndirme Sayısı"
"Remove item","Ürünü Sil"
"Requested link doesn't exist.","Ulaşmaya çalıştığınız bağlantı bulunamadı."
"Sample","Örnek"
"Shareable","Paylaşılabilir"
"Shipped","Gönderildi"
"Sorry, the was an error getting requested content. Please contact store owner.","Üzgünüz, İstediğiniz içeriğe ulaşılamıyor. Lütfen site yönetimi ile iletişim kurun."
"Sorry, there was an error getting requested content","İstenen içeriğin alınması esnasında bir hata oluştu"
"Sorry, there was an error getting requested content. Please contact store owner.","Üzgünüz, İstediğiniz içeriğe ulaşılamıyor. Lütfen site yönetimi ile iletişim kurun."
"Sort Order","Sıralama"
"Start Download","İndirmeye Başla"
"Status","Durum"
"Title","Başlık"
"To:","Kime:"
"U","U"
"Unlimited","Limitsiz"
"View Order","Siparişi Göster"
"You have not purchased any downloadable products yet.","Hiç indirilebilir ürün satın almadınız."
"attachment","ek dosya"
"download","indir"
"inline","iç"
"sample","örnek"
"My Downloadable Products","My Downloadable Products"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
