"%s is not supported currency.","%s desteklenen bir para birimi değil."
"Accept","Kabul Et"
"Basic","Basit"
"Cannot retreive rate from strikeirion.","Strikeiron sisteminden fiyat alınamadı."
"Cannot retrieve rate from %s to %s","%s dan %s ya fiyat çekilemedi"
"Check all email servers","Bütüm mail sunucularını kontrol et"
"Complete","Tamamla"
"Country/Region/Postal code combination","Ülke/Bölge/Posta kodu kombinasyonu"
"Customer Tax Class","Müşteri Vergi Sınıfı"
"Email Verification","E-mail Doğrulama"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","Email adresi doğrulanamadı. Lütfen e-mail adresinin doğru girildiğinden emin olunuz."
"Enable US address verification","A.B.D. için adres doğrulamayı etkinleştir"
"Enable email verification","E-Mail doğrulamayı etkinleştir"
"Enable foreign exchange rate","Yabancı kur fiyatlandırmasını etkinleştir"
"Enable global address verification","Küresel adres doğrulamayı etkinleştir"
"Enable sales and use tax","Satışı aç ve vergi kullan"
"Error Email Recipient","Hata Mesajı Alıcısı"
"Error Email Sender","Hata Mesajı Göndericisi"
"Error Email Template","Hata Mesajı Şablonu"
"Error address action","Hatalı adres için işlem"
"Foreign Exchange Rates","Yabancı Döviz Kurları"
"Global Address Verification","Küresel Adres Doğrulama"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Vergi Tipi tamamlandı ve posta kodu birden fazla vergi sınıfına karşılık geldiyse, en düşük veya en yüksek vergi oranlarından hangisinin uygulanacağını seçiniz."
"Invalid email address","Hatalı e-mail adresi"
"Maximum tax rate","En Yüksek vergi oranı"
"Minimum tax rate","En Düşük vergi oranı"
"Password","Şifre"
"Pop up warning and accept","Uyarı balonu ve kabul"
"Product Tax Class","Ürün Vergi Sınıfı"
"Reject","Reddet"
"Sales and Use Tax","Satış ve Vergi Kullan"
"Sales and Use Tax Type","Satış ve Vergi Kullanım Tipi"
"Strikeiron","Strikeiron"
"Strikeiron Config","Strikeiron Ayarları"
"Strikeiron Section","Strikeiron Bölümü"
"Strikeiron foreign exchange rate is disabled","Strikeiron yabancı döviz kuru devre dışı"
"Tax","Vergi"
"There is an error in retrieving tax rate. Please contact us","Vergi oranı alınırken hata oluştu. Lütfen site yönetimi ile bağlantı kurunuz."
"There is an error in verifying an email. Please contact us.","E-mail doğrulanırken hata oluştu. Lütfen site yönetimi ile bağlantı kurunuz."
"There is no more hits remaining for the foreign Exchange Rate Service.","Yabancı Döviz Çevrim servisi için yeterli hak kalmadı."
"There is no response back from Strikeiron server","Strikeiron sunucusundan cevap gelmiyor"
"US Address Verification","A.B.D. için Adres doğrulama"
"Undetermined email action","Belirsiz/kararsız e-mail işlemi"
"Use","Kullan"
"User ID","Kullanıcı ID"
"Verify address in admin","Adresi yönetimde doğrula"
"Verify email in admin","E-Maili yönetimde doğrula"
