"* Select shipping method","* Teslimat Yöntemini Seçiniz"
"AVS Status: %s","AVS Durumu : %s"
"Add","Ekle"
"Add Shipping Method","Teslimat Yöntemi Ekle"
"Allowed Methods","İzin Verilen Yöntemler"
"Amount: %s","Toplam : %s"
"Auto-generated from GoogleCheckout Charge","GoogleCheckout tahsilatıyla otomatik oluşturuldu"
"Buyer account age: %s days","Satın Alanın Site Geçmişi : %s gün"
"CC Partial: xxxx-%s","K.K. Numara Sonu : xxxx-%s"
"CID Status: %s","CID Durumu : %s"
"Carrier Calculated Methods","Taşıyıcı Tarafından Hesaplanan Yöntemler"
"Cart Discount","İndirim"
"Checkout Image Style","Alışveriş Bitim Resminin Stili"
"Continue Shopping URL","Alışverişe Devam Adresi"
"Debug","Hata Ayıklama"
"Default Package Height (in)","Varsayılan Paket Yüksekliği (inç)"
"Default Package Length (in)","Varsayılan Paket Uzunluğu (inç)"
"Default Package Width (in)","Varsayılan Paket Genişliği (inç)"
"Default price for methods","Yöntemler için varsayılan fiyat"
"Default price:","Varsayılan Fiyat :"
"Delivery Address Category","Teslimat Adresi Kategorisi"
"Delivery schedule","Teslimat tarifesi"
"Disable Default Tax Tables","Varsayılan Vergi Tablolarını devre dışı bırak"
"Eligible for protection: %s","Koruma için seçilebilir : %s"
"Enable","Açık"
"Enable Carrier Calculated","Taşıyıcı Tarafından Hesaplanan Tarifeleri Kullan"
"Enable Digital Delivery","Sayısal Teslimat Kullan"
"Enable Flat Rate","Tek Fiyat Kullan"
"Enable Merchant Calculated","Satıcı Tarafından Hesaplanan Tarifeleri Kullan"
"Enable this if your checkout request is too big and being cut off.","Eğer alışveriş bitirme verisi çok büyükse bu seçeneği seçiniz."
"Expiration: %s","Bitiş : %s"
"Financial: %s -> %s","Finansal : %s -> %s"
"Free Shipping","Ücretsiz Teslimat"
"Fulfillment: %s -> %s","İfa : %s -> %s"
"Google API","Google API"
"Google Authorization:","Google Kullanıcı Onayı :"
"Google Buyer Id: %s","Google Müşteri No : %s"
"Google Charge:","Google Tahsilatı :"
"Google Checkout","Google Ödemesi"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Teslimat - Taşıyıcının Hesaplaması"
"Google Checkout Shipping - Digital Delivery","Google Checkout Teslimi - Sayısal Teslimat"
"Google Checkout Shipping - Flat Rate","Google Checkout Teslimat - Tek Fiyat"
"Google Checkout Shipping - Merchant Calculated","Google Checkout Teslimat - Satıcının Hesaplaması"
"Google Checkout: %s","Google Ödeme : %s"
"Google Order Number: %s","Google Sipariş No : %s"
"Google Refund:","Google Geri Ödeme :"
"Google Risk Information:","Google Risk Bilgisi :"
"Google order status change:","Google sipariş durum değişikliği :"
"Hide Cart Contents During Checkout","Alışveriş Sonlandırılırken Sepet İçeriğini Gizle"
"IP Address: %s","IP Adresi: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","
Eğer etkinse, Google Checkout butonuna basıldığında Sepet içeriği gizlenir, ""Sepet Düzenle"" bağlantına basıldığında görünür hale gelir."
"Invoice auto-created: %s","Otomatik Oluştutulan Fatura : %s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","Alıcı Tanıtım E-Mailleri Almak İstiyor mu : %s"
"Large - %s","Geniş - %s"
"Latest Charge: %s","Son tahsilat : %s"
"Latest Refund: %s","Son geri ödeme : %s"
"Location","Yer"
"Medium - %s","Orta - %s"
"Merchant ID","Satıcı No"
"Merchant Key","Satıcı Anahtarı"
"Method","Yöntem"
"New order status","Yeni sipariş durumu"
"No","Hayır"
"Optional, leave empty for home page.","İsteğe bağlıdır, ana sayfa için boş bırakınız."
"Rate 1 Amount","Oran 1 Toplam"
"Rate 1 Ship To Applicable Countries","Tüm Ülkelere Teslimat İçin Oran 1 "
"Rate 1 Ship to Specific Countries","Belirlenen Ülkelere Teslimat İçin Oran 1"
"Rate 1 Title","Rate 1 Başlık"
"Rate 2 Amount","Oran 2 Toplam"
"Rate 2 Ship To Applicable Countries","Tüm Ülkelere Teslimat İçin Oran 2 "
"Rate 2 Ship to Specific Countries","Belirlenen Ülkelere Teslimat İçin Oran 2"
"Rate 2 Title","Rate 2 Başlık"
"Rate 3 Amount","Oran 3 Toplam"
"Rate 3 Ship To Applicable Countries","Tüm Ülkelere Teslimat İçin Oran 3 "
"Rate 3 Ship to Specific Countries","Belirlenen Ülkelere Teslimat İçin Oran 3"
"Rate 3 Title","Rate 3 Başlık"
"Remove","Sil"
"Required for live Google Checkout transactions.","Gerçek Google Checkout işlemleri için gereklidir."
"Sandbox","Güvenli Kutu"
"Secure Callback URL","Güvenli Geri Çağrım Adresi"
"Small - %s","Küçük - %s"
"Total Charged: %s","Toplam Tahsilat : %s"
"Total Refunded: %s","Toplam Geri Ödeme : %s"
"Transparent","Transparan"
"United Kingdom","İngiltere"
"United States","A.B.D."
"Virtual item to reflect discount total","İndirim toplamını yansıtmak için sanal ürün"
"White Background","Beyaz Arka Plan"
"You will be redirected to GoogleCheckout in a few seconds.","Birkaç saniye içinde GoogleCheckout sayfasına yönlendirileceksiniz."
