"%s already exist","%s zaten var"
"%s already exists","%s zaten var"
"-- Please Select --","-- Lütfen Seçiniz --"
"Add Block Names to Hints","İpuçlarına Kutu Adlarını da Ekle"
"Add Secret Key to URLs","Adreslere Gizli Anahtar Kelime Ekle"
"Add Store Code to Urls","Adreslere Mağaza Kodu Ekle"
"Admin","Yönetim"
"Admin Base URL","Yönetim Adresi"
"Admin User Emails","Yönetici E-Mailleri"
"Advanced","Gelişmiş"
"Allow countries","Ülkelere izin ver"
"Allowed IPs (comma separated)","İzin veriler IP Adresleri (virgülle ayrılmış)"
"Are you sure?","Emin misiniz ?"
"Back","Geri"
"Backup options","Yedekleme seçenekleri"
"Base JavaScript URL","Ana JavaScript Adresi"
"Base Link URL","Ana Bağlantı Adresi"
"Base Media URL","Ana Medya Dosyaları Adresi"
"Base Skin URL","Ana Tema Adresi"
"Base URL","Ana Adres"
"Before modifying the store view code please make sure that it is not used in index.php","Mağaza görünüm kodunu değiştirmeden önce index.php dosyasında kullanılmadığından emin olunuz"
"Before modifying the website code please make sure that it is not used in index.php","Web sitesi kodunu değiştirmeden önce index.php dosyasında kullanılmadığından emin olunuz"
"Block with name ""%s"" already exists","""%s"" adla bir grup zaten var"
"Blocks HTML output","Kutu HTML Çıktısı"
"Can't retrieve request object","Talep nesnesi alınamıyor"
"Can't retrieve entity config: %s","Varlık ayarı alınamadı : %s"
"Cancel","İptal"
"Cannot Delete Email Template","Email Teması silinemiyor"
"Cannot complete this operation from non-admin area.","Yönetim alanı dışından bu işlem yapılamaz."
"Category object is required for determining product request path","Ürün istem yolunun bulunması için Kategori nesnesi gerekiyor"
"Code","Kod"
"Collections Data","Koleksiyon Verisi"
"Configuration","Ayar"
"Controller file was loaded but class does not exist","Kontrol dosyası yüklendi fakat sınıf bulunamıyor"
"Cookie Domain","Çerez Domaini"
"Cookie Lifetime","Çerez Ömrü"
"Cookie Path","Çerez Dizini"
"Copyright","Telif Hakkı"
"Countries options","Ülke seçenekleri"
