"--Please Select--","-- Lütfen Seçiniz --"
"<label>Make Check payable to:</label> %s","<label>Çeki şu isme yazınız :</label> %s"
"<label>Make Check payable to</label>: %s","<label>Çeki şu isme yazınız</label>: %s"
"Automatically invoice all items","Bütün ürünleri otomatik olarak faturalandır"
"Can not configuration for payment method with code: %s","Bu kodla bir ödeme tipi ayarlayamazsınız : %s"
"Can not retrieve payment info model object.","Ödeme bilgisi model nesnesi alınamadı."
"Can not retrieve payment method instance","Ödeme yöntemi örneği alınamadı"
"Can not retrieve payment method model object.","Ödeme yöntemi için bilgi model nesnesi alınamadı."
"Card Verification Number","Kart Güvenlik Numarası"
"Check / Money order","Çek / Nakit Ödeme"
"Credit Card Number","Kredi Kart Numarası"
"Credit Card Number: %s","Kredi Kart Numarası: %s"
"Credit Card Number: xxxx-%s","Kredi Kart Numarası: xxxx-%s"
"Credit Card Type","Kredi Kart Tipi"
"Credit Card Type: %s","Kredi Kart Tipi: %s"
"Credit Card Types","Kredi Kart Tipleri"
"Credit Card Verification","Kredi Kart Onayı"
"Enabled","Aktif"
"Expiration Date","Son Kullanım Tarihi"
"Expiration Date: %s/%s","Son Kullanım Tarihi: %s/%s"
"Make Check payable to","Çeki Şu İsme Kesiniz"
"Make Check payable to: %s","Çeki Şu İsme Kesiniz: %s"
"Maximum Order Total","En Yüksek Sipariş Toplamı"
"Minimum Order Total","En Düşük Sipariş Toplamı"
"Month","Ay"
"Name on Card","Kart Üzerindeki İsim"
"Name on the Card: %s","Kart Üzerindeki İsim: %s"
"New order status","Yeni sipariş durumu"
"Payment Methods","Ödeme Yöntemleri"
"Payment Methods Section","Ödeme Yöntemleri Bölümü"
"Payment from Specific countries","Belirli ülkelerden tahsilat"
"Payment from applicable countries","İzin verilen bütün ülkelerden tahsilat"
"Purchase Order Number","Sipariş Numarası"
"Purchase Order Number: %s","Sipariş Numarası : %s"
"Purchase order","Satınalma"
"Saved CC","Kaydedilmiş Kredi Kartı"
"Send Check to","Çeki Göndereceğiniz Adres"
"Send Check to:","Çeki Göndereceğiniz Adres:"
"Sort order","Sıralama"
"Title","Başlık"
"What is this?","Bu nedir ?"
"Year","Yıl"
"Zero Subtotal Checkout","Sıfır Toplamla Alışveriş Sonu"
