"%s was successfully added to your shopping cart.","%s bol úspešne pridaný do vášho nákupného košíka."
"&laquo; Back to Shopping Cart","&laquo; Späť do nákupného košíka"
"&laquo; Back to Billing Information","&laquo; Späť na fakturačné údaje"
"&laquo; Back to Select Addresses","&laquo; Späť na výber adries"
"* Required Fields","* Povinne vyplnené polia"
"Address","Adresa"
"Address %s of %s","Adresy %s z %s"
"Enter your coupon code if you have one.","Ak máte, zadajte kód kupónu."
"Update Qty &amp; Addresses","Aktualizovať množstvo a adresy"
"Update Shopping Cart","Aktualizovať nákupný košík"
"Order Success","Úspešnosť objednávky"
"Thank you for your purchase!","Ďakujeme za váš nákup!"
"State/Province","Štát/Provincia"
"Cancel Coupon","Cancel Coupon"
"Cannot move item to wishlist","Cannot move item to wishlist"
"Total for this address","Celkom pre túto adresu"
"Grand Total:","Celkom:"
"Price","Cena"
"Change Payment Method","Change Payment Method"
"Change Shipping Address","Change Shipping Address"
"Change Shipping Method","Change Shipping Method"
"Click <a href=""%s"" target=""_blank"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" target=""_blank"">here to print</a> a copy of your order confirmation."
"Coupon code ""%s"" is not valid.","Coupon code ""%s"" is not valid."
"Coupon code was applied successfully.","Coupon code was applied successfully."
"Coupon code was canceled successfully.","Coupon code was canceled successfully."
"Card Verification Number Visual Reference","CVV kód na vašej platobnej karte"
"Shipping to","Dodať na"
"Shipping Address","Dodacia adresa"
"Shipping Information","Dodacie informácie"
"Checkout as Guest","Dokončiť objednávku bez registrácie"
"Checkout with Multiple Addresses","Dokončiť s viacerými adresami"
"Checkout as a Guest or Register","Dokončite objednávku bez registrácie alebo sa zaregistrujte"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Dostanete potvrdzovací e-mail so všetkými detailami vašej objednávky a linkou na sledovanie priebehu jej vybavenia."
"Email Address","E-mailová adresa"
"Billing Address","Fakturačná adresa"
"Billing Information","Fakturačné údaje"
"Billing Information - %s","Fakturačné údaje - %s"
"Fax","Fax"
"Company","Firma"
"First Name","First Name"
"Password","Heslo"
"Easy access to your order history and status","Jednoduchý prístup k histórii vašich objednávok a stavu"
"Unit Price","Jednotková cena"
"Discount Codes","Kódy zliav"
"Country","Krajina"
"Last Name","Last Name"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximálne množstvo povolené pre odosielanie na viaceré adresy je %s"
"My Cart","Môj Košík"
"My Cart (%s items)","Môj Košík (%s položiek)"
"My Cart (%s item)","Môj Košík (%s položka)"
"Subtotal","Medzisúčet"
"Cart Subtotal:","Medzisúčet:"
"City","Mesto"
"Qty","Množstvo"
"Checkout Options","Možnosti dokončenia objednávky"
"My Account","My Account"
"Load customer quote error","Načítať chybu zákazníkovej cenovej ponuky"
"Loading next step...","Načítavam ďalší krok..."
"Are you sure you would like to remove this item from the shopping cart?","Naozaj chcete túto položku odstrániť z nákupného košíka?"
"Configurable product image","Nastaviteľný obrázok produktu"
"Shopping Cart","Nákupný košík"
"Shopping Cart is Empty","Nákupný košík je prázdny"
"Product Name","Názov produktu"
"You have no items in your shopping cart.","Nemáte žiadne položky vo vašom nákupnom košíku."
"Can not apply coupon code.","Nemožno použiť kód kupónu."
"Invalid data","Neplatné údaje"
"Invalid shipping method.","Neplatné dodacie podmienky."
"Cannot update shopping cart","Nie je možné aktualizovať nákupný košík"
"Cannot remove item","Nie je možné odstrániť položku"
"Some of the products you requested are unavailable","Niektoré z vami požadovaných produktov nie sú k dispozícii"
"Some of the products you requested are not available in the desired quantity","Niektoré z vami požadovaných produktov nie sú k dispozícii v žiadanom množstve"
"New Address","Nová adresa"
"Estimate Shipping and Tax","Odhadnúť cenu prepravy a daň"
"My Cart Link","Odkaz k Môju Košíku"
"Remove","Odstrániť"
"Remove Item","Odstrániť položku"
"Remove Product","Odstrániť produkt"
"Quote Lifetime (days)","Platnosť cenovej ponuky (dní)"
"Payment Information","Platobné informácie"
"Payment Method","Platobné podmienky"
"Payment method is not defined","Platobné podmienky nie sú definované"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
"Please enter a coupon code.","Please enter a coupon code."
"Please enter a coupon code.","Please enter a coupon code."
"Please specify the product option(s)","Please specify the product option(s)"
"Please specify the product(s) quantity","Please specify the product(s) quantity"
"After adding a product redirect to shopping cart","Po pridaní produktu presmerovať do nákupného košíka"
"Checkout","Pokladňa"
"Continue","Pokračovať"
"Continue to Review Your Order","Pokračovať na prehľad objednávky"
"Continue to Shipping Information","Pokračovať na voľbu dodacích informácií"
"Continue to Billing Information","Pokračovať na voľbu fakturačných údajov"
"Continue Shopping","Pokračovať v nákupe"
"Can not add item to shopping cart","Položku nie je možné pridať do košíka"
"Items","Položky"
"Send to","Poslať na"
"Ship to different address","Poslať na rôzne adresy"
"Ship to this address","Poslať na túto adresu"
"Ship to Multiple Addresses","Poslať na viaceré adresy"
"Confirm Password","Potvrdiť heslo"
"Use Billing Address","Použiť fakturačnú adresu"
"Apply Coupon","Použiť kupón"
"Allow Guest Checkout","Povoliť nákup neregistrovaným užívateľom"
"Default Billing","Predvolená platba"
"Default Shipping","Predvolené doručenie"
"Proceed to Checkout","Prejsť na dokončenie objednávky"
"Sorry, no quotes are available for this order at this time.","Prepáčte, žiadne cenové ponuky nie sú teraz k dispozícii pre túto objednávku."
"Update Total","Prepočítať celkovú sumu"
"Move to Wishlist","Presunúť do Zoznamu prianí"
"Add to Cart","Pridať do košíka"
"Add to Wishlist","Pridať do Zoznamu prianí"
"Create Shipping Address","Pridať dodaciu adresu"
"Create Billing Address","Pridať fakturačnú adresu"
"Add to Compare","Pridať k porovnaniu"
"Add New Address","Pridať novú adresu"
"Your Checkout Progress","Priebeh dokončenia vašej objednávky"
"Login","Prihlásiť sa"
"Please log in below:","Prihláste sa prosím dolu:"
"Data saving problem","Problém s ukladaním dát"
"Product","Produkt"
"Product does not exist","Produkt neexistuje"
"Zip/Postal Code","PSČ"
"Fast and easy check out","Rýchle a jednoduché dokončenie objednávky"
"Recently added item(s)","Recently added item(s)"
"Register","Registrovať"
"Order Review","Revízia objednávky"
"Save in address book","Save in address book"
"Review Order","Skontrolovať objednávku"
"Review Order - %s","Skontrolovať objednávku - %s"
"Grouped product image","Skupinový obrázok produktu"
"Back","Späť"
"Back to Shipping Information","Späť na dodacie informácie"
"Checkout method","Spôsob dokončenia objednávky"
"Shipping Method","Spôsob dopravy"
"Shipping method has not been selected yet","Spôsob dopravy zatiaľ nebol vybraný"
"Shipping Methods","Spôsoby dopravy"
"Already registered?","Ste už zaregistrovaný?"
"Store Pickup","Store Pickup"
"Street Address 2","Street Address 2"
"Telephone","Telefón"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","There are <a href=""%s""><strong>%s items</strong></a> in your cart."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","There is <a href=""%s""><strong>1 item</strong></a> in your cart."
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"There is already a customer registered using this email address","Už existuje registrovaný zákazník, ktorý používa túto e-mailovú adresu."
"Street Address","Ulica"
"Edit","Upraviť"
"Edit Address","Upraviť adresu"
"Edit Shipping Address","Upraviť dodaciu adresu"
"Edit Billing Address","Upraviť fakturačnú adresu"
"Edit Items","Upraviť položky"
"Edit Your Cart","Upraviť váš košík"
"Place Order","Uskutočniť objednávku"
"Your order # is: %s","Vaša objednávka č. je: %s"
"Your order has been received","Vaša objednávka bola prijatá"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Vašu objednávku spracovávame a vy čoskoro dostanete e-mail s detailami vašej objednávky. Keď bude objednávka odoslaná dostanete ďalší e-mail s linku na sledovanie priebehu jej vybavenia."
"Get a Quote","Vyžiadať cenovú ponuku"
"Select a shipping address from your address book or enter a new address.","Vyberte dodaciu adresu z vášho adresára alebo zadajte novú adresu."
"Select a billing address from your address book or enter a new address.","Vyberte fakturačnú adresu z vášho adresára alebo zadajte novú adresu."
"Please select region, state or province","Vyberte prosím región, štát alebo provinciu"
"Please select shipping methods for all addresses","Vyberte prosím spôsob dodávky pre všetky adresy"
"Select Address","Vybrať adresu"
"Select Addresses","Vybrať adresy"
"Select State/Province...","Vybrať štát/provinciu..."
"Select Shipping Method","Vybrať spôsob dopravy"
"Based on your selection, you may be interested in the following items:","Vychádzajúc z vašeho výberu, mohli by vás zaujímať nasledovné položky:"
"You have no items in your cart.","You have no items in your cart."
"Your order number is %s","Your order number is %s"
"Forgot an Item?","Zabudli ste nejakú položku?"
"Forgot your password?","Zabudli ste vaše heslo?"
"Enter your destination to get a shipping estimate.","Zadajte miesto doručenia pre získanie odhadu doby dodávky."
"Enter a New Address","Zadajte novú adresu"
"Please enter a valid zip code. For example 90602 or 90602-1234.","Zadajte prosím platné PSČ. Napríklad 90602."
"Register and save time!","Zaregistrujte sa a ušetrite čas!"
"Register to Create an Account","Zaregistrujte sa pre vytvorenie účtu"
"Register with us for future convenience:","Zaregistrujte sa u nás pre vaše budúce pohodlie:"
"Submitting order information...","Zasielam informácie o objednávke..."
"Close","Zavrieť"
"Change Billing Address","Zmeniť fakturačnú adresu"
"Display number of items in cart","Zobraziť počet položiek v košíku"
"Display item quantities","Zobraziť počtu položiek"
"Display Cart Summary","Zobraziť súčet košíka"
