"1 star","1 bod"
"2 stars","2 body"
"3 stars","3 body"
"4 stars","4 body"
"5 stars","5 bodov"
"If you do not specify a rating title for a store, the default value will be used.","Ak neurčíte titulok hodnotenia pre obchod, budú použité predvolené hodnoty."
"Edit Rating","Editovať hodnotenie"
"Rating isn't Available","Hodnotenie nie je dostupné"
"Rating with the same title","Hodnotenie s rovnakým titulkom"
"ID","ID"
"Rating Information","Informácie o hodnotení"
"Manage Ratings","Manage Ratings"
"Option Label","Menovka vlastnosti"
"Be the first to review this product","Napíšte recenziu k tomuto produktu ako prvý"
"Rating Name","Názov hodnotenia"
"New Rating","Nové hodnotenie"
"Default Value","Predvolená hodnota"
"Add New Rating","Pridať nové hodnotenie"
"Assigned Options","Priradené vlastnosti"
"Rating Title","Titulok hodnotenia"
"Option Title","Titulok vlastnosti"
"Option Title:","Titulok vlastnosti:"
"Save Rating","Uložiť hodnotenie"
"Visible In","Viditeľné v"
"Rating Visibility","Viditeľnosť hodnotenia"
"Rating Options","Vlastnosti hodnotenia"
"Please select one of each ratings above","Vyberte prosím jedno z každého hodnotenia vyššie"
"Delete Rating","Zmazať hodnotenie"
