"Error Email Template","Šablóbna chybových e-mailov"
"Price alert Email Template","Šablóna e-mailu upozornenia na cenu"
"Stock alert Email Template","Šablóna e-mailu upozornenia na skladove zásoby"
"Special price:","Špeciálna cena:"
"Price:","Cena:"
"Frequency","Frekvencia"
"Click here not to receive alerts for this product","Kliknite, ak si neželáte prijímať upozornenia o tomto produkte"
"Product Alerts Run Settings","Nastavenie spracovania upozornení o produktoch"
"You will no longer receive stock alerts","Nebudete už viac prijímať upozornenia o skladových zásobách"
"You will no longer receive stock alerts for this product","Nebudete už viac prijímať upozornenia o skladových zásobách pre tento produkt"
"You will no longer receive price alerts for this product","Nebudete už viac prijímať upozornenia pre tento produkt"
"Not enough parameters","Nie je dostatok parametrov"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Obdržali ste toto upozornenie, pretože ste prihlásený k odberu upozornení ak budú nasledujúce produkty opäť na sklade:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Obdržali ste toto upozornenie, pretože ste prihlásený k odberu upozornení ak sa ceny nasledujúcich produktov zmenia:"
"Unsubscribe from all price alerts","Odhlásiť z odberu upozornení o cenách"
"Unsubscribe from all stock alerts","Odhlásiť z odberu upozornení sladových zásobách"
"Error Email Sender","Odosielateľ chybových e-mailov"
"Alert Email Sender","Odosielateľ upozorňujúcich e-mailov"
"Allow alert when product price changes","Povoliť upozornenie, ak sa zmenila cena produktu"
"Allow alert when product comes back in stock","Povoliť upozornenie, keď sa produkt vráti na sklad"
"Alert subscription was saved successfully","Prihláška k upozorňovaniu bola úspešne uložená"
"Alert subscription was deleted successfully","Prihláška k upozorňovaniu bola úspešne zmazaná"
"Sign up for price alert","Prihlásiť sa pre odber upozornení o cene"
"Sign up to get notified when this product is back in stock","Prihlásiť sa pre upozornenie, ak bude produkt opäť na sklade"
"Error Email Recipient","Prijímateľ chybových e-mailov"
"Product not found","Produkt nenájdený"
"Please try again later","Skúste neskôr prosím"
"Product price alert","Upozornenia na ceny"
"Product stock alert","Upozornenia na skladove zásoby"
"Product Alerts","Upozornenia o produkte"
"Product alerts Cron error","Upozornenia produktov o chybe Cron-u"
"Start Time","Začiatok"
