"# of Uses","# z použití"
"All tags","All tags"
"Thank you. Your tag has been accepted for moderation.","Ďakujeme. Váš štítok bol odoslaný na schválenie."
"Tagged in","Štítkované"
"Tags","Štítky"
"Tags Aren't Available","Štítky nie sú dostupné"
"Customers Tagged '%s'","Štítky od zákazníkov '%s'"
"Product Tags","Štítky produktu"
"Tags:","Štítky:"
"Tag","Štítok"
"Price","Cena"
"CSV","CSV"
"You have not tagged any products yet.","Doposiaľ ste k žiadnemu z produktov nepriradili žiaden štítok."
"Email","E-mail"
"Edit Tag","Editovať štítok"
"Edit Tag '%s'","Editovať štítok '%s'"
"ID","ID"
"Other people marked this product with these tags:","Iní zákazníci označili tento produkt nasledujúcimi štítkami:"
"Tag Information","Informácie o štítku"
"Block Information","Informácie o bloku"
"SKU","Kód"
"Product SKU","Kód produktu"
"Click on a tag to view your corresponding products.","Kliknite na štítok, ak si želáte zobraziť súvisiace produkty."
"Country","Krajina"
"First Name","Meno"
"Grid","Mriežka"
"Are you sure you want to do this?","Naozaj chcete naozaj vykonať túto operáciu?"
"Are you sure that you want to delete this tag?","Naozaj chcete naozaj zmazať tento štítok?"
"Are you sure you want to delete this tag?","Naozaj chcete naozaj zmazať tento štítok?"
"Name","Názov"
"Tag Name","Názov štítku"
"Tag Name: %s","Názov štítku: %s"
"Product Name","Názov produktu"
"No matches found.","Neboli nájdené žiadne výsledky."
"Pending Tags","Neschválané štítky"
"Pending","Neschválaný"
"Unable to remove tag. Please, try again later.","Nie je možné odstrániť štítok. Prosím, skúste ešte raz."
"Unable to save tag(s)","Nie je možné uložiť štítky"
"Unable to save your tag. Please, try again later.","Nie je možné uložiť Váš štítok. Prosím, skúste ešte raz."
"New Tag","Nový štítok"
"Popular","Obľúbené"
"Popular Tags","Obľúbené štítky"
"Popularity","Obľúbenosť"
"Customers","Od zákazníkov"
"Action","Operácia"
"Actions","Operácie"
"Uses","Použití"
"Use spaces to separate tags. Use single quotes (') for phrases.","Pre oddelenie štítkov použite čiarky. Viacslovné frázy ohraničte apostrofmi (')."
"Add Tags","Pridať štítky"
"Add to Wishlist","Pridať do Zoznamu prianí"
"Add New Tag","Pridať nový štítok"
"Add Your Tags:","Pridať vlastné štítky:"
"Last Name","Priezvisko"
"Products","Produktov"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Produkty štítkované výrazom '%s' (<a href='%s'>RSS</a>)"
"Products tagged with '%s'","Produkty štítkovaný s '%s'"
"Products Tagged with '%s'","Produkty štítkovaný s '%s'"
"ZIP/Post Code","PSČ"
"Approved","Schválené"
"Back","Späť"
"Back to view Tag","Späť k zobrazeniu štítkov"
"Back to Tags List","Späť k zoznamu štítkov"
"Status","Stav"
"Are you sure?","Ste si istý?"
"Tag can't be empty.","Tag can't be empty."
"Telephone","Telefón"
"Save Tag","Uložiť štítok"
"Unable to find any products tagged with '%s' in the current store","V obchode nie je možné nájsť žiadne produkty štítkované s '%s'"
"My Tags","Vaše štítky"
"My Recent Tags","Vaše najnovšie štítky"
"General Information","Všeobecné informácie"
"All Tags","Všetky štítky"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Výsledky vyhľadávania výrazu '%s' (<a href='%s'>RSS</a>)"
"Visible In","Viditeľné v"
"View All","View All"
"Add to Cart","Vložiť do košíka"
"Disabled","Vypnuté"
"XML","XML"
"You tag was successfully deleted","You tag was successfully deleted"
"You tag was successfully saved","You tag was successfully saved"
"Your tag(s) have been accepted for moderation","Your tag(s) have been accepted for moderation"
"Customer Since","Zákazníkom od"
"Delete","Zmazať"
"Delete Tag","Zmazať označenie"
"Change status","Zmena stavu"
"View Products","Zobraziť produkty"
"View All Tags","Zobraziť všetky štítky"
"View Customers","Zobraziť zákazníkov"
"List","Zoznam"
