"Active","Aktívne"
"Update product's %s %s: %s","Aktualizovať produkty %s %s: %s"
"Product Attribute","Atribút produktu"
"Yes","Áno"
"Order Gift Messages","Darčekové odkazy objednávok"
"Gift Messages","Darčekový odkaz"
"Date To","Dátum do"
"Date From","Dátum od"
"Date Expire","Dátum vypršania"
"To Date","Do dátumu"
"Order Credit Memos","Dobropis objednávky"
"Credit Memos","Dobropisy"
"Shipments","Dodávky"
"Edit Rule","Editovať pravidlo"
"Edit Rule '%s'","Editovať pravidlo '%s'"
"Invoices","Faktúry"
"Order Shipments","História doručenia"
"Order Invoices","História faktúr"
"Comments History","História komentárov"
"Order History","História objednávok"
"ID","ID"
"Rule Information","Informácie o pravidle"
"Catalog","Katalóg"
"Category","Kategória"
"Conditions Combination","Kombinácia podmienok"
"Rule Name","Názov pravidla"
"Name: %s","Názov: %s"
"Inactive","Neaktívne"
"NOT LOGGED IN","NEPRIHLÁSENÝ"
"No","Nie"
"Unable to find a page to delete","Nie je možné nájsť stránku pre zmazanie"
"Unable to apply rules","Nie je možné použiť pravidlá"
"New Rule","Nové pravidlo"
"From Date","Od dátumu"
"Actions","Operácie"
"Date Start","Počiatočný dátum"
"Conditions","Podmienky"
"Conditions (leave blank for all products)","Podmienky (ponechajte prázdne pre všetky produkty)"
"Description","Popis"
"Description: %s","Popis: %s"
"Apply Rules","Použiť pravidlá"
"Rules were successfully applied","Pravidlá boli úspešne použité"
"Catalog Price Rules","Pravidlá katalógovej ceny"
"Rule was successfully saved","Pravidlo bolo úspešne uložené"
"Rule was successfully deleted","Pravidlo bolo úspešne zmazané"
"Catalog Price Rule","Pravidlo katalógovej ceny"
"Add New Rule","Pridať nové pravidlo"
"Priority","Priorita"
"Promotions","Propagácie"
"Attribute Set","Sada atribútov"
"Status","Stav"
"The page you are trying to save no longer exists","Stránku, ktorú sa pokúšate uložiť už neexistuje"
"There are rules that has been changed but not applied. To see immediate effect in catalog, please click Apply Rules","There are rules that has been changed but not applied. To see immediate effect in catalog, please click Apply Rules"
"This rule no longer exists","Toto pravidlo už neexistuje"
"Save and Apply","Uložiť a použiť"
"Save Rule","Uložiť pravidlo"
"General Information","Všeobecné informácie"
"Options","Vlastnosti"
"Expire at: %s","Vyprší: %s"
"Websites","Webstránky"
"Start at: %s","Začni na: %s"
"Stop further rules processing","Zastaviť spracovane ďalších pravidiel"
"Customer is new buyer: %s","Zákazník je nový nákupca: %s"
"Customer registered: %s","Zákazník registrovaný: %s"
"Customer Groups","Zákaznicke skupiny"
"Delete Rule","Zmazať pravidlo"
