"Email templates","Šablóny e-mailov"
"Email:","E-mail:"
"Email Address","E-mailová adresa"
"Email Address:","E-mailová adresa:"
"Limit Sending By","Limit zasielania"
"Max Recipients","Max. počet prijímateľov"
"Max Products Sent in 1 Hour","Max. počet produktov odoslaných za hodinu"
"Name","Meno"
"Name:","Meno:"
"You cannot email this product to a friend","Nemôžete odoslať priateľovi e-mail o tomto produkte"
"You cannot send more than %d times in an hour","Nemôžete odoslať viac ako %d e-mailov za hodinu"
"Some emails was not sent","Niektoré e-maily neboli odoslané"
"Link to a friend was sent.","Odkaz priateľovi bol odoslaný."
"Sender:","Odosielateľ:"
"Remove Email","Odstrániť e-mail"
"Email to a Friend","Pošli e-mail priateľovi"
"Send email","Poslať e-mail"
"Maximum %d email addresses allowed.","Povolený počet e-mailových adries je %d."
"Allow for Guests","Povoliť hosťom"
"Add Recipient","Pridať prijímateľa"
"Recipient:","Prijímateľ:"
"Message:","Text odkazu:"
"Select email template","Vyberte šablónu e-mailu"
"Some problems with data.","Vyskytli sa problémy s dátami."
"Send product to a friend","Zašlite info o produkte priateľovi"
"Enabled","Zapnuté"
