"Update the Product","Aktualizovat produkt"
"Rule price","Cenové pravidlo"
"Maximum Qty Allowed in Shopping Cart","Maximálne množstvo povolené v nákupnom košíku"
"Minimum Qty Allowed in Shopping Cart","Minimálne množstvo povolené v nákupnom košíku"
"Minimum Qty for Items' Status to be In Stock","Minimum Qty for Items' Status to be In Stock"
"Can not specify product identifier for order item","Nie je možné určiť identifikátor produktu pre túto položku objednávky"
"To Percentage","Percentuálne"
"By Percentage","Percentuálne"
"To Fixed Value","Pevnou hodnotou"
"The requested quantity is not available.","Požadované množstvo nie je k dispozícii."
"By Fixed value","Podľa pevnej hodnoty"
"Allow Qty Below 0","Povoliť množstvo menšie 0"
"Allow Qty Below 0 and Notify Customer","Povoliť množstvo menšie ako 0 a upozorniť zákazníka"
"Backorders","Predobjednávky"
"The requested quantity for ""%s"" is not available.","The requested quantity for ""%s"" is not available."
"Notify for Quantity Below","Upozoňovať na množstvo menšie"
"Stock Options","Vlastnosti skladových zásob"
"No Backorders","Zakázať spätné objednávky"
"Inventory","Zásoby"
"Decrease Stock When Order is Placed","Znížiť stav zásob po vytvoreí objednávky"
