"%d Review(s)","%d recenzie"
"%s Review(s)","%s Recenzií"
"(Posted on %s)","(Napísané %s)"
"1 star","1 bod"
"2 stars","2 body"
"3 stars","3 body"
"4 stars","4 body"
"5 stars","5 bodov"
"Add Items to Cart","Add Items to Cart"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to Wishlist","Add to Wishlist"
"Administrator","Administrátor"
"How do you rate this product?","Ako by ste ohodnotili tento produkt?"
"Availability: In stock.","Availability: In stock."
"Availability: Out of stock.","Availability: Out of stock."
"Buy %s for %s","Buy %s for %s"
"Summary Rating","Celkové hodnotenie"
"Price","Cena"
"Edit Review '%s'","Editovať recenziu '%s'"
"Product Rating","Hodnotenie produktu"
"Product Rating:","Hodnotenie produktu:"
"Rating:","Hodnotenie:"
"Guest","Hosť"
"ID","ID"
"SKU","Kód"
"Product SKU","Kód produktu"
"Name","Meno"
"Name In Store","Meno v obchode"
"Qty","Množ."
"Are you sure you want to do this?","Naozaj chcete toto zmazať?"
"Be the first to review this product","Napíše recenziu k tomuto produktu ako prvý"
"Add Your Review","Napíšte svoju recenziu"
"Write Your Own Review","Napíšte vlastnú recenziu"
"Add New Review","Napísať novú recnziu"
"Posted By","Napísal"
"Back to Main Product Info","Návrat k hlavným informáciám o produkte"
"Back to Product Reviews","Návrat k recenziám"
"Product Name","Názov produktu"
"You have submitted no reviews.","Nenapísal(a) ste žiadnu recenziu."
"Pending Reviews","Neschválené recenzie"
"Unable to post review. Please, try again later.","Nie je možné odoslať recenziu. Skúste prosím neskôr ešte raz."
"New Review","Nová recenzia"
"Submit Review","Odoslať recenziu"
"OR","OR"
"Detailed Rating","Podrobné hodnotenie"
"Review Details","Podrobnosti o recenzii"
"Nickname","Prezývka"
"Average Customer Rating","Priemerné hodnetenie zákazníkmi"
"Average Customer Rating:","Priemerné hodnetenie zákazníkmi:"
"Product","Produkt"
"Review","Recenzia"
"Product Review (submitted on %s):","Recenzia produktu (zaslané %s):"
"Customer Reviews","Recenzie od zákazníkov"
"Product Reviews","Recenzie produktu"
"Review by %s","Recenziu zaslal(a) %s"
"You're reviewing: %s","Recenzovali ste: %s"
"Back","Späť"
"Back to My Reviews","Späť na Moje recenzie"
"Status","Stav"
"Update status","Stav aktualizácie"
"Are you sure?","Ste si istý?"
"Store Views","Store Views"
"Title","Titulok"
"Type","Typ"
"Save Review","Uložiť recenziu"
"Your review has been accepted for moderation","Vaša recenzia bola odoslaná na schválenie"
"Your Review (submitted on %s):","Vaše hodnotenie (zaslané %s):"
"Your Rating:","Vaše hodnotenie:"
"My Recent Reviews","Vaše najnovšie recenzie"
"My Product Reviews","Vaše recenzie produktov"
"All Reviews","Všetky recenzie"
"Visible In","Videteľné v"
"Visible Ins","Visible Ins"
"Please select one of each of the ratings above","Vyber prosím jedno z hodnotení vyššie"
"Please select a product","Vyber prosím produkt"
"Created On","Vytvorené"
"Customer","Zákazník"
"Summary of Your Review","Zhrnutie mojích recenzií"
"Summary of review","Zhrnutie recenzie"
"Summary of Review","Zhrnutie recenzie"
"Delete","Zmazať"
"Delete Review","Zmazať recenziu"
"View Details","Zobraziť podrobnosti"
"View All Reviews","Zobraziť všetky recenzie"
"Zoom In","Zoom In"
"Zoom Out","Zoom Out"
