"Shipping Address","Adresa doručenia"
"Update Shipping Method","Aktualizovať metódu doručenia"
"Amex","Amex"
"API Password","API Heslo"
"API Signature","API Signatúra"
"API User Name","API Užívateľské meno"
"PayPal Uk Account","Účet PayPal UK"
"PayPal Accounts","Účty PayPal"
"Order total amount does not match paypal gross total amount","Úhrnná čiastka objednávky nie je rovnaká ako celková úhrnná čiastka PayPal"
"Authorization","Autorizácia"
"Authorize and Capture","Autorizovať a prijať"
"Switch/Solo card issue number: %s","Číslo karty Switch/Solo: %s"
"Credit Card Number","Číslo kreditnej karty"
"Credit Card Number: xxxx-%s","Číslo kreditnej karty: xxxx-%s"
"Issue Number","Číslo predmetu"
"What is this?","Čo je to?"
"Price","Cena"
"Error in refunding the payment","Chyba pri vrátení platby"
"Error in creating an invoice","Chyba pri vytváraní faktúry"
"Expiration Date","Dátum expirácie"
"Expiration Date: %s/%s","Dátum expirácie: %s/%s"
"Start Date","Dátum vydania"
"Switch/Solo card start Date: %s/%s","Dátum vydania karty Switch/Solo: %s/%s"
"Edit Shopping Cart","Editovať nákupný kośík"
"Billing Information","Fakturačné údaje"
"Proxy Host","Hostiteľ proxy"
"Switch/Solo Only","Iba kreditná karta Switch/Solo"
"Shipping Information","Informácie o doručení"
"Invoice ","Invoice "
"MasterCard","MasterCard"
"Subtotal","Medzisúčet"
"Name on Card","Meno na karte"
"Name on the Card: %s","Meno na karte: %s"
"Shipping Method","Metóda doručenia"
"Payment Method","Metóda paltby"
"Qty","Množ."
"Product Name","Názov produktu"
"N/A","nedostupné"
"Invalid transaction id","Neplatné ID transakcie"
"Unknown PayPal API error: %s","Neznáma chyba PayPal API: %s"
"Business Name","Obchodné meno"
"Business Account","Obchodný účet"
"Order","Objednávka"
"Submitting order information...","Odoslané informácie o objednávke..."
"Sale","Operácia"
"Debug Flag","Opravná značka"
"Card Verification Number","Overovacie číslo kreditnej karty"
"PayPal Direct (Website Payments Pro)","PayPal Direct (Website Payments Pro)"
"PayPal Email","PayPal Email"
"Paypal Express (Website Payments Pro)","Paypal Express (Website Payments Pro)"
"Paypal IPN Invalid.","Paypal IPN Invalid."
"Paypal Logo Image URL(150x150)","Paypal Logo Image URL(150x150)"
"PayPal Standard (Website Payments Standard)","PayPal Standard (Website Payments Standard)"
"Payment from applicable countries","Platba z vhodných krajín"
"Payment from Specific countries","Platba zo zvláštnych krajín"
"Payment Action","Platobná operácia"
"Paypal Checkout","Pokladňa PayPal"
"Items in Your Shopping Cart","Položky vo Vašom nákupnom košíku"
"Sort order","Poradie zoradenia"
"Proxy Port","Port proxy"
"Use Proxy","Použiť proxy"
"Sorry, no quotes are available for this order at this time.","Prepáčte, ale pre túto objednávku práve teraz nie sú dostupné žiadne ceny"
"Received IPN verification","Prijaté overovacie IPN"
"New order status","Stav novej objednávky"
"Review Order","Sumarizácia objednávky"
"Sandbox Flag","Testovacia značka"
"Title","Titulok"
"Type","Typ"
"Credit Card Type","Typ kreditnej karty"
"Credit Card Type: %s","Typ kreditnej karty: %s"
"Transaction Type","Typ transakcie"
"Credit Card Types","Typy kreditnych kariet"
"Your billing address will be ignored and you will be redirected to PayPal UK website","Vaša fakturačná adresa bude ignorovaná a budete presmerovaný na webstránky PayPal UK"
"Visa","Visa"
"Please select a shipping method...","Vyberte prosím metódu doručenia..."
"Please select a valid shipping method","Vyberte prosím platnú metódu doručenia"
"Selected currency code (","Vybraný menovú kód ("
"Problem during communication with PayPal","Vyskytol sa problém počas komunikácie s PayPal"
"There was an error during communication with Paypal: %s - %s","Vyskytol sa problém pri komunikácii so serverom PayPal: %s - %s"
"There was an error connecting to the Paypal server: %s","Vyskytol sa problém pri spojení so serverom PayPal: %s"
"There has been an error processing your payment. Please try later or contact us for help.","Vyskytol sa problém pri spracovaní Vašej platby. Prosím skúste neskôr, alebo kontaktujte nás a my Vám pomôžeme."
"Place an Order","Vytvoriť objednávku"
"Website Payments Pro (Express, Direct)","Website Payments Pro (Express, Direct)"
"Website Payments Standard","Webstránka Payments Standard"
"You will be redirected to paypal in a few seconds.","You will be redirected to paypal in a few seconds."
"Enabled","Zapnuté"
"Discover","Zistiť"
"Change Shipping Address","Zmeňte adresu doručenia"
"Change Payment Method","Zmeňte metódu platby"
