"Error Email Template","Šablóna chybových e-mailov"
"Path","Cesta"
"Daily","Denne"
"Edit Sitemap","Editovať Sitemap"
"Frequency","Frekvencia"
"Google Sitemap","Google Sitemap"
"Google Sitemaps","Google Sitemaps"
"ID","ID"
"Hourly","Každú hodinu"
"Manage Google Sitemaps","Manage Google Sitemaps"
"Monthly","Mesačne"
"Last Time Generated","Naposledy generované"
"Generation Settings","Nastavenia generovania"
"CMS Pages Options","Nastavenie CMS stránok"
"Categories Options","Nastavenie kategórií"
"Products Options","Nastavenie produktov"
"Filename","Názov súboru"
"Unable to find a sitemap to delete","Nie je možné nájsť Sitemap-u pre zmazanie"
"Never","Nikdy"
"New Sitemap","Nový Sitemap"
"Link for Google","Odkaz ku Google"
"Error Email Sender","Odosielateľ chybových e-mailov"
"Start Time","Počiatočný čas"
"Error Email Recipient","Príjemca chybových e-mailov"
"Add Sitemap","Pridať Sitemap"
"Priority","Priorita"
"Priority must be between 0 and 1","Priorita musí byť v hodnotách medzi 0 až 1"
"Yearly","Ročne"
"Sitemap","Sitemap"
"Sitemap was successfully saved","Sitemap-a bola úspešne uložená"
"Sitemap was successfully deleted","Sitemap-a bola úspešne zmazaná"
"This sitemap no longer exists","Táto Sitemap-a už neexistuje"
"Weekly","Týždenne"
"Sitemap generate Warnings","Výstrahy generovania Sitemap-y"
"Always","Vždy"
"Enabled","Zapnuté"
"Store View","Zobrazenie obchodu"
