"%s already exist","%s už existujú"
"%s already exists","%s už existuje"
"* Required Fields","* Required Fields"
"-- Please Select --","-- Vyberte, prosím --"
"Add Store Code to Urls","Add Store Code to Urls"
"Admin User","Admin User"
"All","All"
"Forgot Password Email Template","Šablóna e-mailu zabudnutého hesla"
"Templates","Šablóny"
"Cookie Lifetime","Životnosť cookie"
"Please wait, loading...","Čakajte prosím, nahrávam...."
"Timezone","Časová zóna"
"Package","Balík"
"Base directory","Base directory"
"Secure","Bezpečné"
"Block with name ""%s"" already exists","Block with name ""%s"" already exists"
"Can't retrieve entity config: %s","Can't retrieve entity config: %s"
"Cookie Path","Cesta cookie"
"Request path for specified store","Cesta požiadavky pre určený obchod"
"Error while saving. Please try again later.","Chyba počas ukladania. Skúste prosím neskôr."
"Clear All","Clear All"
"Clear All Items","Clear All Items"
"Code pools root directory","Code pools root directory"
"Comment","Comment"
"Compare Items","Compare Items"
"Compare Products","Compare Products"
"Compare Products (%d)","Compare Products (%d)"
"Compare Products - %d Items","Compare Products - %d Items"
"Contact Information","Contact Information"
"Contact Us","Contact Us"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - all the times are in minutes"
"Database was successfuly backed up.","Database was successfuly backed up."
"Date To","Dátum do"
"Date From","Dátum od"
"Deleting a store view will not delete the information associated with the store view (e.g. categories, products, etc.), but the store view will not be able to be restored. It is suggested that you create a database backup before deleting the store view.","Deleting a store view will not delete the information associated with the store view (e.g. categories, products, etc.), but the store view will not be able to be restored. It is suggested that you create a database backup before deleting the store view."
"Deleting a store will not delete the information associated with the store (e.g. categories, products, etc.), but the store will not be able to be restored. It is suggested that you create a database backup before deleting the store.","Deleting a store will not delete the information associated with the store (e.g. categories, products, etc.), but the store will not be able to be restored. It is suggested that you create a database backup before deleting the store."
"Deleting a website will not delete the information associated with the website (e.g. stores, categories, products, etc.), but the website will not be able to be restored. It is suggested that you create a database backup before deleting the website.","Deleting a website will not delete the information associated with the website (e.g. stores, categories, products, etc.), but the website will not be able to be restored. It is suggested that you create a database backup before deleting the website."
"Please enter a number greater than 0 in this field.","Do tohto poľa zadajte prosím číslo vyššie než 0."
"Please enter a valid number in this field.","Do tohto poľa zadajte prosím platné číslo."
"Cookie Domain","Doména cookie"
"Duplicate Of Template Code","Duplikát kódu šablóny"
"Sender email","E-mail odosielateľa"
"Store Email Addresses","E-mailové adresy obchodu"
"Email","Email"
"Error in file: ""%s"" - %s","Error in file: ""%s"" - %s"
"Exception Log File Name","Exception Log File Name"
"File Name","File Name"
"Filesystem","Filesystem"
"Global","Globálne"
"Go","Go"
"Root Category","Hlavná kategória"
"Host","Hostiteľ"
"Id path for specified store","ID cesta pre špecifický obchod"
"Store Information","Informácie o obchode"
"Website Information","Informácie o stránke"
"Store View Information","Informácie o zobrazení obchodu"
"Invalid base dir type specified: %s","Invalid base dir type specified: %s"
"Invalid messages storage ""%s"" for layout messages initialization","Invalid messages storage ""%s"" for layout messages initialization"
"Invalid transactional email code: ","Invalid transactional email code: "
"Code","Kód"
