"* Required Fields","* Povinne vyplnené polia"
"Email Template","Šablóna e-mailu"
"Email","E-mail"
"Contact Form","Kontakný formulár"
"Contact Information","Kontaktné informácie"
"Contact Us","Kontaktujte nás"
"Contacts","Kontakty"
"Name","Meno"
"Email Sender","Odosielateľ e-mailu"
"Submit","Odoslať"
"Send Emails To","Poslať e-maily pre"
"Enable Contact Us","Povoliť Kontaktuj nás"
"Comment","Poznámka"
"Telephone","Telefón"
"Unable to submit your request. Please, try again later","Vašu žiadosť nie je možné odoslať. Prosím, skúste neskôr."
"Email Options","Vlastnosti e-mailu"
"Your inquiry was submitted and will be responded as soon as possible. Thank you for contacting us.","Your inquiry was submitted and will be responded as soon as possible. Thank you for contacting us."
