"%s and greater","%s a väčšie"
"<b>%d item(s)</b> were found using the following search criteria","<b>%d item(s)</b> were found using the following search criteria"
"Autogenerated site map","Auto-generovanie mapy stránok"
"You have to specify at least one search term","Špecifikujte prosím najmenej jeden vyhľadávaný termín"
"Price","Cena"
"Description","Description"
"Search entire store here...","Hľadajte v celom obchode..."
"Search entire store here...","Hľadajte v celom obchode..."
"Search Terms","Hľadané výrazy"
"Modify your search","Modify your search"
"Grid","Mriežka"
"Search Settings","Nastavenia vyhľadávania"
"Name","Názov"
"There are no search terms available.","Nie sú dostupné žiadne vyhľadávané výrazy."
"Popular search terms","Obľúbené vyhľadávané výrazy"
"Popular Search Terms","Obľúbené vyhľadávané výrazy"
"Advanced Search","Pokročilé vyhľadávanie"
"Catalog Advanced Search","Pokročilé vyhľadávanie v katalógu"
"Required Fields","Povinne vyplnené polia"
"Go to Home Page","Prejdi na titulnú stránku"
"Short Description","Short Description"
"SKU","SKU"
"Tax Class","Tax Class"
"Home","Titulka"
"All","Všetko"
"Results","Výsledky"
"Search results for '%s'","Výsledky vyhľadávania pre '%s'"
"Search results for: '%s'","Výsledky vyhľadávania pre: '%s'"
"up to %s","viac ako %s"
"Search","Vyhľadávanie"
"Search Site","Vyhľadávanie na stránkach"
"Your search returns no results.","Vyhľadávanie nenašlo žiadne relevantné výsledky."
"List","Zoznam"
