"Updated at","Aktualizované"
"Invoiced","Účtovaný"
"Average rating","Average rating"
"Products Tags","Štítky produktov"
"Product Tags","Štítky produktu"
"Tags submited by %s","Štítky vložil %s"
"Customer Tags","Štítky zákazníka"
"Customers Tags","Štítky zákazníkov"
"Tag","Štítok"
"Number of Total Tags","Celkový počet štítkov"
"Total Tags","Celkovo štítkov"
"Total Shipping","Celkovo doručených"
"Total invoiced","Celkovo fakturovaných"
"Total refunded","Celkovo splatených"
"Total Refunded","Celkovo splatených"
"Price","Cena"
"CSV","CSV"
"Tax","Daň"
"Day","Deň"
"Shipping","Doručenie"
"Email","E-mail"
"Excel","Excel"
"Search Terms","Hľadané výrazy"
"Guest","Hosť"
"ID","ID"
"Invalid data specified","Invalid data specified"
"Product Sku","Kód produktu"
"Bought from wishlists","Kúpené zo Zoznamov prianí"
"Carts","Košíky"
"Coupons","Kupóny"
"Subtotal","Medzisúčet"
"Name","Meno"
"First Name","Meno"
"Customer Name","Meno zákazníka"
"Month","Mesiac"
"Stock Qty","Množstvo na sklade"
"Number of wishlist referrals: %s","Množstvo odsúhlasených zoznamov prianí: %s"
"Quantity of Items","Množstvo položiek"
"Bestsellers","Najpredávanejšie"
"Most viewed","Najzobrazovanejšie"
"Most Viewed","Najzobrazovanejšie"
"Recently Compared Products","Naposledy porovnávané pordukty"
"Recently Viewed Products","Naposledy zobrazené produkty"
"Recently Viewed/Compared Products","Naposledy zobrazené/porovnávané produkty"
"Shopping Cart","Nákupný kośik"
"Hits","Návštevy"
"Tag Name","Názov štítka"
"Product Name","Názov produktu"
"Low stock","Nízke skladové zásoby"
"New Accounts","Nové účty"
"Popular Tags","Obľúbené štítky"
"Popularity","Obľúbenosť"
"Sales Report","Obchodné prehľady"
"Quantity Ordered","Objednané množstvo"
"Items Ordered","Objednané položky"
"Orders","Objednávky"
"Sales","Obrat"
"Submitted On","Odoslané na"
"Submitted In","Odoslané v"
"Abandoned carts","Opustené košíky"
"Number Of Historical Uses","Počet historických užívateľov"
"Number of Unique Tags","Počet jedinečných štítkov"
"Number of New Accounts","Počet nových účtov"
"Number of Orders","Počet objednávok"
"Number of Items","Počet položiek"
"Number of items bought from a wishlist: %s","Počet položiek zakúpených zo zoznamu prianí: %s"
"Number Of Uses","Počet použití"
"Number Added","Počet predaných"
"Products in carts","Počet produktov v košíkoch"
"Number of Reviews","Počet recenzií"
"Number Of Reviews","Počet recenzií"
"Number Fulfilled","Počet splnených"
"Number Purchased","Počet zakúpených"
"Number of times wishlists have been shared (emailed): %s","Počet zdieľaní Zoznamu prianí (zaslaných e-mailom): %s"
"Number of wishlist conversions: %s","Počet zhodnotených zo Zoznamu prianí: %s"
"Number of times deleted","Počet zmazaní"
"Number of Views","Počet zobrazení"
"Number Viewed","Počet zobrazení"
"Number of wishlists: %s","Počet Zoznamov prianí: %s"
"Detail","Podrobnosti"
"Tag Detail","Podrobnosti o štítku"
"Items in Cart","Položky v košíku"
"Add to Compare","Porovnať"
"Last Review","Posledná recenzia"
"Applied Coupon","Použitý kupón"
"Tag use","Použitie štítka"
"Customers Report","Príspevok od zákazníkov"
"Products Report","Prehľad produktov"
"Poducts Report","Prehľad produktov"
"Wishlist Report","Prehľad Zoznamu prianí"
"Reports","Prehľady"
"Carrier/Method","Prepravca/spôsob"
"Add to Wishlist","Pridať do Zoznamu prianí"
"Last Name","Priezvisko"
"Products","Produkty"
"Review","Recenzia"
"Reviews","Recenzie"
"Customers Reviews","Recenzie od zákazníkov"
"Products Reviews","Recenzie produktov"
"Product Reviews","Recenzie produktov"
"Reviews for %s","Reviews for %s"
"Year","Rok"
"Offline Refunded","Splatené nepriamo"
"Online Refunded","Splatené priamo"
"Total","Spolu"
"Tag ""%s"" details","Tag ""%s"" details"
"Tax Rate","Tax Rate"
"Title","Titulok"
"Total invoiced captured","Total invoiced captured"
"Total invoiced not captured","Total invoiced not captured"
"Revenue","Tržba"
"Your Recently Compared","Vaše naposledy porovnávané"
"Your Recently Viewed","Vaše naposledy zobrazené"
"Tax Amount","Výška dane"
"Results","Výsledky"
"Visible In","Viditeľné v"
"Tags submitted to %s","Vložené štítky %s"
"Add to Cart","Vložiť do košíka"
"Refunded","Vrátené"
"Out of stock","Vypredané"
"Created at","Vytvorené"
"Customers","Zákazníci"
"Customers that have wishlist: %s%","Zákazníci majúci Zoznam prianí: %s%"
"Customers by orders total","Zákazníci podľa objednávok spolu"
"Customers by number of orders","Zákazníci podľa počtu objednávok"
"Customer","Zákazník"
"Discounts","Zľavy"
"Show for Current","Zobraziť aktuálne"
"Wishlist vs. Regular Order","Zoznam prianí vs. Skutočné objednávky"
"Wishlists","Zoznamy prianí"
