"API Login ID","API prihlasovacie ID"
"Authorize.net","Authorize.net (web)"
"Authorize and Capture","Autorizovať a prijať"
"Payment authorization transaction has been declined.","Autorizovaná platba bola zamietnutá."
"Error in authorizing the payment","Chyba pri autorizácii platbe"
"Payment authorization error.","Chyba pri autorizácii platby."
"Error in capturing the payment","Chyba pri príjme platbe"
"Error in refunding the payment","Chyba pri spätnej platbe"
"Error in refunding the payment.","Chyba pri spätnej platbe."
"Gateway request error: %s","Chybná požiadavka brány: %s"
"Invalid amount for authorization","Chybné množstvo pre autorizáciu"
"Invalid amount for authorization.","Chybné množstvo pre autorizáciu."
"Merchant's email","E-mail obchodníka"
"Email customer","E-mail zákazníka"
"Error in payment gateway","Error in payment gateway"
"Error in retrieving the transaction","Error in retrieving the transaction"
"Password","Heslo"
"Authorize Only","Iba oprávnení"
"VERBOSITY","MNOHOVRAVNOSŤ"
"Invalid transaction id","Neplatné ID transakcie"
"New order status","Nový stav objednávky"
"Debug","Odlaďovanie chýb"
"Transaction key","Operačný kľúč"
"Credit Card Verification","Overenie kreditnej karty"
"Partner","Partner"
"PayflowPro","PayflowPro"
"Payment from applicable countries","Platba z akceptovaných krajín"
"Payment from Specific countries","Platba z vybratých krajín"
"Payment Action","Platobná operácia"
"TENDER","PONUKA"
"Sort order","Poradie zoradenia"
"Merchant Login","Prihlásenie obchodníka"
"Fraud order status","Stav objednávky - Falošná"
"Test mode","Testovací režim"
"Title","Titulok"
"Credit Card Types","Typy kreditných kariet"
"User","Užívateľ"
"URL","URL"
"Enabled","Zapnuté"
"Voided transaction","zrušená transakcia"
